Mass,10EV,15EV,20EV,25EV
349.0721178,0.005039739,0.002865087,0.000244048,0
347.0966135,0,0.023923135,0.009098296,0
335.0927969,0,0.000961922,5.23E-05,0
333.080313,0.000336722,0.031304824,0.013877675,0
317.0823427,0,0.011176284,0.00357234,0
305.0844756,0.000637334,0.008629153,0.002608327,0
287.074118,0,0.001077343,0.000164766,0
275.0722267,0,0.005156898,0.002096278,0
273.0587622,0,0.020632578,0.010107469,0.000111862
261.0597091,0.000157507,0.003998698,0.001521441,0
259.0785318,0.033101936,0.162525646,0.094232218,0.016560481
257.0638817,0,0.011632748,0.043899651,0.008829636
249.0574979,0,0.003374384,0.000955766,0
245.0630146,0.006055341,0.102621755,0.073243426,0.015237656
244.0559414,0.001459265,0.006979374,0.002575393,0
231.0490798,0.027013887,0.143269488,0.102710747,0.020880991
219.0465604,0,0.001838647,0.000126503,0
218.0404319,0.003626974,0.013558363,0.006745872,7.72E-05
203.0529688,0.007817801,0.044618333,0.040304826,0.007294547
202.0456316,0,0.002577143,0.001155417,0
201.0382165,0.037019553,0.143243552,0.090070693,0.016917771
191.0554961,0,0,0.001829706,0
186.0500495,0.009448208,0.017618564,0.009969223,0.000485343
185.043685,0.011195324,0.096983839,0.066177524,0.011920541
184.0342776,0,0.002975646,0.00141219,0
173.042672,0,0.000467289,0.001753884,0
171.0264975,0,0.013347782,0.010849313,0.001053778
169.0469549,0,0.028148935,0.018404591,0.002288666
167.0321028,0,0.003659885,0.002468653,0
163.0588009,0,0,0.004911902,0.000168151
157.0471915,0,0.007340644,0.003879584,0
156.039707,0.000505972,0.003587791,0.000491033,0
155.0316997,0,0.010975665,0.007364461,0.00015558
145.0492664,0,5.99E-05,0.017221867,0.003555114
144.0033822,0,0.000130016,0.000681562,0
143.0317969,0,0.000271597,0.000317866,0
141.0514489,0.006928605,0.026761108,0.013072906,0.001072738
140.0444768,0.005893766,0.034561569,0.01845631,0.00290547
139.036593,0.000859092,0.013050518,0.006890142,0.000320852
138.0285036,0,0.00050503,7.62E-05,0
127.0380744,7.39E-05,0.005686661,0.016288505,0.003698286
125.0205904,0,0.004097871,0.002483467,0
123.0413185,0,0.000552323,0.000117866,0
122.0333713,0,0.000928245,0.000105259,0
113.0204833,0,0.013480182,0.008016569,0.000743951
112.0119055,4.55E-05,0.004373816,0.005507843,0.000826213
111.0044316,0,0.000886373,0.000259583,0
109.0263084,0,0.001056805,0.00221299,4.77E-05
