Mass,10EV,15EV,20EV,25EV
347.0964056,0,0.02203839,0.008585895,0
333.0795612,0.000207185,0.010395685,0.002561973,0
317.0860092,0,0.014109002,0.006705612,0
305.0832778,0,0.003057203,0.001015201,0
275.0744106,0,0.01356785,0.006722567,8.17E-05
273.0586446,0,0.013410218,0.006229514,0
261.05854,0.002670096,0.014592978,0.006334123,0
259.078628,0.012931747,0.088683784,0.055239067,0.009153351
257.0638162,0,0.009990114,0.02566427,0.003836607
249.0583646,0,0.001003564,0.00061098,0
245.0635444,0,0.039711739,0.022237891,0.002374219
244.0557007,0,0.006083863,0.002713019,0
231.0485827,0.01318336,0.106250547,0.086649744,0.017934232
218.0397912,0.003597185,0.018209899,0.009861904,0.000183497
203.0534387,0.005080032,0.04385489,0.039689991,0.006433869
202.043985,0.000347187,0.00397407,0.001616762,0
201.0377471,0.02033607,0.11908037,0.083336449,0.015646722
191.0528007,0,0.000195476,0.002630632,0
186.0500711,0.003305348,0.014198271,0.008198433,0.000632689
185.0428716,0.003790803,0.095614495,0.069657345,0.014896063
184.0334487,0.000233158,0.003682657,0.00266448,0.000202626
173.0431238,0,0.000594331,0.000962437,0
171.0260083,0,0.013405835,0.019200708,0.004217042
169.0472896,0,0.023996189,0.018582928,0.002642489
167.0316768,0,0.002037499,0.002308944,0
163.0611672,0,0,0.003201715,0
157.0470429,0,0.004760417,0.003079319,0
156.0385859,0,0.001496558,0.000635655,0
155.0320388,0,0.007910068,0.004910366,0
145.0494571,0,0,0.019411774,0.004082503
141.0512433,0.001097799,0.01265734,0.007341788,0.000312961
140.04439,8.67E-05,0.016594129,0.01097543,0.000921144
139.0356921,0,0.006809306,0.004227525,0.000119575
127.0380099,0,0.005187875,0.018811665,0.004756311
125.0208826,0,0.003849363,0.002162482,0
113.02052,0,0.012039315,0.008680129,0.000577153
112.0119499,0,0.006042855,0.007171878,0.000981554
111.0044155,0,0.000641021,8.75E-05,0
109.0261697,0,0.000189945,0.000750144,0
