Mass,10EV,15EV,20EV,25EV
349.0764286,0.003802428,0.00417858,0.000956992,0
347.0963342,0,0.019025472,0.007624203,0
333.079471,0,0.017220223,0.007061164,0
317.0849449,0,0.029829361,0.013912072,0.000230503
303.07059,0,0.002915306,0.00241457,0
291.0688823,0,0.003322782,0.000810939,0
275.0744611,0.000159221,0.013722863,0.006690149,0
273.0589063,0,0.001134038,0,0
261.0579399,0.001869486,0.010670296,0.003897601,0
259.042362,0.00165168,0.004117654,0.000176724,0
257.0641509,0,0.008816166,0.005918597,0
245.0627761,0.002291251,0.065181663,0.046724848,0.008112989
244.0553584,0.005668503,0.03638778,0.020908755,0.000756136
231.0487718,0.019287088,0.133663142,0.113906542,0.024195858
218.0404623,0.010962208,0.039625132,0.024390317,0.001713664
203.0533507,0.005749178,0.047850217,0.083281588,0.016920172
202.0444106,0.000364337,0.003398043,0.002608115,0
201.0380809,0.029649465,0.140867269,0.107036108,0.02114578
191.055149,0,0,0.001474523,0
186.0503714,0.009090331,0.022479127,0.014771247,0.001171981
185.0431855,0.007198574,0.095319198,0.073875032,0.013815455
184.0347231,0.000469763,0.003540571,0.003138517,7.74E-05
173.0432436,0,0.00027075,0.000988706,0
171.0265037,0,0.011302461,0.013097145,0.001381559
169.0472401,0.001854581,0.071069734,0.051490083,0.008013391
168.0395859,0,0.002001983,0.000316274,0
167.0317009,0,0.004505789,0.003373017,0
163.0593286,0,0,0.001016957,0
157.0473316,0,0.008780883,0.005254875,0
156.0391802,0.000156422,0.004679966,0.001543496,0
155.0317682,0,0.008363763,0.004305707,0
145.0496037,0,0.000552062,0.015348258,0.002496959
143.0313032,0,0.000949582,0.00065666,0
141.0503595,0,0.001169856,0.000752263,0
140.0443748,6.24E-05,0.002182223,0.000829337,0
139.0361238,0,0.002612968,0.000931092,0
138.0288125,0,0.001020357,0.000173822,0
127.0375722,0,0.006171436,0.01424962,0.00307625
125.0207301,0,0.005201744,0.00367732,0.000107298
113.0203087,0,0.010691864,0.008591344,0.000641346
112.0117968,0,0.004559945,0.004686329,0.001158645
111.0047397,0,0.000755212,0.000721386,0
109.0266275,0,5.12E-05,0.000822343,0
