Mass,10EV,15EV,20EV,25EV
349.0729715,0.006107272,0.003086572,0.001573987,0
347.0967595,0,0.026242329,0.009460528,0
334.0868853,0.00025028,0.00168367,0.000904919,0
333.0806043,0.000187639,0.031142517,0.016009757,0.000298458
317.0858656,0,0.028626996,0.016750264,0.000185158
303.0682983,0,0.00502248,0.004216987,0
275.0738898,0.001604476,0.007345305,0.003841583,0
273.0580183,0,0.004509948,0.004404831,0
261.0570629,0,0.002318648,0.00236871,0
257.0616761,0,0.001681799,0.042914496,0.009480631
249.057675,0,0.000750352,0.0026075,0
245.0644846,0.010539971,0.09862588,0.064000975,0.012634192
244.056676,0.01095533,0.042202121,0.027632961,0.00152907
231.0495216,0.031548984,0.134166047,0.134826599,0.031613844
218.0409657,0.002365342,0.019133847,0.012196971,0
203.0531894,0.014377988,0.048691589,0.038251809,0.004560752
201.0388884,0.038259963,0.149623774,0.104436098,0.021214781
191.056376,0,0,0.00260433,0
187.0583072,0.002172985,0.000920682,0.000738498,0
186.0493394,0.004744045,0.01797712,0.012914793,0.000206234
185.043235,0.015482743,0.094938114,0.063593107,0.013510334
184.0340215,4.70E-05,0.006172316,0.00713,0.000198981
173.0435286,0.000330967,0.00550924,0.007682415,0.000379907
171.0270123,0,0.011639453,0.009346,0.000553824
169.0477036,0.000184549,0.052564493,0.036772772,0.006863161
167.0313449,0,0.004878174,0.002862817,0
163.0577759,0,0,0.001847214,0
157.0477318,0,0.011939236,0.006702793,0.000178308
156.0393137,0,0.002212872,0.001444761,0
155.0316983,0,0.017880738,0.011080162,0.000427048
145.0503264,0,0.000156982,0.014654301,0.002506962
139.0368292,0,0.002204866,0.000933561,0
138.0292616,0,0.00049937,0.000590587,0
127.0376526,0,0.008539669,0.01634867,0.003636952
126.0293158,0,0.000936531,0.000291532,0
125.0209954,0,0.008937113,0.005085861,0.000224707
113.021289,0.00013709,0.020803201,0.014096399,0.000708586
112.0127325,0,0.003409191,0.006186006,0.000365857
111.0054725,0,0.001009911,0.000634755,0
