Mass,10EV,15EV,20EV,25EV
112.0122449,0,0.001953153,0.008156589,0.000335187
113.0206767,0.002550162,0.008839079,0.006318302,0.000154631
125.0209422,0,0.006958459,0.00447871,0.000169086
127.0381233,0,0.007187167,0.015646339,0.002405897
139.0368556,0,0.011765716,0.00722675,0.000203356
140.0446072,0.003232116,0.024731022,0.018533606,0.000859669
141.0512258,0.004843267,0.020427726,0.011850398,0.000945111
145.0499508,0,0,0.013565953,0.000499548
155.0311556,0.002128203,0.012038122,0.006965968,0.000329633
156.0386361,0,0.012761595,0.00555004,0
157.046844,0.002315694,0.017132638,0.010662248,0.000215933
163.0593507,0,0,0.01008875,0.000317905
167.0312245,0,0.002093154,0.001311385,0
169.0477458,0.006934078,0.023947685,0.017176676,0.001107044
171.0266334,0,0.00753747,0.006497031,0.000250494
173.0427064,0,0.001873008,0.00329983,0.000106439
184.0340769,0,0.004843106,0.008856678,0.000225868
185.042885,0.019289521,0.092656795,0.061718212,0.012510928
186.0500317,0.00844039,0.012857828,0.011097144,0.000399603
191.0554736,0,9.66E-05,0.003408906,0
201.0386075,0.045626329,0.130438092,0.08115373,0.016177666
203.0533959,0.012736522,0.048166079,0.042712546,0.006849413
218.0393864,0.00486719,0.008688985,0.009265868,0.000114144
231.048957,0.035171201,0.130395465,0.112941307,0.02232578
244.0536019,0.005855032,0.005194813,0.003004815,0
245.0645684,0.013674357,0.090841131,0.059925488,0.010733139
257.0643427,0,0.009611848,0.041086647,0.005328348
259.0798619,0.018354104,0.156990376,0.102642705,0.019569928
273.0587466,0,0.020226745,0.010440417,0
305.0860267,0,0.007902733,0.003188586,0
317.0821997,0.003438609,0.01743899,0.009837728,0
319.0993169,0,0.001371536,0.000508307,0
333.0797539,0.003959327,0.025066662,0.011612868,0.000595432
347.094787,0.002690392,0.024549673,0.009691201,0.00045894
