mz,10EV,15EV,20EV,25EV
103.0387466,0,0,0.004166352,0
109.0238695,0,0.001797457,0.005111909,0.001156247
111.0075864,0,0.002931726,0.00367535,0
112.0109374,0.008349216,0.055631348,0.038626649,0.011872441
113.0208873,0,0.015100314,0.020565207,0.005207015
115.0365708,0,0,0.004885568,0.001481906
125.0210891,0.000479765,0.018664271,0.012135902,0.002339128
126.0305306,0,0.003445611,0.003788624,0
127.0386094,0,0.016760578,0.090115114,0.034966526
132.027151,0,0,0.00137852,0.001117212
137.0219623,0,0.000958619,0.002808821,0
139.035423,0,0.00209652,0.001100251,0
141.0161575,0,0.001931671,0.003231788,0.00040594
141.0510923,0,0.005658728,0.005469822,0
143.0285952,0,0.001565773,0.000542981,0
145.0513062,0,0.00245355,0.077222492,0.022093386
149.0452754,0,0,0.004139754,0
154.0220856,0,0,0.002143523,0
155.03361,0,0.015105793,0.009919187,0.001368323
156.0375238,0,0.002596119,0.002780838,0
157.0487159,0,0.013167359,0.01205214,0.002414732
158.0546633,0,0.001173275,0,0
163.0610549,0,0,0.008214754,0.001235055
167.0317417,0,0.004441484,0.004619499,0.001373246
168.0382103,0,0.00273831,0.002372803,0
169.0504412,0.003129758,0.111818871,0.080028965,0.018125813
171.0295872,0.004303718,0.070956371,0.149842427,0.056287459
173.0451402,0,0.003796444,0.001888305,0
183.028112,0,0.00138718,0.001686083,0
184.037607,0.018707567,0.035159218,0.0204242,0.004467377
185.043399,0.02368342,0.221942926,0.183926133,0.063600308
186.0518367,0.036015147,0.07101647,0.0396167,0.008359104
189.0390353,0,0.001805438,0.009435906,0.001921144
190.0426443,0,0.001005133,0,0
201.0372455,0.043417683,0.156487042,0.157789075,0.044057213
202.0489743,0.000509558,0.00319609,0.006444881,0.0007522
203.0538651,0.059102226,0.162120484,0.112429301,0.026999259
218.0393343,0.052673377,0.10493294,0.059049351,0.011867211
219.0453429,0,0.001463633,0.000449632,0
231.0475847,0.015484571,0.0764262,0.038232989,0.007323493
245.0696638,0,0.020115126,0.010799161,0.000969021
259.0367741,0.004637833,0.013331468,0.007113399,0
260.0494984,0.004986403,0.010241496,0.005010378,0
261.0563593,0.062054556,0.120958089,0.070372528,0.01523804
273.0623883,0,0.001408824,0,0
275.0767984,0.008994273,0.096972133,0.053092251,0.011722138
291.0701009,0.000506017,0.012427365,0.006340067,0.000464095
303.0688532,0.001553955,0.003609946,0.001629686,0
311.0998492,0,0,0.004990485,0
317.0900524,0,0.02296967,0.01076033,0.001047639
333.0822305,0.005496152,0.018702195,0.00854199,0.000382209
334.0883614,0.00718741,0.005408385,0.003156566,0
347.0966338,0,0.00980945,0.002432276,0
349.0730689,0.002804004,0.001108335,0,0
