mz,10EV,15EV,20EV,25EV
103.0398329,0,0,0.003148231,0
107.0114929,0,0.001431692,0.000458791,0
109.0252438,0,0.001178432,0.000469209,0
111.0055878,0,0.001198533,0.001182098,0
112.0110658,0,0.002615174,0.005490206,0.004257929
113.0209869,0,0.015139419,0.012721435,0.002212598
125.0219458,0,0.017073944,0.013246265,0.0024819
127.0398263,0,0.013071117,0.016542686,0.004741016
132.0179472,0,0,0.000584409,0.001158502
137.0194129,0,0.00477015,0.004181631,0
138.0291861,0,0.002002116,0.000368055,0
139.0344199,0,0.003815468,0.001706388,0
141.0179041,0,0.002374353,0.001076113,0
141.0499906,0,0.001939013,0.000948374,0
145.0490716,0,0,0.010242699,0.002804995
149.0454061,0,0,0.012829793,0.003726695
155.0300007,0.000960804,0.026009033,0.017630451,0.003030866
156.0413667,0.005345691,0.01708755,0.010710331,0.001319009
157.0484393,0,0.020657467,0.016038297,0.003117692
158.0534697,0,0.001480208,0,0
163.0586935,0,0,0.008143985,0.000983536
167.0330994,0,0.005237117,0.003658198,0
168.0383012,0,0.002059978,0.001301228,0
169.0425019,0.003354043,0.092099127,0.072515073,0.018572767
171.0283653,0,0.006609599,0.007914257,0.000559214
173.0396865,0,0.006844493,0.004271441,0.000409634
183.0255567,0,0.001461391,0.000352963,0
184.0351075,0.000420415,0.006421893,0.005909709,0
185.0474673,0.012816557,0.109607931,0.078564409,0.020018648
186.0479234,0.007592677,0.026669946,0.018106363,0.004114447
201.0385121,0.040737168,0.165301143,0.113997635,0.027540673
202.0477893,0.00046329,0.002701609,0.001085726,0
203.055337,0.013695001,0.053331107,0.131173272,0.044550077
213.041379,0,0.001685313,0.000488715,0
218.0393028,0.007370197,0.040386094,0.028050995,0.0056224
225.0446597,0,0,0,0.002170973
231.0492766,0.042270562,0.192563293,0.177883457,0.060025787
244.0621004,0.00529331,0.028464489,0.016706251,0.003093218
245.0649787,0.002849432,0.102246308,0.064156229,0.015356472
257.0680659,0,0.006080321,0.004924126,0
259.0796121,0.00253591,0.038788172,0.020663003,0.003434091
261.0576978,0,0.001059655,0.000645404,0
273.0592541,0,0.005543744,0.002461157,0
275.0754434,0,0.00326381,0.00129712,0
291.0713608,0,0.003296869,0.000775314,0
305.079679,0.014791447,0.044500673,0.026233179,0.003778296
311.0966918,0,0,0.003303671,0
317.0917238,0,0.029042301,0.015549491,0.002832625
331.0958347,0,0.001175369,0,0
333.0764097,0.037693853,0.082933832,0.047598795,0.010267018
334.0814824,0.003702261,0.004485424,0.002475252,0
346.086069,0,0.001161592,0,0
347.0920995,0.002336341,0.017428413,0.008706123,0.001048305
349.0770662,0.002118145,0.000906829,0,0
