mz,8EV,10EV,15EV,20EV,25EV
102.0451846,0,0,0.004777324,0,0
103.056979,0,0.007041885,0.017926741,0.007524598,0
105.0342352,0.005837965,0.024503593,0.038431035,0.023354925,0.011848214
108.02057,0,0.003904786,0.038848756,0.049936839,0.020440656
109.0297539,0,0,0.007265956,0.00396297,0
111.0487656,0,0,0.003444399,0,0
113.0320871,0,0,0,0.003133087,0
115.0529448,0,0.015053481,0.046520264,0.046245401,0.020794884
118.0421562,0,0.009485259,0.067052419,0.066108902,0.026649895
119.0499317,0,0.021310901,0.029231546,0.015677699,0.004928697
121.0276307,0.006261497,0.032764547,0.058887664,0.024921847,0.010879538
126.0481095,0,0,0.007401532,0.004687249,0
127.0474279,0,0,0.007474665,0,0
127.5330643,0,0,0.020358283,0.037257837,0.021325845
128.0628972,0,0.04548732,0.072400593,0.030564649,0.010687611
129.0656992,0,0.032079161,0.0257338,0.008843527,0
131.048238,0,0.011396841,0.022440004,0.010505013,0.003933634
133.0289235,0.012519425,0.045018825,0.02427662,0.012260587,0.00386504
134.0350536,0,0.002962605,0.01314255,0.00604635,0
136.0152281,0,0,0.003728748,0,0
137.0210899,0.059360046,0.198905739,0.252012254,0.164726908,0.083108979
139.0531797,0,0,0.017357844,0.014038334,0.005864316
140.0713524,0,0,0.004259919,0,0
141.0699467,0,0.017201661,0.051075403,0.044140732,0.014310828
143.0859861,0,0.019401497,0.009743063,0,0
144.0575889,0,0,0.008201753,0.005050234,0
145.027756,0.007836651,0.05165845,0.030803508,0.011469761,0.004966466
147.0456221,0,0,0.003978853,0,0
149.0199707,0.003526422,0.033691515,0.014503477,0.006295273,0.001984031
150.0487126,0,0,0.009647254,0.005627261,0
152.0636074,0.005572022,0.090060458,0.146991792,0.080710335,0.032668898
153.0700285,0.007931749,0.086341692,0.089824323,0.045607797,0.017201526
154.0396079,0,0,0.017016254,0.012019843,0
155.042769,0,0,0.015651556,0.009187331,0
156.0565351,0,0,0.011540699,0.004262323,0
157.063774,0.006178689,0.055852378,0.041104444,0.02116447,0.00648876
158.0717875,0,0,0.004696529,0,0
161.0230892,0.02026694,0.014791334,0.005068079,0,0
162.0324755,0,0,0,0,0.003196349
163.0525277,0,0,0.003388901,0,0
165.0657,0,0.01624031,0.009994227,0.004251491,0
168.0596773,0,0.00371458,0.0222396,0.01389053,0.005171848
169.0615247,0,0.028391422,0.076371762,0.049289741,0.015226246
170.0689068,0,0.005683832,0.014927607,0.007685585,0
171.0805637,0.006039643,0.059928852,0.030925212,0.014368489,0.004149196
180.0585574,0,0,0.004535374,0.002610479,0
181.0677922,0.042556007,0.178476989,0.176849156,0.101233597,0.037393635
182.0705862,0,0.00604924,0.011308157,0,0
184.049895,0,0.017191888,0.031687399,0.011129892,0.004830941
185.0622355,0.003935908,0.019186187,0.01087403,0.006324647,0
196.0447344,0,0,0.003049645,0,0
197.060592,0,0.048419336,0.165154228,0.091227511,0.033374951
198.070795,0,0.027229151,0.039133434,0.021780518,0.008013923
199.078047,0.126029199,0.292671637,0.186184603,0.122876407,0.048152557
200.0448606,0,0,0.006486225,0,0
208.051736,0,0.002298662,0,0,0
209.0599207,0.071455944,0.122227695,0.053540723,0.028691408,0.006907579
210.066279,0,0.019172771,0.02916742,0.007835765,0.002641513
211.0750536,0.003253901,0.014225628,0.005476722,0,0
212.0348424,0,0,0.003377621,0,0
213.0597765,0,0.010606201,0.005182543,0,0
224.0419568,0,0,0.002801459,0,0
225.0439923,0,0.01483116,0.053093456,0.028940589,0.008594362
225.0689983,0,0.015491086,0.053093456,0.028940589,0.008594362
226.0585831,0.020632865,0.13135619,0.252874114,0.133516787,0.04712885
227.0739782,0.104241755,0.235677043,0.123157683,0.074117217,0.028650988
237.0585997,0.219737835,0.280202727,0.138394797,0.084563602,0.025909814
252.0451112,0,0,0.002034621,0,0
253.047025,0,0.037114942,0.122101622,0.057204089,0.018670465
