mz,8EV,10EV,15EV,20EV,25EV
102.0473445,0,0,0.024934696,0.034232133,0.021663071
103.0541733,0,0.018182291,0.069959441,0.050362012,0.015806695
105.0364282,0,0.053392588,0.107937876,0.065684905,0.02457462
107.0122074,0,0,0.001938372,0,0
108.0227957,0,0,0.00768749,0.002927364,0
111.002466,0,0,0.013496821,0.018176848,0
115.0562976,0,0.014007725,0.036919788,0.033702173,0.012393045
121.0267582,0,0.002429524,0.007849169,0.004372581,0
123.0109557,0,0,0.016545708,0.018244355,0.00706952
124.0167477,0,0.012905156,0.081722064,0.111962449,0.030024982
126.0428188,0,0,0.006110761,0.008278078,0
127.043222,0,0,0.00444288,0.003203111,0
127.5321724,0,0,0.023456137,0.065609844,0.034420011
128.0608942,0,0.012770861,0.019328393,0.014497789,0
129.0347288,0,0.026039265,0.064513533,0.03416514,0.008199999
131.0540707,0,0,0.006319253,0,0
135.0076015,0,0,0.002450386,0,0
137.0282052,0,0,0.009350726,0.006014044,0
139.0534113,0,0,0.027503509,0.021902253,0
141.067852,0,0,0.02489813,0.021031804,0.005880056
144.0601812,0,0,0.003188722,0.003447634,0
145.0622412,0,0,0.005404856,0.004783041,0
147.042298,0,0.029453729,0.028770294,0.016651671,0
149.0226102,0,0.006999654,0,0,0
150.0285422,0,0,0.015502979,0.007439009,0
152.061439,0,0.022144893,0.11008444,0.06416697,0.01801643
153.0181211,0.016848644,0.178713275,0.200494546,0.131688258,0.060587796
154.0191733,0,0,0.01000238,0.002721065,0
155.0466857,0,0,0.00693665,0.006187764,0
157.0664885,0,0.015705625,0.009357871,0.004225975,0
167.0471376,0,0,0.002678833,0,0
168.0574071,0,0,0.004689453,0,0
169.063073,0,0.005043064,0.027387391,0.02381219,0.006415599
170.0167596,0,0.01419461,0.075551384,0.039222669,0.009398674
171.0346737,0,0.053570021,0.058400034,0.029816253,0.007410567
178.0279023,0,0.014621171,0.020998836,0.007223223,0
181.0667628,0,0.035093017,0.052209811,0.026760338,0.004785732
184.0581703,0,0,0.007308185,0,0
185.0678664,0,0.057944809,0.015946264,0.008027413,0
187.0700631,0,0.013039741,0.006651996,0,0
197.0581509,0,0.006385687,0.036134038,0.030025957,0.005765513
198.0642085,0,0,0.003525833,0,0
199.0728278,0,0.024923091,0.006004356,0.002730414,0
209.0645019,0,0.057194936,0.029445916,0.014609437,0
210.0666084,0,0,0.003050422,0,0
213.0586788,0,0.032436938,0.012335729,0.00452342,0
225.0531675,0,0.010737251,0.030365172,0.024454334,0.007737138
226.0677795,0,0.085599423,0.245253246,0.132090104,0.038992746
231.0677434,0,0.013304055,0.005080879,0.002307204,0
237.0559462,0.010580437,0.072061254,0.022134319,0.013202164,0.003491757
241.0505498,0,0.003881713,0,0,0
253.055211,0,0.008712088,0.051045092,0.025012718,0.006033527
