mz,8EV,10EV,15EV,20EV,25EV
102.0497708,0,0.002070317,0.005564884,0.007405519,0
103.0506416,0,0.00877349,0.010453391,0.01098651,0.002769138
105.0328673,0,0,0.006218231,0.012579242,0.0032621
107.0512218,0,0.006281435,0.02537882,0.016796063,0.004602533
108.0212295,0,0,0.015094673,0.009301848,0.003085486
111.0070835,0,0.011119819,0.010323845,0.01286553,0.002629314
115.0515424,0,0.034063499,0.059020264,0.046310327,0.015484317
116.0644571,0,0,0.002749865,0.002080679,0
117.0722628,0,0.006026029,0.005832171,0.003350912,0
118.0386137,0,0.005095076,0.031966919,0.053060769,0.014348801
119.0506564,0,0.018842912,0.029450046,0.024908421,0.006998919
121.0272883,0.032653239,0.068873266,0.044175941,0.030599846,0.009945614
123.0060573,0,0,0.007184947,0.011122706,0.00371724
124.0172912,0,0.004017089,0.035011076,0.06635192,0.020837404
126.0367666,0,0,0,0.004035728,0.001097195
127.0448842,0,0.001757637,0,0,0
128.0614558,0,0.004431953,0.012229096,0.01234811,0.004439527
129.0698247,0,0.00335024,0.005268745,0.00745279,0
131.0501558,0,0.018356815,0.01740193,0.016501495,0.004404782
133.0319924,0,0.00539584,0.004363764,0.001571814,0
134.0324611,0,0,0.006281633,0.003872792,0
135.0423749,0,0,0.004097188,0.003852254,0
137.0253637,0.012092464,0.023234564,0.033283061,0.016620633,0.002991237
139.0551784,0,0,0.021491384,0.029895694,0.008553653
140.0594362,0,0,0.004193461,0.005135681,0
141.0731303,0.001980775,0.050562824,0.057274006,0.036265428,0.009423377
144.0655221,0,0.005272333,0.011395716,0.006424462,0
144.5342993,0,0,0.009113764,0.0250393,0.012051102
145.0321762,0.002629472,0.045885312,0.021500092,0.015027629,0.002425273
147.0441337,0,0.005619673,0.007329791,0.005106594,0
147.0750488,0,0.006619903,0,0,0
149.0256597,0.024422596,0.086119952,0.041926284,0.027083522,0.008554312
150.0304033,0,0,0.005188113,0,0
152.0113304,0,0.006831095,0.019753627,0.012623652,0.003643278
153.0163689,0.030175978,0.196800684,0.218587673,0.165519972,0.06310109
154.023502,0,0,0.005456159,0,0
155.0473683,0,0.00409207,0.012856234,0.009854043,0.0020205
157.0671802,0,0.006118197,0.010990756,0.013972518,0
158.0406918,0,0.005306926,0.020608424,0.007327929,0
159.0444138,0.002693203,0.036953147,0.017553987,0.012376225,0.002417992
165.0150503,0,0.021765378,0.009786856,0.006060138,0
167.037736,0,0.001685782,0,0,0
168.0568771,0,0.009477679,0.03244483,0.023938967,0.005388511
169.0638186,0.006434094,0.05783502,0.053198028,0.028929273,0.006367437
170.018788,0,0.020566415,0.058018689,0.040586104,0.010991443
171.0354282,0,0,0.006315052,0.007270009,0
172.0550988,0,0,0.00379403,0.001320079,0
173.0558716,0.021311023,0.046091433,0.017164372,0.00936504,0.002402299
175.0674208,0,0.003254662,0,0,0
177.0188359,0.031749258,0.035197377,0.007243645,0.005040907,0
178.0247634,0,0.00157034,0,0,0
179.0519087,0,0,0,0.001127191,0
181.0622848,0,0.007137493,0.00409456,0,0
183.0414319,0,0.008074436,0.007946328,0.004892837,0
184.0456811,0,0,0.003360715,0.002464078,0
185.0660161,0,0.007048333,0.010956075,0.008659046,0
186.0677714,0,0,0.003163817,0,0
187.0400461,0,0,0,0.004180659,0
187.0708896,0,0.027184104,0.00898193,0.006484112,0
196.0500303,0,0.002285449,0.003994075,0.002441935,0
197.0562695,0.01913672,0.105073099,0.082143688,0.04649507,0.012069233
199.0654078,0.003584465,0.005134271,0,0,0
199.0930768,0,0.004004743,0,0,0
200.0502217,0,0.005299641,0.012058668,0.005429917,0
201.0541488,0.015406735,0.021829136,0.007871811,0.005777524,0
211.0293122,0,0.001349866,0,0,0
213.058191,0,0.022566192,0.070286132,0.045326505,0.011606376
214.0640763,0,0.007067502,0.008572346,0.003766137,0
215.0708925,0.051092255,0.211147848,0.108896083,0.068893134,0.020972961
216.0440396,0,0,0.00344948,0,0
219.0695309,0,0.002116962,0,0,0
224.0477009,0,0,0.009392016,0.003226543,0
225.0541649,0.055685623,0.090231145,0.041676441,0.025064208,0.005560242
226.0614103,0,0.009508695,0.005814727,0.002790363,0
227.0709046,0,0.006505295,0,0,0
228.0456294,0,0,0.00287414,0,0
229.0357966,0,0.00480344,0.002024715,0,0
240.0448977,0,0,0.002032409,0,0
241.054664,0,0.011683689,0.044584888,0.037542983,0.008151145
242.0543456,0.0138997,0.092942818,0.205171078,0.102029193,0.029333998
243.0667964,0.082097504,0.188016086,0.086751142,0.056674101,0.017161018
252.0403896,0,0,0,0.001378723,0
253.0594541,0.121167333,0.193979291,0.082380563,0.05063199,0.014310402
268.0364334,0,0,0.001312724,0,0
269.0503143,0,0.026089873,0.081200352,0.046971778,0.01561845
