mz,8EV,10EV,15EV,20EV,25EV
102.0463857,0,0,0.002871759,0.008616918,0.002927587
103.0553576,0,0,0.002428831,0.004437974,0.000980239
105.0337686,0,0,0.001400495,0.00274171,0.003000367
106.0764051,0,0,0,0.001388011,0.001020496
111.0069027,0,0,0.001616647,0.002866287,0
112.0092932,0,0,0,0.001577076,0.003104879
115.0554912,0,0,0.010635836,0.012777327,0.006249781
117.0306576,0,0,0.005856926,0.019309506,0.005148803
118.0415377,0,0,0.003367481,0.004923491,0
123.0112301,0,0,0.008008197,0.010322914,0.002016762
124.0149628,0,0.00333686,0.032864881,0.061297676,0.014733567
128.0589799,0,0,0.006420291,0.011685915,0.004341486
129.070395,0,0,0.003183303,0.003597292,0.00052818
131.0469116,0,0,0.001852074,0.003149419,0
132.0564287,0,0.007786774,0.055235701,0.05391678,0.012798258
133.0670277,0,0.014074197,0.031966166,0.022425863,0.004295266
135.0412368,0,0.002217377,0.013708484,0.011302746,0.003125459
139.0517657,0,0,0.01101924,0.014831228,0.003996299
140.0584143,0,0,0.002125825,0.00066738,0
142.0321435,0,0,0,0.005850127,0.003111874
142.5419858,0,0,0.055359482,0.114769561,0.058057211
145.0630183,0,0,0.002794516,0.004619316,0
152.0089657,0,0,0.005001414,0.003042055,0
153.0203391,0.00318306,0.05948758,0.146213809,0.130589129,0.043226521
155.0526034,0,0,0.000695997,0.001125459,0
157.0645164,0,0,0.004915031,0.005769517,0.000471938
168.0579637,0,0,0.006625711,0.003968417,0
169.0668577,0,0,0.004292604,0.003664243,0.001169279
170.0211645,0,0.005793289,0.026865803,0.022976295,0.004771224
171.0352498,0,0.003028758,0.008626996,0.00577642,0
184.0483569,0,0,0.002556168,0.001958053,0.000804287
185.0600776,0,0.000627372,0.009354134,0.008301092,0.001390197
196.0584191,0,0,0.001876753,0.000528336,0
197.0585647,0,0.002835262,0.014357103,0.010386056,0
201.0495699,0,0,0.008845179,0.005755092,0
203.031351,0,0,0.002300835,0.003334571,0
211.07338,0,0.001039115,0.006967862,0.00229856,0
212.0471602,0,0,0.002791591,0.002748492,0
213.0577163,0,0.014893832,0.062302612,0.041546877,0.00936698
227.0616733,0,0.001421149,0.006953156,0.004082594,0
241.0485583,0,0.032463316,0.08349232,0.056574562,0.013232628
242.0605798,0.115935363,0.284207276,0.413651108,0.288351227,0.129211882
253.0454307,0,0,0.006856961,0.006317278,0.001766721
254.0554225,0,0,0,0.00487945,0.004925858
255.0630548,0,0.005586398,0.023029421,0.021735636,0.006723561
256.0728235,0.003617419,0.032549595,0.12412244,0.056596261,0.015871065
259.059208,0,0,0.00130179,0.005918411,0.003814284
269.0443949,0,0.012602713,0.011364562,0.005654155,0.000459351
270.0596545,0.323415259,0.453286108,0.291738778,0.233238559,0.093371035
