mz,8EV,10EV,15EV,20EV,25EV
102.0460167,0,0,0.001920851,0.002680849,0
103.0544656,0,0,0.002979469,0.005424346,0.00130597
105.0351182,0,0.000731545,0.005310311,0.006475817,0.003485371
108.0220138,0,0,0.003813845,0.005748407,0
111.0418581,0,0,0.004567054,0.004600211,0.001376501
112.008244,0,0,0,0.001271769,0.002636408
115.0543929,0,0.012452249,0.025889343,0.027698046,0.009177244
118.0395359,0,0.007967511,0.051128682,0.052837045,0.025580702
119.0483747,0,0.000507201,0.005168686,0.005022223,0.000817096
121.0281351,0,0.006392049,0.014963413,0.011279742,0.002551107
123.00585,0,0,0.004377402,0.015777276,0.004074507
124.0171544,0,0.00236985,0.019152598,0.013228585,0.002382049
125.0237118,0,0.003630802,0.021802745,0.01016699,0.00112939
126.9046093,0,0,0,0.000728051,0.001694236
128.0603972,0,0.002137694,0.017671466,0.02090205,0.005233897
129.0696941,0,0,0.00765324,0.009942141,0.001700285
131.0529453,0,0,0.004482763,0.005826448,0
133.0285201,0,0.003825613,0.004177392,0.002392126,0
134.0313391,0,0,0.003379812,0.00135592,0
135.0424748,0.005178081,0.012837937,0.013540954,0.007245391,0
137.0242594,0,0,0.002623397,0.002392531,0
138.0316149,0,0,0.002777626,0.006103082,0
139.0539027,0,0.009464669,0.034547143,0.034277777,0.01817735
140.0635722,0,0.001518168,0.006064041,0.004284733,0.000704907
141.0684986,0,0.017422523,0.025180947,0.016964587,0.003959464
143.0500148,0,0,0.00270959,0.00326403,0
144.0568115,0,0,0.003882712,0.002817743,0
145.0288056,0,0.008799295,0.004100248,0.003294396,0
147.0430919,0,0,0.00263226,0.000883075,0
151.0375339,0,0.003238715,0.004332105,0.003871047,0
152.060796,0,0.003569218,0.005370082,0.004431917,0.00138234
155.050653,0,0,0.004184424,0.004192357,0.000737016
157.0661982,0,0.005605171,0.031889565,0.032182031,0.006824503
158.073003,0,0.001219403,0.009904955,0.003294776,0
162.027521,0,0,0.004127868,0.002479441,0
163.0371468,0.008472688,0.027169936,0.008247002,0.004053765,0.000584166
165.0689269,0,0.003377674,0.001207261,0,0
167.0325841,0.000456009,0.01971674,0.031828217,0.020919987,0.004577499
168.0534679,0.000941038,0.030470253,0.060003566,0.034644844,0.007703011
169.0616875,0.003022767,0.030754309,0.037264245,0.019868434,0.004552971
171.0456094,0,0.003004574,0.010391865,0.009370525,0.001675564
173.0575924,0,0,0.001857629,0.000506262,0
179.0491276,0,0.000934381,0.001906895,0,0
181.0627328,0.001727604,0.01112203,0.008900868,0.007614581,0.00060732
183.0392426,0,0,0.00033242,0.001216844,0.000737391
184.0363113,0,0.008293989,0.045713938,0.03580366,0.008186829
185.0611607,0,0.006816806,0.030590666,0.022441981,0.005955691
186.062366,0,0.003778268,0.012872726,0.004164062,0
191.0330267,0.017921172,0.014344511,0.005086793,0.002875924,0
195.0422584,0,0,0.002293507,0.001617157,0
196.0513627,0.000908936,0.021751858,0.025850819,0.016823852,0.004759385
197.0612379,0.010553755,0.063860133,0.059795032,0.039998102,0.010636742
198.0678745,0,0.003614716,0.002343271,0.000631346,0
199.0640647,0,0,0.00356155,0.003612307,0
200.0447246,0,0,0.001516278,0.000616438,0
209.060608,0.000685958,0.002771001,0.000921204,0.000542306,0
211.0759526,0,0.007853431,0.002765196,0.000662141,0
212.050037,0,0.000772444,0.006903676,0.007963022,0
213.0538837,0,0.021992255,0.075615279,0.046912378,0.01267511
214.0680511,0.001702964,0.015527103,0.017862807,0.009258932,0.00091111
224.0416281,0,0.007716973,0.011239179,0.017356031,0.01020366
224.0695142,0,0.002724766,0.003427243,0.00582808,0.004144515
225.0571126,0.020820278,0.077267004,0.04637837,0.029087371,0.009733831
226.0656569,0.004778406,0.020194447,0.021425387,0.019581886,0.003731196
227.0687784,0,0.006990074,0.020041774,0.01608755,0.002368765
229.0831466,0.026060545,0.106606834,0.045579568,0.029310183,0.008000904
239.0736641,0.015148339,0.042549679,0.016743974,0.008461606,0.002094403
240.0403595,0,0,0.003279828,0.002412492,0
240.0689193,0,0.001597677,0.002565119,0.003025029,0
241.0556135,0.002886654,0.021177913,0.071740871,0.04243536,0.013378684
242.0589564,0.011828064,0.085783307,0.161165627,0.089800753,0.026703047
252.0378838,0,0.005380962,0.002477476,0.001996078,0
253.0580775,0.000667381,0.006923102,0.021390201,0.010277349,0.001889209
254.0588911,0,0.00345936,0.004010098,0.002262844,0
255.0648118,0,0.009847584,0.041078238,0.025641955,0.005298239
256.0720076,0.007533361,0.032209025,0.047026374,0.031228723,0.007576488
257.0777212,0.049073755,0.048310692,0.01812195,0.011167909,0.002379127
267.0678067,0.147472204,0.211750902,0.086699617,0.059853948,0.019649033
268.0424369,0,0,0.003235648,0.004984087,0
269.0471793,0,0.015999805,0.046110772,0.024024167,0.005781421
270.0528129,0.073638689,0.319253588,0.219957917,0.160113911,0.055685482
