mz,8EV,10EV,15EV,20EV,25EV
106.0771225,0,0,0.00095444,0.001094578,0.001790526
108.0197215,0,0,0.003306715,0.006650578,0.000883455
111.0458866,0,0,0.002071478,0.001916647,0
112.0037961,0,0,0,0.001327146,0.001498071
115.0532329,0,0,0.007724785,0.00884118,0.00282186
118.0404261,0,0,0.011537703,0.021992312,0.011684387
119.0492745,0,0.003079653,0.020287438,0.015687386,0.002948516
120.0592798,0,0,0.00593722,0.002201981,0
121.0270709,0,0.002218786,0.025804577,0.022649685,0.006447611
123.0058426,0,0,0.011600404,0.014643743,0.0033978
124.0159177,0,0.011953078,0.071728402,0.048343593,0.012367182
128.0634189,0,0,0.004453586,0.007639672,0.001485021
129.0706878,0,0,0.001985393,0.0021642,0
131.0499189,0,0,0.005741188,0.006249009,0.000777947
137.0240182,0,0,0.006073856,0.005801869,0.00320335
138.027894,0,0,0.007572311,0.02505933,0.004064794
139.0538911,0,0,0.010991809,0.012012221,0.001577541
142.5365457,0,0,0.006357177,0.02156156,0.007647883
145.0296709,0,0.001642424,0.007097416,0.004674946,0
147.039892,0,0,0.001713882,0.000771211,0
152.0585146,0,0,0.000741697,0.001322447,0
155.0376736,0,0,0.006144513,0.007568735,0
157.0645603,0,0,0.009514831,0.011932911,0
160.053637,0,0,0.008216584,0.002939368,0
163.0385686,0,0.001339613,0.001403415,0,0
167.031632,0.000572383,0.031724412,0.072238445,0.065612331,0.019643547
168.0554631,0,0.002343452,0.018849426,0.011192201,0.001564221
169.0653532,0,0.001550924,0.009489663,0.006077248,0.000754193
171.0420049,0,0,0.002245241,0.001489431,0
184.0495586,0,0.001952373,0.014469705,0.013447224,0.002607409
185.0488267,0,0.006004042,0.018385713,0.013408736,0
187.0372569,0,0.00414034,0.023345317,0.010265352,0.002751289
196.0520422,0,0.000899687,0.010228877,0.00398652,0
197.0569231,0,0.009451405,0.040579034,0.019633425,0.003706785
212.0474421,0,0,0.003584653,0.004980565,0.000985895
213.0557037,0,0.007971271,0.054647699,0.030675198,0.008139123
224.0496351,0,0.002327374,0.009868155,0.004953797,0
225.0556729,0,0.00133748,0.002777625,0.001233949,0
226.0610213,0,0,0.007001765,0.002472533,0
227.0720053,0,0,0.007521531,0.004793869,0
229.0877154,0,0.00972238,0,0.000532885,0
239.0745749,0,0.001379016,0.000804811,0,0
241.0440139,0,0.009156371,0.030585854,0.02450514,0.005585295
242.0589305,0.013588908,0.085332866,0.220102247,0.13334435,0.045901723
254.0578563,0,0.002567691,0.016364025,0.011983181,0.004163215
255.0662051,0.001521287,0.030494767,0.099994137,0.057933754,0.015347547
256.074048,0,0.040153216,0.124639336,0.087387195,0.020373159
267.0589547,0.001328359,0.012915603,0.001575934,0.000856898,0.002760127
270.0566062,0.040258307,0.218515632,0.13025054,0.084541544,0.027610697
