mz,8EV,10EV,15EV,20EV,25EV
103.0601676,0,0,0.00325753,0.002563167,0
105.0525285,0,0,0.004004249,0,0
107.0528039,0,0.003140747,0,0,0
108.020778,0,0,0,0.001878304,0
109.0309867,0,0.004518504,0.003372449,0,0
110.0366403,0,0,0.003588283,0,0
111.0066176,0.003848284,0.0357125,0.026745016,0.013382174,0.0038347
115.0510569,0,0,0.008823784,0.005930774,0
119.0469422,0,0.001737592,0,0,0
121.0256953,0.006706421,0.031476822,0.033801074,0.019121697,0.005826255
122.0352687,0.010446453,0.033842636,0.050229462,0.021202022,0.006539337
123.0468602,0,0.007043174,0.021230501,0.015566124,0.002358613
124.0200381,0,0,0.013715838,0.014549431,0
126.0318249,0,0.002680333,0.006463113,0.006565896,0
127.0421304,0.020418746,0.036633912,0.015054104,0.009821577,0
131.0473479,0,0.003127182,0.005725126,0.005322244,0
137.0236238,0.021041884,0.073608366,0.075787307,0.05437295,0.018872836
140.0472256,0,0,0.003757205,0,0
145.0681524,0,0.003140839,0,0,0
149.0214181,0.037286034,0.097887378,0.05167309,0.032090239,0.00890407
150.0345516,0.06097307,0.149338761,0.071691671,0.046800403,0.013335996
151.0402719,0,0.00436544,0,0.002601092,0
152.0082472,0,0.002746403,0.002732349,0,0
153.02055,0.126611461,0.194489681,0.214903394,0.153811154,0.056642141
159.0424773,0,0,0.001989137,0,0
161.058191,0,0.015457273,0.006307924,0.00528446,0
163.0390196,0.004311081,0.031495933,0.021921949,0.011201616,0.003719883
165.0180995,0.016018791,0.062124401,0.032350332,0.019383684,0.005077198
166.0234869,0,0,0.002257585,0,0
170.0205909,0,0,0.002480358,0.002641704,0
171.042363,0,0,0.005115346,0.004236674,0
172.0504763,0,0,0.001982754,0,0
173.0615518,0,0.009109057,0.004308212,0,0
175.03421,0,0,0,0.001561716,0
177.0193517,0,0.00502527,0,0,0
183.0273482,0.002268884,0.03405157,0.021937918,0.011388731,0.002536897
187.0459126,0,0.010750262,0.015974966,0.009148144,0.002815691
191.0362823,0,0.00558991,0.006064815,0.003028354,0
194.0239186,0,0.002363761,0.011186124,0.005089844,0
200.0451583,0,0,0.00758055,0.004682738,0
201.0546311,0,0.005595741,0.00588059,0,0
203.0308996,0,0,0.006805883,0.006140904,0
205.049125,0,0.022751147,0.019988381,0.012332753,0
213.0457739,0,0.010907265,0.003196949,0,0
215.0310922,0,0.00580137,0.006820468,0,0
217.0516191,0,0,0.00601703,0.00748359,0
219.0351558,0,0.015494347,0.042388562,0.048893151,0.03054494
228.038664,0,0.005545564,0.005189139,0.004473147,0
229.0481041,0.029616565,0.115193594,0.066375698,0.041927892,0.011175299
231.0334309,0,0,0.003281133,0,0
232.036028,0,0,0.005313511,0,0
233.0437895,0.008196173,0.044975689,0.026080159,0.015038483,0.003306422
235.0643601,0,0.003650946,0,0,0
241.0474669,0.002093657,0,0,0,0
245.049325,0,0,0.009965432,0.007238777,0
247.0564444,0.015537197,0.029786863,0.015838714,0.007920245,0.001812049
256.0352259,0,0.003869588,0.011378953,0.004670792,0
257.0481755,0.106840512,0.14871075,0.067002035,0.046757999,0.012770118
260.0278688,0,0,0.004173604,0,0
261.0360046,0.008688517,0.026918898,0.011486111,0.005957455,0
273.0378322,0,0.009009023,0.021897285,0.015300079,0.003628721
274.0432619,0.009647152,0.065733897,0.077874301,0.036548009,0.009650408
274.0692329,0.009496234,0.065733897,0.077874301,0.036548009,0.009650408
275.0521655,0.008379763,0.005922528,0.003504971,0,0
284.0190439,0,0.00851497,0.030053564,0.010241364,0
285.042819,0.19984104,0.183362323,0.243730521,0.142026426,0.037769663
301.0388203,0,0.004702288,0.006102724,0.005413271,0
