"mz","8EV","10EV","15EV","20EV","25EV"
109.0282913,0,0,0.004088838,0.002112516,0.0015129
110.0365896,0,0,0.0042664335,0,0
111.04694555,0,0,0.004103352,0.002622585,0
112.0089849,0,0,0,0,0.0021315095
115.05248775,0,0,0.0042870735,0.0028088665,0.002727117
121.0309132,0.0152973625,0.02797337,0.0220002015,0.0151294205,0.004840909
123.0452237,0,0.0052241835,0.0428523465,0.0176075105,0.006430267
124.01520195,0,0,0.0227566645,0.009122932,0.0028289795
125.0218791,0,0.0061031495,0.00439815,0.0035242955,0
126.03923075,0,0,0.000934871,0.0011931705,0
127.037494,0,0,0.0014367025,0.0020825925,0
134.0396434,0,0,0.011303709,0.0058635105,0.0018240845
137.02426425,0.0028612495,0.0307663355,0.0579952175,0.0585848485,0.023775524
138.02989705,0,0,0.001901547,0.001728191,0
139.0386285,0,0.0007547065,0.002185909,0.001208074,0
140.04465005,0,0,0.0067418805,0.0029465275,0
141.0176153,0,0,0.003839611,0.004379162,0
141.0612859,0,0.0022432375,0,0,0
144.0590962,0,0,0.0031789425,0,0
149.0237253,0.0022389185,0.010080554,0.0055631815,0.0018597275,0.0005626855
150.0321484,0,0.0010826175,0.0090880845,0.0057701295,0
151.0421643,0,0.007531827,0.0159281115,0.008668269,0.001259739
154.0316857,0,0,0.004518064,0.0013615525,0
155.0526109,0,0,0.003975182,0.002563648,0
163.04014655,0,0.0053188255,0.004845446,0.0025788225,0
165.0206616,0,0,0.0033835815,0.0025075505,0
167.03847915,0.0093301135,0.0583742465,0.1125925895,0.0661623675,0.02520785
167.5337932,0,0,0,0.0020707995,0
169.0615458,0,0,0.003198517,0,0
171.04612915,0,0,0.0034733085,0.0057413845,0.0016048005
172.0511238,0,0,0.003249177,0,0
179.03531395,0.0067123695,0.0384257,0.019560619,0.0109827645,0.003945179
180.04110895,0,0.0045872025,0.0032577445,0,0
183.04620955,0,0,0.0016191155,0.0020700645,0
184.0472288,0,0,0.004890581,0.0033820425,0.0006763145
185.0476429,0,0.0038135335,0.0038441005,0.0012549965,0
187.0780646,0,0.000771678,0.003381089,0,0
193.046376,0,0,0.002425308,0,0
197.0465709,0.000536617,0.014036996,0.0088644645,0.004123759,0
199.0406074,0,0,0.005868565,0.00606566,0.000916614
200.05179215,0,0.0019384455,0.013890408,0.006567354,0.0006779525
201.05928195,0,0,0.0018891735,0,0
207.02894915,0,0.001978909,0.003240941,0.000695569,0
208.0389844,0,0.0064481685,0.010240601,0.003030901,0
209.04155315,0,0.005088303,0.00202673,0,0
214.0632863,0,0,0.0036659685,0,0
215.0737787,0,0.0140111495,0.0138839535,0.006111098,0.0018659675
216.0419679,0,0,0.0006792985,0.002220663,0
217.05422495,0,0,0.007551338,0.0053222035,0.0005711135
225.0447083,0,0,0,0,0.0018519785
227.0312821,0,0,0.0037855545,0.0040241425,0.0018349845
228.04302055,0,0.001480687,0.01532356,0.006532429,0.0025153785
229.05033,0,0,0.0049815975,0,0
231.0693725,0,0,0.0095974255,0.0085933195,0
233.08604655,0,0.0033435015,0,0,0
242.0596925,0,0.0029644155,0.0167664375,0.0072344055,0.002416968
243.0676514,0.020657624,0.0750696295,0.046585458,0.027049308,0.0098236145
245.0437999,0,0,0.0156900515,0.0082560705,0.0032686235
253.04555785,0,0.0025106845,0,0,0
256.03601355,0,0,0.0056015925,0.001819961,0
257.05062305,0,0,0.0092244575,0.003323045,0.0006104095
259.06376435,0,0.002501651,0.0187402835,0.0117574805,0.002914723
260.0622102,0,0.002574509,0.0071617005,0.001880175,0
261.0823815,0.0053354945,0.014421634,0.0040304615,0.0023437525,0
270.04270085,0,0,0.002927806,0.007112028,0.005612315
271.0660998,0.011541904,0.0459935955,0.026412867,0.0117939585,0.0050389885
273.03687295,0,0.0077479685,0.053005428,0.0234800715,0.007452142
274.04563295,0,0.0100297815,0.0527601475,0.0227366545,0.007517714
287.056246,0,0.007528976,0.035811056,0.0179158705,0.0046890805
288.06226255,0.0039862015,0.020674297,0.0344707145,0.015330675,0.0049313715
289.0750405,0.099032168,0.0413985365,0.020139557,0.0106196475,0.003901316
299.05293925,0.00883726,0.019853385,0.010392824,0.006243213,0.0026958705
302.0431907,0.0041336095,0.061106376,0.038892587,0.0274795945,0.007545898
