mz,8EV,10EV,15EV,20EV,25EV
107.0480691,0.056166916,0.055124292,0.059288066,0.038716254,0.010574787
108.020888,0,0,0.017956745,0.020625633,0.003195169
109.0282142,0,0.001655892,0.004717583,0.001454317,0
110.035678,0,0,0,0.011723061,0.008296745
111.0417885,0.001322302,0.010901018,0,0,0
115.0523098,0,0.004391969,0.006340076,0.010147998,0
117.0334892,0.009890035,0.02507308,0.010617369,0.006854335,0
118.0425159,0,0,0.011928677,0.010636398,0
119.0502721,0.034107537,0.071297052,0.08141186,0.070482748,0.024929981
120.0558422,0.033706832,0.126280658,0.150431963,0.130270534,0.056284883
121.0279089,0,0.005994533,0.020615546,0.011895069,0
123.0457867,0.006442045,0.020297012,0.012740786,0.005708846,0.000571885
127.0369755,0.003067544,0.001787907,0.003990043,0,0
128.0619249,0,0,0,0.006443736,0
128.5383679,0,0,0.002453333,0.052497409,0.015546033
134.0349363,0,0,0.002812165,0.001234263,0
135.044702,0.011632111,0.016920482,0.004266689,0.003681312,0
136.0198027,0,0,0,0.00167541,0
137.0230674,0.263551021,0.390864923,0.352726386,0.311710695,0.142778985
141.0683699,0,0.008098184,0.005032911,0.004402865,0
146.0341433,0,0,0.001293802,0,0
147.0418228,0.187345897,0.285340506,0.193867018,0.168401087,0.062657143
150.0303692,0,0.025615681,0.04166537,0.02238715,0.001602084
152.0596073,0,0.001191194,0.010739679,0.014609266,0.001624383
153.0684204,0,0.001817524,0.009074959,0.01113312,0
154.0258057,0,0.001289616,0.002280421,0,0
155.035005,0.008912727,0.031018133,0.013880132,0.009575267,0
162.0294173,0,0.000738286,0.011731633,0.004108144,0
163.0403155,0.025763129,0.058917295,0.074623875,0.051161181,0.014599989
165.0726279,0.001739681,0.02668776,0.025128958,0.020785468,0
168.0600643,0,0,0.001921928,0.002803682,0
169.0642542,0.001478441,0.010977946,0.01003338,0.00818502,0
171.0810421,0.000838772,0.006980317,0,0,0
173.0587922,0,0.00556424,0.001142755,0,0
181.0654734,0,0.002999046,0.01722045,0.019392016,0.001494883
183.0816964,0.00503744,0.017619081,0.007975606,0.006114574,0
187.078011,0.012942196,0.014575251,0.004398204,0.002079585,0
197.056415,0.010412472,0.016041224,0.010121633,0.006701888,0
199.0736273,0,0,0.002996456,0.001524577,0
210.0674214,0,0.005246303,0.012797471,0.003096519,0
211.0747066,0.049719403,0.061932149,0.03396927,0.023204966,0.006123721
213.0494156,0.0095762,0.009964291,0.010452419,0.006810781,0
214.0623814,0.001810402,0.007094932,0,0,0
215.0706077,0.127411059,0.067393226,0.0329341,0.021989885,0.003545035
226.0608542,0,0,0.001327141,0,0
227.0674193,0,0,0.002686292,0.002069088,0
228.0761182,0,0.000729711,0.007334598,0.001213931,0
229.0841358,0.043006055,0.018857598,0.008987523,0.005496807,0
238.0619036,0,0,0.003694325,0,0
239.0727499,0.087201249,0.073492981,0.056143136,0.035804655,0.009580205
242.0589916,0.028194585,0.029664171,0.014080432,0.009238309,0.000733485
