mz,8EV,10EV,15EV,20EV,25EV
105.0340574,0,0,0.000825487,0.001215121,0
107.0494084,0,0,0.001229777,0.0016503,0
128.0641153,0,0,0.000795909,0.003059485,0
131.0495206,0,0.000372884,0.002550371,0.001736312,0
133.0291741,0,0,0.002824233,0.002436879,0
134.0387811,0,0.000378957,0.003978054,0.003923645,0
135.0429817,0,0,0.000616002,0.001182483,0
139.053538,0,0,0.00148687,0.004612738,0
141.0703416,0,0,0.002756753,0.003883666,0
145.0294041,0,0,0.001312944,0.001042444,0
147.0438074,0,0.0004671,0.003163451,0.002894358,0
149.0229654,0,0,0.004855723,0.004115644,0
152.0654753,0,0,0.011862492,0.013075055,0.001087003
153.0717988,0,0,0.005136338,0.005701993,0
157.0657581,0,0,0.002587897,0.003240779,0
161.0250401,0,0.000509021,0.005613323,0.005663693,0
162.0282702,0,0.000500551,0.002756708,0.002110715,0
163.0507689,0,0,0.001804196,0.002512916,0
165.0186166,0,0.00135205,0.007218186,0.011774985,0.002548844
165.0677435,0,0.00056059,0.006658376,0.003442266,0
167.0350161,0,0,0.004918279,0.005373391,0
168.0567053,0,0,0.003345521,0.003308068,0
169.0650658,0,0,0.005889135,0.006231768,0
176.0613626,0,0,0.001165966,0.001846166,0
179.0348309,0,0.001041411,0.004359779,0.002844485,0
181.0637479,0,0.001023388,0.011256636,0.010320704,0.000853456
194.0728543,0,0,0.00215966,0.001823568,0
195.0823229,0,0,0.0059411,0.004371628,0
197.0593236,0,0,0.007739569,0.007965581,0
199.0726557,0,0,0.000633659,0.002182916,0
199.5544668,0,0,0.004714872,0.009453321,0.002180503
205.0660004,0,0,0.002344221,0.000607089,0
209.061585,0,0,0.003942598,0.00361378,0
210.0666973,0,0,0.002415273,0.001117769,0
211.0753353,0,0.001066276,0.007164308,0.005706056,0
221.0586301,0,0,0.005098293,0.003315376,0
223.0750291,0,0.004964204,0.011255986,0.007547449,0.000544783
225.0535098,0,0,0.002893997,0.001667045,0
226.0621505,0,0,0.005907112,0.006721491,0.00041567
227.0715888,0,0,0.00155834,0.002895207,0
229.0498666,0,0,0.00353855,0.001273772,0
237.054818,0,0.00058453,0.007576417,0.007537936,0
238.0614919,0,0,0.002313081,0.002859835,0
239.0700316,0,0.013136977,0.044650846,0.040667956,0.008111892
240.0793783,0,0.005521715,0.02201883,0.019235182,0.003111326
241.0860885,0,0.002019921,0.004812048,0.000418376,0
250.0622641,0,0,0.00192976,0.000343616,0
251.07105,0,0.005594862,0.005701896,0.004388679,0
253.0528248,0,0,0.001379505,0.001986219,0
254.0568577,0,0.000422626,0.006771634,0.00496699,0.000818599
255.0626714,0.001882581,0.008913479,0.011083989,0.008010145,0.000465548
263.0717349,0,0.001737961,0.002775086,0.001061951,0
265.0491424,0,0.002933505,0.008792051,0.00571145,0
266.0572996,0,0.004680569,0.011372096,0.008924048,0.000477344
267.0612246,0.096904248,0.184866728,0.162963295,0.105112481,0.025007681
268.0715609,0.00844193,0.071554303,0.118465787,0.078077432,0.017257131
269.0791981,0,0.004552851,0.007135087,0.007201411,0.001166914
270.0531659,0,0,0.00303111,0.003718611,0
278.0552693,0,0.000389783,0.005248843,0.003691898,0
279.0649895,0.00598174,0.037628359,0.067848289,0.044680129,0.010349912
280.0731786,0,0,0.002073209,0.000592297,0
281.0816211,0,0.016515879,0.034866601,0.021060669,0.004221122
282.0525474,0,0.00729101,0.025328461,0.024313067,0.004472284
283.0611293,0.013593962,0.151823758,0.304047634,0.259839256,0.092061753
284.071547,0,0.013320564,0.015492353,0.009727337,0.00091677
291.0649457,0,0.003486093,0.00345914,0.001948451,0
292.0747354,0,0.003640225,0.004155729,0.001511387,0
293.0809182,0,0.006049849,0.005393737,0.00249926,0
295.0599744,0.002562942,0.019302253,0.022991288,0.015834869,0.002632033
296.0664007,0.003798805,0.030014047,0.059764709,0.037104595,0.007458058
297.0762306,0.19005314,0.369783395,0.329051089,0.239148691,0.072045394
299.0498526,0,0.002173462,0.016542284,0.032693588,0.008365463
300.066391,0,0,0.000402853,0.001067954,0
307.0674115,0,0.011478334,0.005037508,0.005189077,0.000485332
307.0964962,0,0.035609031,0.018184844,0.008888085,0.000857148
308.0751017,0,0,0.001132533,0.001730069,0
309.0758235,0.000337015,0.013579273,0.017223788,0.009902856,0.001977243
311.0925116,0,0.001259785,0.002392613,0.001671418,0
320.0714328,0,0.007219482,0.010624641,0.004579697,0
321.0755395,0.048304092,0.127260928,0.058820669,0.035015453,0.008895187
325.067454,0,0.003605137,0.006524027,0.004770517,0
327.0841436,0.01198866,0.037915337,0.02060662,0.013487277,0.002924152
333.0732021,0,0.004955639,0.003087506,0.000446475,0
335.0949289,0.006928871,0.037694257,0.013787102,0.008717187,0.000441147
339.0876193,0,0.011891476,0.007877581,0.004670696,0
343.0823871,0,0.00184144,0.003691197,0.001887203,0
350.0829684,0,0.003858236,0.004857322,0.001047584,0
351.0853783,0.072352651,0.101325049,0.046074477,0.032123324,0.009208573
353.1017227,0,0.001867266,0.000563954,0.000364492,0
363.0878047,0.035018553,0.084202046,0.033028186,0.021169898,0.00609926
380.0860908,0,0.004400316,0.00518374,0.002293378,0
381.0923499,0.116803281,0.177334179,0.081355367,0.058339606,0.015790949
398.1013145,0,0.01169776,0.016247575,0.018560441,0.004075296
399.1113538,0.265806747,0.21692046,0.113518745,0.081676175,0.02493876
415.1030421,0,0.00218384,0.005696898,0.002228651,0.000401315
