mz,8EV,10EV,15EV,20EV,25EV
107.051797,0.044719931,0.060946426,0.038715092,0.022391785,0.00335549
108.0192177,0,0,0.002705419,0.002764755,0
128.5399425,0,0,0.00243589,0.010052047,0
131.048696,0,0,0.000861961,0.001824943,0
134.0379474,0,0,0.005065268,0.003949246,0
135.0450193,0.012746851,0.018272503,0.007686241,0.003719353,0
136.0146231,0,0.001148472,0.000472045,0.000582726,0
137.0235317,0.224970961,0.356913625,0.283115913,0.214578172,0.074430111
139.0550335,0,0,0.000855307,0.001781903,0
141.0695862,0,0.002315385,0.002348987,0.001852236,0
145.0492983,0,0.000818699,0.024299659,0.038942671,0.007985583
146.0361553,0,0,0.001672404,0.001644411,0
147.0457952,0.135826258,0.21032544,0.144414567,0.094474177,0.023701399
150.0310319,0.00588066,0.041063221,0.062504513,0.034521818,0.008435523
152.0628438,0,0.003497138,0.008380452,0.009459492,0.000473852
153.0685951,0,0.004370089,0.007342471,0.006851608,0
154.0272666,0,0.004729425,0.004302681,0.002411678,0
155.0328805,0.011476142,0.021691856,0.014104209,0.008133107,0
157.0649841,0,0,0.003752696,0.001875649,0
162.0334751,0,0.004307667,0.013092675,0.010414853,0.001094851
163.039043,0.023209059,0.053973008,0.080297809,0.051916814,0.01220145
165.0706507,0.00274188,0.014793815,0.015331568,0.008341703,0.000488024
168.0576839,0,0,0.003717005,0.000679681,0
169.0667492,0,0.003712769,0.005834293,0.004209238,0
171.0809329,0.001749895,0.004173742,0.001606891,0,0
173.05934,0,0.001490628,0.001944012,0.001578608,0
181.0632942,0,0.005445817,0.015754858,0.012945127,0.002378178
182.0753909,0,0,0.002585219,0.001064509,0
183.0801554,0.003653098,0.009560747,0.004733103,0.001646661,0
185.0583609,0,0,0.002142851,0.000611718,0
187.0735622,0.002848377,0.006997836,0.002963642,0,0
197.0567697,0.000598213,0.007068966,0.005616913,0.003572586,0
199.07708,0.000666411,0.003055009,0.008593569,0.00661917,0
210.0673002,0,0.00442294,0.008811751,0.006403993,0
211.0765551,0.029343786,0.036611345,0.025331945,0.012896822,0.002611414
213.0538087,0,0.003637415,0.005930571,0.002219275,0
215.0709053,0.004441737,0.00351612,0.001317498,0,0
221.0569413,0,0.000435392,0.001727369,0,0
226.0648629,0,0,0.004144185,0.001704577,0
227.071531,0.005501592,0.01451525,0.014124458,0.011254935,0.002515459
228.0788842,0,0.002022643,0.008456313,0.005511388,0
229.0869827,0.019365668,0.015012675,0.004976838,0.001192443,0
237.0521078,0,0,0.003070652,0.000546271,0
238.0630627,0,0.002157093,0.005329798,0.002785865,0
239.065671,0.045378562,0.050083959,0.052146056,0.031479682,0.006715856
242.05576,0.020176412,0.019384791,0.012105708,0.005356344,0
254.0558819,0,0,0.003920643,0.001360778,0
255.0655047,0.018639649,0.072873738,0.124780302,0.07757646,0.021227525
256.074667,0.044046168,0.215585594,0.235791614,0.214049417,0.0720042
257.0943869,0.792903222,0.757532554,0.619676078,0.477527119,0.326086311
269.0819052,0,0.00168322,0.017746294,0.00919788,0.001181915
282.0909377,0,0.002458501,0.005692236,0.003041212,0
285.0790759,0,0,0.020738251,0.012238569,0.002077298
299.0946058,0,0,0.005844156,0.004431912,0
