mz,8EV,10EV,15EV,20EV,25EV
107.0470508,0.008655675,0.02212528,0.021723808,0.016115301,0.001154762
134.0383684,0,0,0.002505898,0.000903704,0
135.0420672,0.005478238,0.010220338,0.003401724,0,0
137.0259025,0.216391809,0.339457658,0.277602452,0.232970621,0.073508453
141.0700414,0,0.005835957,0.00316432,0.00188454,0
145.0516678,0.000968615,0,0.01266612,0.035784851,0.00614443
147.0439847,0.119536603,0.203821535,0.14212269,0.100681665,0.024463833
150.0332445,0,0.020876129,0.040026173,0.026031147,0.004028198
152.0614423,0,0,0.004297183,0.006030807,0
153.068663,0,0.001185943,0.003406622,0.003819896,0
154.0247219,0,0,0.001645291,0.002124637,0
155.0366101,0.011088699,0.01802204,0.011409143,0.006053012,0
157.0654837,0,0,0.001130926,0.000630873,0
162.0357648,0,0,0.007990871,0.003917797,0
163.0387343,0.015384404,0.037724498,0.059109966,0.037748464,0.008158672
165.0695587,0,0.013713501,0.013474053,0.008394981,0
169.0627076,0.002543391,0.007452446,0.005715285,0.004569006,0
181.0630601,0,0.00217442,0.009323447,0.008865462,0.000606149
183.0794573,0.005306158,0.007808756,0.002876066,0,0
187.0767507,0.009603825,0.009959756,0.003533733,0.001270301,0
197.0600102,0.01022809,0.012054264,0.006714971,0.002853784,0
199.0725059,0,0,0.002056912,0.000756606,0
210.069183,0,0.001183785,0.005766199,0.002892428,0
211.075166,0.032095713,0.030654177,0.021014931,0.013097651,0.000683397
213.0528329,0.006647392,0.009224499,0.007768317,0.00591734,0
214.058298,0.00200317,0.006620335,0.000807962,0,0
215.0680238,0.118162321,0.079384478,0.03361373,0.019703286,0.003182852
227.0712301,0,0.000798825,0.004829431,0.004030955,0
228.0820302,0,0,0.00253255,0.001477959,0
229.0859193,0.026624299,0.018544903,0.00481625,0.002420885,0
239.0687294,0.050511046,0.047722144,0.046022914,0.024886248,0.005162686
242.0554372,0.012695235,0.01116543,0.009233478,0.004406304,0
255.0665576,0,0.043244387,0.078929823,0.053870557,0.012003178
256.0727546,0.010344889,0.151638673,0.174678179,0.183444614,0.044782881
257.0938692,0.883608913,0.89212806,0.775246801,0.705013711,0.576062838
285.0730554,0,0,0.006709853,0.006114494,0
299.0945806,0,0,0.005077246,0.003711985,0
