mz,8EV,10EV,15EV,20EV,25EV
107.0503173,0.033330365,0.064547092,0.045890377,0.028670042,0.005014921
108.0185772,0,0,0.004492346,0.005155765,0
109.0297223,0,0.000838036,0.00035731,0.001365988,0
111.0456012,0,0.001035359,0,0,0
127.0401816,0,0,0.000819877,0.004290319,0
128.0643771,0,0,0.001204738,0.000369257,0
128.5412513,0,0,0.005998064,0.009906054,0.001794704
134.0353295,0,0.000756869,0.005401655,0.00361212,0
135.0470389,0.010819636,0.022796492,0.01295315,0.005882723,0.000539645
136.0144611,0,0.002082711,0.001901639,0.001767927,0
137.026109,0.214909477,0.320604695,0.312814203,0.197133618,0.082840605
139.0535308,0,0,0.001254861,0.001527678,0
141.0667196,0,0.002586015,0.004153808,0.002700216,0
145.0504964,0,0,0.029460865,0.045316296,0.011314645
146.0394502,0,0.000893051,0.002261357,0.001832526,0
147.0461799,0.124871121,0.197438483,0.165821472,0.101162377,0.028747242
149.0228799,0,0,0.0020315,0.002625389,0
150.0300654,0.003322939,0.035257442,0.068344863,0.037423168,0.008477115
152.0595772,0,0,0.009728621,0.008164982,0.000382733
153.0695483,0,0.004346466,0.007917929,0.005243835,0
154.0275442,0,0.003893549,0.004260309,0.002037003,0
155.0350624,0.013884987,0.024937718,0.018471348,0.008542564,0
157.0640318,0,0,0.003378293,0.002869148,0
162.0325386,0,0.004118424,0.011357626,0.007319513,0.001255779
163.0376146,0.017587242,0.04697345,0.081290296,0.051432248,0.012252809
165.0696125,0.001678314,0.017615798,0.014082443,0.008970716,0.000916873
168.0566854,0,0,0.003053802,0.000529388,0
169.0644172,0,0.004602726,0.005495657,0.004625921,0
171.0789781,0.001434573,0.002936455,0.003027332,0.001188088,0
173.0580039,0,0.001498881,0.002846942,0.000962285,0
179.0325524,0,0,0.002136441,0.002428536,0
181.0648256,0,0.004844447,0.016457597,0.013039623,0.003392577
182.0699047,0,0,0.001600623,0.001500833,0
183.0790947,0.003918088,0.009381856,0.006177903,0.003252988,0
185.0594381,0,0,0.002366229,0.001365403,0
187.0769649,0.004428036,0.005703822,0.004302782,0.001810972,0
193.0638373,0,0.00108473,0.000553538,0,0
197.0624647,0.000490506,0.005994986,0.006734262,0.003524939,0
199.075808,0,0,0.006817758,0.005399364,0
210.0693982,0,0.0037397,0.010225313,0.006598454,0.000396701
211.0761728,0.027665843,0.039165817,0.028376357,0.014783373,0.002610394
213.0538386,0,0.002405314,0.006953795,0.003249261,0
215.0730097,0.004573859,0.005733905,0.003495807,0.001192962,0
226.0621395,0,0,0.005239323,0.001298349,0
227.0721712,0,0.007221225,0.012521246,0.01117487,0.002332103
228.0803043,0,0.002582358,0.007741981,0.004905599,0.000414084
229.0856498,0.019691105,0.020602403,0.008466052,0.004150106,0
237.0507392,0,0,0.002881682,0.001191664,0
238.0615459,0,0.001350201,0.004940589,0.003877903,0
239.0717294,0.04001076,0.054576186,0.057651677,0.033786778,0.007091535
242.0586633,0.01593296,0.020448839,0.013325844,0.006065289,0.000540306
254.0566428,0,0,0.003760835,0.001878217,0
255.0649208,0.002837137,0.053578454,0.123079575,0.074262829,0.018115652
256.074783,0.020739534,0.170602619,0.224871611,0.212427862,0.071894738
257.0946053,0.735503807,0.69967573,0.576745013,0.448967939,0.2733303
269.0794742,0,0,0.014620829,0.005762128,0
271.0659275,0,0,0.00271617,0,0
272.0649752,0,0,0.001906588,0.00056747,0
282.0861949,0,0.002838312,0.008192072,0.003477275,0
285.0745033,0,0.001627603,0.028882023,0.012799027,0.002770107
299.0899544,0,0,0.008468282,0.005789973,0
407.6535526,0.008924246,0.005299716,0.005344384,0.006652231,0.013276119
