mz,8EV,10EV,15EV,20EV,25EV
103.0381894,0,0,0.001675003,0.025497125,0.001616855
109.0291102,0,0,0.001839635,0.001844404,0
115.0559328,0,0,0.001298104,0.0037806,0
118.0440455,0,0,0.002777391,0.01497046,0.001926132
119.0494242,0,0.008440008,0.016491777,0.015771331,0
121.0281866,0,0.009528083,0.025830381,0.028227246,0.003168457
123.0048189,0,0,0.001295807,0.00143703,0
124.0137505,0,0,0,0.005321298,0
137.0212765,0,0,0.00913883,0.007131197,0
138.0331235,0,0,0.000887604,0.003333837,0
141.019965,0,0.001157361,0.018722316,0.015443375,0.000647193
145.0288831,0,0,0.00546462,0.006271922,0
149.0223581,0,0,0.002560209,0.003567563,0
153.0191292,0,0,0.009523241,0.008187785,0
154.0323286,0,0,0,0.001947279,0
155.0351366,0,0,0.00102767,0,0
163.0373079,0,0,0.003038398,0.003941844,0
165.0201082,0,0.034113967,0.038088677,0.035735811,0.003576218
167.0335733,0,0.004693675,0.015913259,0.013904153,0
177.0181848,0,0,0.009621302,0.01003946,0
179.0027156,0,0,0.004030617,0.006949423,0
181.0180377,0,0.00130485,0.017923429,0.021733796,0.002744221
183.0299903,0,0.023654444,0.023322384,0.025716965,0.001232688
187.0350737,0,0,0.001319497,0,0
189.0154508,0,0.002689046,0.006462565,0.00300947,0
191.0347147,0,0,0.001567913,0,0
195.030175,0,0.002750494,0.012747133,0.008782899,0
197.0068452,0,0,0.022279199,0.018298272,0.001018736
198.5484325,0,0,0,0.009296452,0
207.0315566,0,0.007183106,0.005626438,0.003892745,0
207.5498325,0,0,0,0.007628234,0
213.0487687,0,0,0.001648524,0.001077993,0
216.5550276,0,0,0.004451968,0.008577186,0
227.0733859,0,0,0.001486061,0.001353971,0
229.0488022,0,0,0.003804161,0.003880364,0
239.0750934,0,0,0.001176632,0.001002702,0
241.0490361,0,0,0.001717608,0.00247657,0
242.0531751,0,0,0.005544568,0.006157652,0
254.0571598,0,0.004953671,0.018375508,0.015942384,0
255.0650821,0,0.008065793,0.019766002,0.01678461,0.000699029
256.0719672,0,0,0,0.002172328,0
266.0533339,0,0,0.002708055,0.001313527,0
267.0694977,0,0.032057397,0.030853151,0.019894978,0.00296678
268.0413902,0,0,0,0.001755204,0
269.0451885,0,0,0.006042693,0.006545961,0
270.0511885,0.001589421,0.018278276,0.049546234,0.040627815,0.004542329
271.0612777,0.037252982,0.052654333,0.032230776,0.026140565,0.003046333
279.0693585,0,0.000747742,0.007924113,0.004623743,0
280.0725772,0,0,0.001014016,0,0
281.0782142,0,0.013381676,0,0,0
282.0538406,0,0.022441002,0.047986316,0.03881565,0.005954768
283.0652695,0.256213726,0.339449954,0.262305359,0.216427395,0.047483132
284.0658171,0.00331346,0.055287486,0.098285457,0.083642049,0.01438948
285.0383327,0,0,0.019941518,0.023691858,0.005274545
294.0506742,0,0.003554649,0.015518587,0.020869405,0.002131215
295.0553756,0.035773391,0.086634623,0.110195939,0.089052147,0.010031134
296.0667532,0,0.0012625,0.009321985,0.005139847,0
297.0437056,0.001218641,0.018917039,0.056481612,0.060709001,0.006164746
298.0488952,0,0.001287778,0.015440937,0.024946495,0.002282823
299.0552124,0.120724731,0.225693757,0.317577938,0.268529962,0.065634238
300.0598788,0,0,0.001255206,0.003854038,0
307.0619909,0.024043822,0.037743619,0.036276772,0.031190951,0.002463365
308.0679092,0,0.007523278,0.013562151,0.00652309,0
309.0725983,0.011318514,0.083465377,0.036328351,0.022298663,0.000517641
311.057593,0.002871544,0.005128731,0.011243822,0.013497069,0
312.0631014,0.003708452,0.045255802,0.097486165,0.094640068,0.018055308
313.0735974,0.349116155,0.471641684,0.371525396,0.297258396,0.084909799
321.0784055,0,0.008017782,0.003039365,0.001094723,0
323.0862519,0.006640599,0.043337277,0.020854388,0.003819431,0
325.0631246,0.010674423,0.018092896,0.028615172,0.018793831,0.000790856
327.0513463,0,0,0.00100029,0,0
333.0737432,0,0.009682025,0.002623038,0,0
336.058588,0,0.009714928,0.016930442,0.011300149,0
337.0742688,0.227351163,0.216314082,0.103260207,0.078208975,0.019138113
341.0625751,0,0,0.009613456,0.005484079,0
349.0708564,0.023854269,0.056521713,0.022943387,0.009313057,0
351.0893522,0.011874876,0.023546998,0.008587983,0.00218575,0
359.0793801,0,0,0.005017039,0.002595704,0
361.0745255,0.022260606,0.050734806,0.016700659,0.010749085,0
366.0792806,0,0.000966517,0.001572732,0.002039726,0
367.0798567,0.156113419,0.095546271,0.048963009,0.038290378,0.011368515
378.0747062,0,0,0.001529958,0,0
379.0818586,0.122675264,0.130735574,0.050693565,0.038948975,0.005767761
396.0847689,0,0,0.002799314,0,0
397.0941862,0.165754193,0.118810929,0.056383217,0.041128723,0.007270382
414.0915334,0,0.007988652,0.014784451,0.009073522,0
415.1051032,0.201544962,0.100775535,0.065984536,0.051608188,0.019933727
