mz,8EV,10EV,15EV,20EV,25EV
102.0466316,0,0,0.002635057,0.002102409,0
103.0529343,0,0,0.008433489,0.006202664,0
107.0468855,0,0,0.001221645,0.000674647,0
109.0285147,0,0.000810609,0.005072732,0.00677548,0
111.008138,0,0,0.011955013,0.00608937,0
115.0535538,0,0.005044002,0.036957592,0.025835328,0.003416351
118.0396465,0,0.008305073,0.064162464,0.053925329,0.017217765
119.0494527,0,0.017110519,0.06720384,0.037663152,0.007897104
121.0291826,0,0.021863986,0.06823419,0.047988094,0.011706256
123.0079117,0,0.000730126,0.02341982,0.018440471,0
124.0138172,0,0.013874215,0.083843417,0.077333317,0.01383021
126.0391862,0,0,0.003323969,0.000974882,0
127.0389193,0.001075576,0.009298885,0.018533343,0.040199485,0.007247594
128.0611432,0,0,0.0133785,0.01221003,0
129.0193622,0,0,0.008828405,0,0
131.0484747,0,0,0.014610218,0.009330812,0
135.0059301,0,0,0.002111351,0,0
135.5287339,0,0,0.003199175,0.028220304,0.008775405
137.0235577,0,0,0.007186333,0.00533946,0
139.0509904,0,0,0.015775527,0.014566721,0.001027403
140.0616315,0,0,0.002634912,0,0
141.0676079,0,0.004334789,0.022794713,0.008202884,0
144.0553267,0,0,0.001540376,0,0
145.0455361,0,0.007514054,0.060460663,0.088591917,0.014593525
147.0408386,0,0,0.003081505,0.001113834,0
149.0211385,0,0.006871517,0.002449379,0,0
150.0329495,0,0,0.006223391,0,0
152.0091,0,0.024419202,0.027924314,0.020701135,0.001096758
153.0177422,0.011572613,0.132090349,0.224504016,0.163345936,0.051111618
155.0485959,0,0,0.01388279,0.007336263,0
157.0671309,0,0,0.01726827,0.011552736,0
160.053666,0,0,0.000988342,0.001128878,0
163.0395224,0,0.003600662,0.014462089,0,0
168.0576907,0,0,0.01581374,0.009550981,0
169.0658814,0,0.005406352,0.020215663,0.008458115,0
170.0210383,0,0.026288354,0.051469109,0.038468421,0.003876721
171.0325283,0,0.007256052,0.029447892,0.016600123,0
173.0591365,0,0.004220462,0.005741796,0.001800936,0
178.0242288,0,0,0.001461373,0,0
184.0515028,0,0,0.004312528,0,0
185.0597151,0,0,0.01217426,0.007411862,0
187.0377862,0,0.011079473,0.013051249,0.007448611,0
196.0516474,0,0,0.001909455,0,0
197.0576862,0,0.016237105,0.036412425,0.017414871,0.003090267
200.0476502,0,0,0.003302701,0,0
201.054324,0,0.020996694,0.007832598,0.002473496,0
212.0486993,0,0,0.002399199,0.001901084,0
213.0564672,0,0.011451757,0.058235254,0.034995761,0.005771794
214.0616742,0,0,0.002024229,0,0
215.0705427,0,0.022043971,0.009181593,0.00255176,0
225.0579404,0,0.012453565,0.010813347,0.005645805,0
226.0645045,0,0,0.0021,0.000843647,0
229.0543336,0,0.010214718,0.008592021,0.004037274,0
240.0423127,0,0,0.00267642,0.00082471,0
241.0534201,0.001155224,0.030298582,0.103370902,0.074670701,0.011769753
242.0637494,0.026482565,0.177721845,0.272641988,0.177745385,0.038634219
243.0624339,0,0.00277172,0.004245437,0,0
253.0550319,0.002533029,0.033959268,0.019295612,0.01206155,0.000768235
257.0463695,0,0,0.005317289,0,0
269.0469201,0.013493656,0.089283057,0.101510531,0.068940248,0.010872927
270.0608868,0.534779787,0.583777924,0.609324046,0.49457536,0.208591417
271.0687225,0.862857956,0.901803899,0.856540239,0.748487416,0.681306705
283.0619233,0,0,0.00160584,0.001455645,0
285.0433294,0,0,0.019107099,0.004881533,0
299.0586339,0,0,0.021271732,0.011750295,0
313.0755766,0,0,0.003994516,0.005400246,0
325.0703397,0,0,0.005710985,0.001114874,0
359.0756932,0,0.001196619,0.004232511,0.000804235,0
