mz,8EV,10EV,15EV,20EV,25EV
102.0433481,0,0,0.004349554,0.006073758,0
103.0470658,0,0.002599385,0.007256499,0.002368939,0
105.0281496,0,0,0,0.001789229,0
107.048565,0,0,0.00622869,0.001806605,0
108.0205727,0,0,0.002545523,0.002297114,0
109.0264921,0,0.003235501,0.002135576,0.003540157,0
111.0071984,0,0,0.004085548,0.003092353,0
115.0515839,0,0.016768055,0.045946386,0.031969786,0.00295109
118.040847,0,0,0.018770871,0.023556426,0.001560949
119.0484114,0,0.003813732,0.013293958,0.012031843,0.000924995
121.0283901,0.006914509,0.029093607,0.02923361,0.022137809,0.001646246
123.0071146,0,0,0.007514113,0.008119423,0
124.0139579,0,0,0.027669916,0.032008673,0.005193882
126.0419677,0,0,0.001093328,0,0
127.0390673,0.011830967,0.021054037,0.017747255,0.032248152,0.007065251
128.0601779,0,0,0.011628989,0.010788086,0
129.0689747,0,0,0.003796333,0,0
131.0474635,0,0.003984878,0.007723651,0.008109987,0
135.5310945,0,0,0.001762829,0.034309257,0.006384986
137.0247404,0,0.008000707,0.014819912,0.008563286,0
139.0521823,0,0,0.019827877,0.020062346,0.001564281
140.0598828,0,0,0.001643777,0,0
141.069101,0,0.019495505,0.028387623,0.016380941,0
144.0540961,0,0,0.001776953,0,0
144.5359375,0,0,0,0.005659788,0.001014936
145.0504188,0.013780377,0.00915491,0.039399706,0.071442947,0.013450055
149.021083,0.002065607,0.030780689,0.022303494,0.013568713,0
152.0090921,0,0.004087511,0.009619578,0.011895838,0
153.0188982,0.001146317,0.102028017,0.147803418,0.099754089,0.02023229
155.0474664,0,0,0.006473963,0.004632419,0
157.0647158,0,0,0.00339515,0.004374644,0
158.0357784,0,0,0.010338335,0.010565831,0
159.0443525,0,0.008925203,0.00740178,0.002042667,0
165.0206094,0,0.003691136,0.001451805,0,0
168.055534,0,0.001894068,0.018867498,0.011934514,0
169.0622016,0,0.018683873,0.024529804,0.017620808,0.000849877
170.0210302,0,0.007508577,0.033142664,0.026202181,0
171.0446746,0,0,0.001956824,0.001594824,0
173.0569527,0.001572503,0.020233707,0.013453545,0.005778109,0
177.0172129,0.007900865,0.016700295,0.00613653,0.001543078,0
183.0420116,0,0,0.001332799,0,0
184.0531463,0,0,0.003171026,0.002520741,0
185.0585999,0,0,0.005852262,0.00533912,0
197.0633615,0.003305265,0.046590234,0.048917761,0.028487287,0.003935825
200.0463627,0,0,0.001798755,0.001143101,0
201.0598119,0.000996063,0.00792199,0.006640342,0.001225979,0
213.0565309,0,0.012492881,0.046044693,0.042053684,0.007224781
214.0610193,0,0,0.003813811,0.001378918,0
215.0691693,0.009812859,0.088917578,0.062737434,0.037462117,0.006299825
224.0445338,0,0,0.001626108,0,0
225.0568472,0.010304423,0.049366975,0.032442037,0.019985746,0.000984876
226.0579374,0,0,0.001434284,0,0
241.0509125,0,0.010067954,0.04338834,0.036453456,0.003699081
242.0597121,0.001513978,0.051111633,0.132051289,0.105928813,0.020289401
243.0690895,0.034244576,0.09892983,0.053091418,0.032359227,0.005113645
252.0359136,0,0,0.001106715,0,0
253.0521637,0.043946967,0.106153202,0.072593085,0.043972955,0.007019987
254.0566607,0,0,0.003401344,0,0
255.063147,0,0.005061121,0.00614595,0.007384326,0
269.0436074,0,0.028603781,0.064064424,0.051445487,0.007643355
270.0532784,0.019573674,0.268176936,0.390957087,0.34474974,0.109150549
271.0673441,0.8708026,0.893968981,0.771303536,0.668509455,0.535584158
283.0591698,0,0.005754365,0.018506443,0.0130189,0
285.0438005,0,0,0.005990395,0.00313544,0
295.0587721,0.001371207,0.02139787,0.014876574,0.010402349,0
299.0554379,0,0.002880962,0.041644805,0.038229172,0.010507646
313.0685264,0.019873592,0.095841747,0.067005909,0.050451079,0.010911957
325.0671143,0,0.001490602,0,0,0
337.079922,0.006801721,0.005679409,0,0.002323086,0
