mz,8EV,10EV,15EV,20EV,25EV
137.0581166,0,0,0.003819395,0.000845619,0
139.0385547,0,0.006995776,0.000999393,0,0
145.0497514,0.005614927,0.010150988,0.017007123,0.029897417,0.005333024
151.0399651,0,0.006881508,0.009397632,0.009051864,0.001023792
153.019126,0,0.028813147,0.053732614,0.036099,0.004918582
165.017395,0,0.004692707,0.001533886,0,0
171.043066,0,0,0.002387255,0.003627889,0
189.0522943,0,0,0.003098872,0.003072667,0
194.020557,0,0,0.001027065,0.000640524,0
199.040502,0,0,0.001084206,0.000721511,0
200.0487727,0,0,0.004075078,0.000987382,0
203.0348492,0,0,0.004174168,0.000815587,0
216.0406334,0,0,0.003151637,0.00271946,0
217.0477984,0,0.006034237,0.027543244,0.017640014,0.001968537
227.0345752,0,0,0.001874457,0.000696658,0
228.0442279,0,0.003650604,0.012031067,0.006403307,0
229.0477983,0,0.015473078,0.019114297,0.012304395,0
231.0316822,0,0,0.001108678,0,0
244.0347835,0,0,0.006323037,0.005295486,0
245.042091,0,0.014548838,0.037354901,0.026734479,0.004828168
246.0528676,0,0.001174047,0.004715032,0.000759837,0
257.0411044,0,0.01629763,0.013044242,0.010326294,0
269.0475313,0,0,0.003215421,0,0
271.0608003,0,0.00178221,0.001186113,0.000775767,0
272.0321611,0,0.000941054,0.002233399,0,0
273.0443052,0,0.02013495,0.029645202,0.020195893,0.004538997
274.0438217,0,0.019052206,0.01472061,0.008513707,0
285.0434079,0.00248595,0.040251387,0.025669633,0.014985349,0.000616091
286.0497574,0,0,0.004251,0.000561949,0
287.0567138,0.036747149,0.044274273,0.059488596,0.03832426,0.005558714
288.0666166,0,0.016748421,0.024694778,0.0114093,0.000385839
299.0553313,0,0.000721165,0.00255665,0.001779315,0
300.0233346,0,0,0.001471458,0.002398871,0
301.03238,0,0.029248129,0.034507916,0.027221649,0.004667928
302.0417343,0.014122053,0.164182673,0.081376356,0.046084004,0.0094478
315.0484641,0.050804374,0.098731977,0.105557526,0.072337405,0.012678598
316.0591501,0.372105009,0.470854851,0.470848941,0.37262856,0.110836275
317.0762751,0.927653567,0.967423927,0.730070435,0.612218056,0.451830925
331.0462887,0,0,0.003930207,0.001786624,0
405.0859941,0,0.000872996,0.003418758,0,0
443.0998952,0.024160126,0.014114592,0.008744585,0.006748795,0
