mz,8EV,10EV,15EV,20EV,25EV
117.0352131,0,0.006553426,0,0,0
123.0444574,0.006005624,0.018552039,0.013098577,0,0
135.044279,0.002978446,0.019437635,0.022309839,0.003226632,0
136.0533054,0,0.034328252,0.067052062,0.047240105,0.004581566
145.0298693,0,0.017758179,0.008336033,0.009458897,0
152.0081263,0,0.007250277,0.041773986,0.029357875,0
153.0203016,0.254194433,0.437309709,0.469617602,0.277853559,0.045750406
163.039365,0.12364526,0.242187522,0.159432354,0.07984807,0.015171618
170.0213826,0,0.010147271,0.07043741,0.041765355,0.003467412
179.0337085,0.02327017,0.038429544,0.029196918,0.011073148,0
197.0612652,0,0.027651106,0.006477073,0,0
225.0613859,0.003366194,0.026572719,0.00717762,0.003530517,0
253.0463336,0.012400773,0.02010263,0.002930642,0,0
271.0601016,0.057045567,0.049957582,0.025913831,0.013427422,0
274.0461968,0.003031217,0.010805119,0,0,0
288.0629591,0.002419763,0.106645785,0.113813994,0.103000683,0.016002376
289.0728052,1.413570824,1.512612259,1.273203419,1.126623818,0.860362219
