mz,8EV,10EV,15EV,20EV,25EV
107.0505604,0.014960844,0.036495709,0.045861646,0.036097634,0.004711258
115.0548762,0,0,0.002949133,0,0
121.0276779,0.002673745,0.003997339,0.004556441,0,0
127.0355771,0,0,0.00347765,0,0
134.0368034,0,0.005179144,0.022982149,0.023531242,0.002897869
135.0424811,0,0,0.005082217,0.001898962,0
136.0522298,0,0,0.007580114,0.006138091,0
141.068281,0,0.006382904,0.004876459,0,0
145.050126,0.001416692,0,0.002781544,0.019843744,0
149.0257837,0.066062994,0.091205733,0.065289992,0.034568117,0.005912649
153.0166802,0.134628107,0.202890467,0.19063815,0.14092309,0.028343807
165.0185772,0,0,0.012669037,0.006910242,0
167.0337752,0.002483157,0.008513114,0.007736022,0.001395947,0
169.0663032,0,0.01365159,0.00450278,0,0
171.0290598,0.011468353,0.017782782,0.014001092,0.005485143,0
195.0268693,0.03649347,0.040356251,0.028702014,0.020308995,0.001178138
197.0574116,0,0.018930722,0.010856206,0.002262649,0
213.0531284,0,0,0.012476343,0.003701189,0
214.0611244,0,0.001411261,0.001925387,0,0
215.071499,0.139026153,0.199607591,0.120853324,0.065801549,0.009771549
241.0458852,0,0,0.015263077,0.013207707,0
242.056445,0.010405279,0.043699787,0.033284393,0.026305877,0.003058422
243.0672466,0.244373137,0.257835612,0.162000219,0.093488983,0.017839229
259.0589986,0,0.015300229,0.034577863,0.018577703,0.001112143
270.0518464,0,0,0,0.004977152,0
271.0614081,0.096833147,0.108008317,0.069065118,0.043816436,0.008771372
288.0619184,0,0.03022683,0.047817767,0.054948007,0.00907645
289.0746732,0.767344039,0.724740577,0.61168784,0.545428482,0.451443924
433.1080403,0.010422954,0.004346645,0.004730751,0.004045195,0.005501215
