mz,8EV,10EV,15EV,20EV,25EV
134.0366511,0,0,0.005419239,0.007480786,0
135.0430067,0,0.002819163,0.007424378,0.005502989,0
137.0225846,0,0.001912075,0.014583147,0.01024538,0.001623987
141.0190712,0,0,0.008487724,0.005859615,0.000365049
149.0217357,0,0,0.002635684,0.000626155,0
153.0184475,0,0,0.005626864,0.004643061,0
161.021397,0,0,0.004584998,0.001912413,0
165.0176347,0,0.008587355,0.013757954,0.010906188,0.002093429
167.0352955,0,0.001286356,0.012214729,0.008336505,0.000468375
177.0188008,0,0,0.004229945,0.003697936,0
179.0338083,0,0,0.001593499,0.001770996,0
181.0135728,0,0,0.010455174,0.008860489,0.001584116
183.0298195,0,0.012737107,0.020040102,0.017320144,0.002268042
195.0304416,0,0.001522203,0.008009968,0.004392159,0
197.0069642,0,0,0.014936887,0.010574261,0.001967879
207.0279618,0,0.004020389,0.006581796,0.004667208,0
224.5520308,0,0,0.011360401,0.010117632,0.001866343
229.0513489,0,0,0.002785006,0.002056235,0
233.5594454,0,0,0.004685551,0.004596623,0
243.0632579,0,0,0.004667358,0.003731536,0
245.0486886,0,0,0.002845854,0.000886502,0
255.0627118,0,0,0.002270213,0.001005837,0
257.0410787,0,0,0.000565029,0.001667003,0
258.0516655,0,0,0.004170699,0.003236537,0
269.0420032,0,0,0.002219108,0.002333671,0
270.0545735,0,0.00166671,0.010519394,0.008780219,0
271.057882,0,0.003712341,0.010667855,0.009941143,0.000481986
272.0677662,0,0,0.001384738,0.001116254,0
282.0510709,0,0,0.005277105,0.004421664,0
283.0611731,0,0.014739296,0.020928331,0.012006707,0.000864968
285.0440915,0,0,0.002638448,0.002792209,0
286.0468993,0,0.009108109,0.032622503,0.020780265,0.003954536
287.0573335,0.01376355,0.024465536,0.01812562,0.012815606,0.001204901
295.0602665,0,0,0.004108404,0.001928002,0
297.0405894,0,0.001992394,0.001197246,0.000865664,0
298.0487081,0.002494452,0.022718628,0.052372384,0.034853536,0.006133743
299.0567624,0.169107595,0.249321295,0.206163796,0.14427191,0.03465302
300.0631215,0.00271969,0.032116715,0.065728609,0.04888664,0.011883128
301.0320416,0,0.002514892,0.012536708,0.01426555,0.003123741
310.0489895,0,0.004912536,0.015897105,0.013290608,0.001852716
311.056368,0.02963681,0.059200115,0.08465428,0.061823823,0.013282036
312.0633946,0,0.002787169,0.008811166,0.005643861,0
313.0343895,0.001523329,0.024602544,0.053098664,0.047257391,0.007909403
314.0427096,0,0.004074969,0.018300224,0.020505421,0.002823441
315.0480116,0.074790537,0.168483324,0.273088419,0.186727928,0.04889198
316.0545917,0,0.001604114,0.000691688,0.002421308,0
322.0480025,0,0,0.000671712,0.002276467,0
323.055287,0.014341979,0.027414241,0.028767962,0.019651794,0.003623425
324.0626372,0,0.00534343,0.010426042,0.004665225,0
325.0728064,0.006969981,0.043061558,0.023413958,0.012327534,0.000805252
327.0521024,0.002603908,0.006818289,0.009716757,0.0128648,0.001577069
328.0565202,0.007142101,0.056994989,0.117625454,0.109980442,0.026341832
329.0664679,0.274331538,0.406835894,0.327686126,0.233367468,0.065143357
331.0437668,0,0,0.004070522,0.004080097,0
337.0703409,0,0.004629221,0.003580525,0,0
339.0893829,0.003787257,0.025180865,0.015517488,0.007233699,0
340.0597551,0,0,0.000761004,0.001060281,0
341.0679941,0.006626979,0.015376479,0.026365909,0.013027695,0.002572041
349.0688914,0,0.005250391,0.001568918,0.000439956,0
352.0581208,0.000565435,0.013318314,0.01934006,0.012876152,0.000718933
353.0686107,0.15306394,0.146902352,0.077527997,0.052040941,0.014163648
357.0578465,0,0.001212376,0.007395664,0.003839612,0
364.0583122,0,0.000558132,0.003013981,0.000637906,0
365.0669375,0.016570413,0.036338364,0.016977876,0.009783183,0.001004821
367.0817979,0.008096308,0.016769888,0.006207912,0.003754799,0
375.0661286,0,0.003142313,0.004343638,0.002203238,0
376.0580286,0,0.000507339,0.003410574,0,0
377.064086,0.016026861,0.034258605,0.011723136,0.006846611,0
382.0651982,0,0.003475397,0.006521825,0.002956445,0
383.0802236,0.092204591,0.05633911,0.035674181,0.025933131,0.007350192
394.0678016,0,0.004542604,0.007423296,0.003967856,0
395.0808861,0.085509963,0.092751637,0.037461776,0.026912731,0.00663815
412.0753101,0,0.003638059,0.00573907,0.003536435,0
413.0830784,0.108557681,0.078404098,0.041565624,0.028813829,0.007999207
430.0841395,0.001334881,0.01171156,0.016060311,0.009326066,0.001330697
431.0968606,0.114618167,0.059383498,0.043075932,0.030408664,0.016774054
447.1003943,0,0,0.001222608,0.000660682,0
