mz,8EV,10EV,15EV,20EV,25EV
127.0385106,0,0,0,0.009016489,0
128.0628195,0,0,0.003867908,0.002459039,0
139.0553969,0,0,0.005412632,0.002989084,0
141.0686836,0,0,0.006345879,0,0
145.0441827,0,0,0.011663438,0.034332361,0.005712207
157.0624204,0,0,0.004934188,0.004874131,0
163.0398728,0,0.004349625,0,0,0
167.0517945,0,0,0,0.003897933,0
168.0569918,0,0.004900738,0.008579961,0.00623783,0
169.0652044,0,0.004222436,0.003236682,0.005478206,0
181.0636685,0,0.003931257,0.005623215,0,0
184.0417431,0,0.003247654,0.007171886,0.004919984,0
185.0633969,0,0,0.003945149,0.002217401,0
197.0548929,0,0.016644455,0.013434932,0.010262531,0.002221799
199.0764665,0.004023572,0,0,0.003022823,0
213.0538298,0,0.005435721,0.014960109,0.007912801,0
225.0540452,0,0.015924247,0.011225983,0.008672049,0
226.0583377,0,0.00604265,0.007554067,0.008579655,0
227.070776,0.007025785,0.008100564,0.007734477,0.005209363,0
229.0861142,0,0.019976339,0.010904868,0.006424136,0
239.0719367,0,0.009791031,0.005701718,0,0
241.0483836,0,0.005568233,0.014800826,0.008720578,0
242.0617774,0,0.014880982,0.02440747,0.015861233,0.002264423
253.0436107,0,0,0.004511941,0.003740843,0
255.0674778,0.017693218,0.024756956,0.044239814,0.028063741,0.007281609
256.0659595,0,0.008442112,0.011352203,0.00868379,0
257.0789684,0.005597664,0.012638624,0.003699519,0,0
267.0626103,0.025291068,0.067441747,0.032953285,0.018691714,0.003159525
269.0451688,0.002733571,0.007158546,0.020145742,0.014674421,0
270.0496706,0.012182672,0.085081193,0.085535129,0.052274057,0.009159759
283.0607252,0.114679088,0.150324273,0.164799994,0.135027614,0.034476897
284.0712036,0.057384208,0.19903318,0.224302585,0.187810472,0.042792943
285.0834824,0.648455504,0.719972344,0.606436271,0.457877887,0.30427426
297.0720594,0,0,0.012546776,0.007335582,0
299.054313,0,0,0.004315392,0,0
310.0805727,0,0.004351657,0.00707602,0.003147513,0
313.0712749,0,0,0.009283008,0.004569589,0
316.0606421,0.003599208,0.003981819,0.003214966,0.005172586,0
327.0882058,0,0,0,0.002320409,0
361.0352737,0,0,0.006062337,0,0
397.0897514,0.004801596,0,0,0,0
431.0874787,0,0,0.006325633,0,0
