mz,8EV,10EV,15EV,20EV,25EV
127.0384481,0,0,0,0.005639679,0
137.0232205,0,0.004925395,0.0111216,0.008814723,0
145.0511865,0,0,0.013997342,0.017593364,0.002500659
151.5270371,0,0,0,0.003884253,0
153.0176618,0,0.027583252,0.046875307,0.037807045,0.006413306
165.0188519,0,0.00842939,0.006231666,0,0
201.058159,0,0,0.00230145,0,0
217.048026,0,0.006263886,0.011636845,0.006371302,0
228.0408793,0,0.005085111,0.009836509,0,0
229.0473541,0,0.021525969,0.017060163,0.009947548,0
245.0408392,0.004758091,0.012972201,0.019013497,0.012364483,0
246.0518151,0,0.002411847,0.003187898,0.002960504,0
257.0488896,0,0.014506309,0.011020023,0.006818051,0
273.0369123,0.008063397,0.01234319,0.023365228,0.012748781,0
274.0553234,0.006596867,0.017447886,0.040036405,0.0191308,0.002212318
275.052864,0.013304934,0.007894135,0.002492541,0,0
285.0352308,0,0.008187788,0.006102319,0.003900766,0
301.0411937,0.08324046,0.06805361,0.060017057,0.03490289,0.007061421
302.0355279,0.191958112,0.336796292,0.385612224,0.243227927,0.075944329
303.0571047,0.563675574,0.623788953,0.514881923,0.31063039,0.101188247
315.0449241,0,0,0.009847262,0.004031908,0
328.0621732,0,0,0.00769814,0,0
329.0610064,0,0,0.004778861,0,0
331.0489554,0,0,0.018181784,0.008592784,0
