mz,8EV,10EV,15EV,20EV,25EV
134.0366257,0,0.000501549,0.012800231,0.012066274,0.001967333
135.0420775,0,0.00608589,0.016032367,0.01383926,0.001601313
137.0237293,0,0.003918609,0.011218513,0.009144779,0.001152589
139.0018854,0,0.001513687,0.011677847,0.012480598,0.001073206
140.0106016,0,0,0.006137591,0.003900449,0
145.0512035,0,0,0.024479943,0.041577171,0.008271668
147.0429542,0,0,0.003265109,0.001953907,0
153.018149,0,0,0.005397557,0.005706042,0
154.0264002,0,0,0.00136009,0.000630065,0
163.0631134,0,0,0.003496448,0.003908177,0
168.0048209,0,0.017521817,0.032345808,0.012723826,0.001140403
169.0129295,0,0.009297976,0.024703939,0.011328727,0.000465643
171.0432495,0,0,0.003096684,0.002394663,0
185.009462,0,0,0.006850217,0.005809519,0
186.0152143,0,0.026187262,0.06600809,0.033730667,0.005277679
203.0335709,0,0,0.001619971,0.00060296,0
213.0561098,0,0,0.002557631,0.000482201,0
241.0478143,0,0,0.001322372,0.000458504,0
242.059789,0,0.001440316,0.003953242,0.002748388,0
244.0379034,0,0,0.00195947,0.00161579,0
245.0468188,0,0.00364638,0.024978429,0.01448184,0.002341797
257.0430322,0,0,0.000855708,0.001172158,0
258.053206,0,0,0.000711476,0.002273291,0
269.0443118,0,0.000763042,0.007551018,0.00556897,0
270.0523048,0.002741596,0.015333586,0.033684065,0.020450562,0.004495439
271.0587381,0,0.001324262,0.002755412,0.000429124,0
272.0377044,0,0,0.009453184,0.009686232,0.001022084
273.0415734,0.002129882,0.040252296,0.075027151,0.065673726,0.013396566
274.0503099,0,0.002409009,0.003476908,0.000682387,0
285.0356339,0,0,0.004544601,0.00363364,0
286.0411706,0,0,0.005960774,0.005240973,0
287.0553406,0.007357052,0.015831237,0.025968926,0.021218112,0.004035588
288.0613198,0,0,0.002461718,0.001565084,0
297.0424321,0,0.007526441,0.021692345,0.015901755,0.002551552
298.0506117,0.03494329,0.083257332,0.17780398,0.115151321,0.034758965
299.058706,0,0.002823488,0.006368167,0.004094458,0
300.0276321,0,0.000416227,0.006289511,0.004665839,0
301.0322536,0.018358239,0.080402875,0.151505847,0.108986514,0.024970485
302.0454823,0.130027768,0.361798701,0.308185044,0.196040045,0.046922282
315.0487064,0,0.012778238,0.02583754,0.024256872,0.003776073
316.0556384,0.161503712,0.326676361,0.344603092,0.287443223,0.091291874
317.0828184,0.676720071,0.709047497,0.590389753,0.45117506,0.224692242
329.0604716,0,0.003425374,0.015889396,0.008296349,0.000470894
331.0483325,0,0,0.003309493,0.001322607,0
343.0787668,0,0,0.006714153,0.001898542,0
345.0633613,0,0.004275068,0.035874089,0.016184178,0.003105192
359.0766715,0,0.002881151,0.007480451,0.005567732,0.000252211
360.0841389,0,0,0.001753863,0.00039735,0
477.0993287,0,0.001074242,0.001895074,0.001025778,0
