mz,8EV,10EV,15EV,20EV,25EV
102.0459031,0,0,0.00224605,0.002722822,0
103.054732,0,0.001437318,0.004825689,0.00227534,0
105.0330437,0,0.002582896,0.007030295,0.003927052,0
127.039833,0,0,0.00094654,0.001745692,0
128.0606714,0,0.000464666,0.002977537,0.001699535,0
129.0536631,0.000922117,0.006723333,0.014455516,0.019842936,0.001154236
139.0546909,0,0,0.003423345,0.003879689,0
141.0680502,0,0.000546658,0.004542965,0.003397398,0
145.0530598,0,0,0.001226168,0.002358813,0
147.0449761,0,0.004616028,0.00636053,0.007201689,0
152.0617847,0,0.004557957,0.015767826,0.010601271,0
153.0160577,0.000696734,0.033086855,0.038330557,0.021107373,0.00167375
169.0650389,0,0.002594936,0.007705289,0.005534981,0
170.0223203,0,0.005795037,0.012214862,0.007914987,0
171.0341184,0,0.015432454,0.011577965,0.007587286,0
181.0650368,0,0.004819251,0.007956083,0.004482102,0
185.0594749,0,0.007614634,0.001185234,0.000545617,0
197.0607442,0,0.005729094,0.012474735,0.008798531,0
199.0740836,0,0.004518057,0.00060639,0,0
209.0602392,0,0.008746485,0.002965847,0.000881572,0
213.0516211,0,0.005558168,0.001767445,0,0
225.0549365,0.024438331,0.064833808,0.056445974,0.044722638,0.006535558
226.0666204,0.004275041,0.045179491,0.088815171,0.081107027,0.009696928
237.0530811,0,0.009196057,0.003048183,0.001128983,0
253.0481529,0,0.003944841,0.008646299,0.007185711,0
254.0567619,0.050304849,0.19884236,0.28379188,0.277116286,0.05090795
255.0736409,0.532289102,0.671280122,0.554048724,0.53054188,0.178340574
257.0804758,0.003079849,0.001885202,0,0,0
267.0659319,0,0.001254988,0.006132822,0.005708369,0
270.0527163,0,0,0.002007582,0.003803532,0
279.0666794,0,0.00041216,0.002006222,0,0
281.0813478,0,0,0.002427335,0.001096364,0
283.0611399,0,0.000890071,0.017555298,0.018036825,0.00304623
286.0429367,0,0,0.002625952,0.0020837,0
297.074048,0.002601671,0.003532788,0.008258906,0.005753878,0
309.0774346,0,0,0.001791518,0.000475096,0
327.0837369,0,0,0.005594147,0.001364052,0
347.0928985,0.005510565,0.002112895,0,0,0
365.1027345,0.003668413,0.000787328,0,0,0
383.1125365,0.008956041,0.004077318,0,0,0
399.1055945,0.000444402,0.000527321,0.001386839,0.001072853,0
401.1179203,0.0024022,0.003218962,0.003027689,0.001259749,0
416.1094441,0,0,0.007364197,0.023500071,0.002815481
417.1221303,0.049953925,0.030792065,0.025226179,0.020823989,0.005725556
445.1113481,0,0.006062526,0.030169466,0.074429505,0.018202482
459.1366664,0,0.000471666,0.005308098,0.002139136,0
527.1509085,0.003244597,0.000872547,0,0,0
545.1643326,0.049095219,0.019128695,0.008006725,0.002310314,0
