"mz","8EV","10EV","15EV","20EV","25EV"
145.0485364,0,0,0.003865099,0.0355796175,0.0023210635
165.0179354,0,0,0.0039726085,0,0
183.0271738,0,0,0.0025259755,0,0
270.05342585,0,0.0101528825,0.0142777225,0.0136529565,0
282.0541831,0,0,0.0056274775,0.0032336505,0
283.06046685,0.0994644325,0.140911017,0.1154618405,0.068871069,0.0063925385
284.066815,0,0.010621988,0.0205736765,0.0132767535,0
285.0401844,0,0,0.0067045015,0,0
295.05909865,0,0.012931093,0.0219272185,0.0145991285,0
297.0354034,0,0,0.0064558745,0.004166074,0
297.0575337,0,0,0,0.0053892415,0
299.05916025,0.020712198,0.0585762205,0.1344996275,0.1018279865,0.014599654
307.05760255,0,0,0.00666223,0,0
309.0737059,0,0.014063811,0.004371682,0,0
312.06649345,0,0.0137197055,0.042894822,0.024230077,0
313.06931775,0.0619771165,0.1407469525,0.1614513035,0.093939991,0.011398923
323.0881258,0,0.002017786,0,0,0
325.07044895,0,0,0.0041874915,0.004186391,0
336.0639097,0,0,0.0026205375,0,0
337.0668407,0.027998605,0.059465362,0.042962774,0.0189514915,0
341.06323725,0,0,0.0092739585,0,0
349.0734559,0,0.0044055895,0.0033680495,0,0
361.0658556,0,0.0059552445,0,0,0
367.0806543,0.0223762565,0.042868605,0.0243502205,0.014730411,0
379.0798377,0.011815467,0.0285469795,0.0215831535,0.0118672665,0
397.08866695,0.0243165425,0.0489428445,0.025672807,0.010262994,0
414.09255875,0.0068339115,0.0183758095,0.01480187,0.0215558415,0
415.10776675,0.0894852515,0.1250697425,0.0613243155,0.0319318245,0.002085405
432.103878,0.0134311515,0.019233889,0.0258381685,0.039284163,0.0034297245
433.11132775,0.0992262115,0.084087786,0.055831774,0.028150023,0.0028318485
445.1143028,0.035883159,0.023161293,0.0117952625,0,0
461.1127011,0,0,0.014353722,0,0
475.1232413,0.0202741225,0.0165625415,0,0,0
529.1276226,0.001864225,0,0,0,0
559.1465072,0.00238942,0,0,0,0
577.16189175,0.0681651245,0.0346256055,0.015495628,0.0039967655,0
