"mz","8EV","10EV","15EV","20EV","25EV"
145.0489313,0,0,0.002048592,0.0036855025,0
181.0123996,0,0,0.0020531175,0.002782439,0
270.05082925,0,0.0056074285,0.0156384875,0.0066625625,0
271.061242,0.0264304415,0.0705186855,0.0408987205,0.02046918,0.001231087
283.06110405,0.003151093,0.0375014775,0.048866582,0.0285603335,0
284.0699319,0,0.0080515065,0.0123929685,0.0075347515,0
295.0572195,0.0016262655,0.018241531,0.038814237,0.0242966105,0
297.036133,0,0,0.005751876,0.002717244,0
297.0722239,0,0,0.00454704,0.002717244,0
298.0449972,0,0,0.011693946,0.003241844,0
299.05726735,0,0.038537309,0.164591188,0.108680634,0.013887923
311.0540894,0,0,0.0021330245,0,0
312.06109195,0,0.0078010205,0.015037728,0.009494539,0
313.0708468,0.0294024315,0.1071581095,0.111057785,0.0676387565,0.0077397465
325.07111975,0,0,0.0075885975,0.002866019,0
337.06842045,0.0045827475,0.0187991655,0.0180473985,0.011307789,0
338.0724659,0,0,0.001076372,0,0
341.0675415,0,0,0.0051847185,0.007404762,0
343.0847371,0,0,0.002226416,0,0
367.07853725,0,0.0045912215,0.0054341575,0.002418085,0
379.08341015,0,0.004500936,0.005744193,0,0
385.08516105,0,0,0.003445215,0,0
397.08743355,0.0049501495,0.0209477445,0.021160898,0.010744728,0
414.09229205,0,0,0.0058376935,0,0
415.10550175,0.0202475505,0.0503711555,0.043063941,0.0175409865,0
431.10037815,0,0.001609513,0.0125452475,0.0048397265,0
432.1046196,0,0.017976436,0.0378685395,0.0260181805,0
433.11513075,0.1721764455,0.2746442935,0.147808539,0.0902715525,0.0184564495
460.0956046,0,0,0,0.0031773555,0
461.1071426,0,0.001958847,0.0444270715,0.064281834,0.010199526
475.1229381,0.0129041015,0.0175191025,0.0153185225,0.0073258585,0
593.1538499,0,0.0037223805,0,0,0
593.1813987,0,0.003152503,0.00465128,0.00268596,0
