mz,8EV,10EV,15EV,20EV,25EV
105.0339756,0,0,0.001341678,0.002292122,0
127.0392521,0,0.000548124,0.002038618,0.003268138,0
128.0641374,0,0.000562754,0.002068299,0.001533942,0
129.0558115,0.012868185,0.030717863,0.020003798,0.035721971,0.001977917
131.049543,0,0,0.001490436,0.000645945,0
133.0275037,0,0.001075375,0,0,0
134.0364238,0,0,0.001613404,0.001342177,0
137.0238062,0,0.004346156,0.006792542,0.003639267,0
143.5288926,0,0,0,0.00347395,0
145.0495847,0.001903032,0.003610957,0.004398063,0.004400435,0
147.0651061,0.006921526,0.010766195,0.007023951,0.014772592,0
153.0172477,0.001175147,0.014792195,0.029489005,0.019293208,0.000802341
155.0470603,0,0,0.002595684,0.003575077,0
157.0644407,0,0.000910529,0.002477199,0.002181321,0
165.0198911,0,0.018873423,0.003702618,0.002128651,0
171.0430163,0,0,0.001154915,0,0
173.0609528,0,0.001043225,0.001555093,0.000465599,0
183.0295634,0,0.003228452,0.00111438,0,0
184.0537471,0,0.001793452,0.005935235,0.003863341,0
185.058769,0,0.001326869,0.00067941,0,0
201.0551643,0,0,0.00145366,0.000522794,0
212.050885,0,0.003452453,0.004590365,0.002216789,0
213.0544064,0,0.017898139,0.016344314,0.010210858,0
229.0513711,0,0.01836724,0.026052152,0.018807227,0
230.0586122,0,0.001013871,0.002500613,0.00043831,0
231.0650727,0,0.001168118,0,0,0
241.049517,0,0.012792164,0.004838784,0.001929011,0
256.0352294,0,0,0.001179988,0,0
257.0442745,0.087895565,0.080322817,0.064698731,0.045305198,0.003686487
258.0497824,0.003650286,0.040118217,0.044028697,0.027928827,0.002130411
259.0556664,0,0.00106345,0,0,0
269.0452763,0,0.003776045,0.0010842,0.001080871,0
275.1094103,0.001542509,0,0,0,0
284.0335718,0,0.000375544,0.001521153,0.001052951,0
285.0391722,0.068854513,0.098855928,0.080472113,0.06964982,0.006285552
286.0465576,0.220877457,0.352482365,0.393898437,0.379760572,0.061078036
287.0656877,0.59070751,0.720846475,0.535762221,0.457445262,0.17642154
303.0495809,0.001953465,0,0,0.000659866,0
309.1224935,0.001968707,0.001267038,0.005613839,0.006349477,0
315.0531369,0,0,0.002789841,0.00244984,0
329.0607804,0.001008511,0.001513157,0.0007083,0,0
375.0723921,0,0,0.00253512,0,0
382.0777546,0.001002508,0,0,0,0
395.0769778,0.00555106,0.000970133,0,0,0
413.0886589,0.107084299,0.04654565,0.031469596,0.015220715,0.00038176
431.0959643,0.002569311,0.001476617,0.000837351,0,0
432.1022556,0,0.000360767,0.001986134,0,0
433.1107437,0.021314303,0.012304775,0.011813257,0.007173723,0.007912144
448.1040054,0,0.003329711,0.006089672,0.008221351,0
449.1133258,0.260115495,0.167285233,0.15746862,0.120317262,0.098245551
477.1045099,0,0,0.006062234,0.018484332,0
559.1424473,0.048739781,0.028974165,0.021428553,0.011734678,0.000950408
