mz,8EV,10EV,15EV,20EV,25EV
127.0389378,0,0,0,0.001570334,0
128.0620963,0,0,0.001453958,0.001728114,0
129.0560609,0.000539576,0.005859695,0.010606915,0.030659425,0.001676555
131.0502729,0,0,0.00066368,0.001170699,0
139.0537466,0,0,0.001759917,0.002470961,0
141.068761,0,0,0.00168146,0,0
145.0284331,0,0.000441971,0.000623402,0.002629336,0
145.0661342,0,0,0,0.001298299,0
147.0665505,0,0,0.004446351,0.01059966,0
153.0210315,0,0.018113297,0.035060642,0.035348898,0.00163303
157.0658389,0,0.000399328,0.002924722,0.002801708,0
168.0557096,0,0,0.002665009,0.002160739,0
169.0652109,0,0.000366799,0.001864295,0.000460886,0
170.0214045,0,0.000922881,0.003496298,0.003933113,0
171.0303721,0,0.005754166,0.004326533,0.003097679,0
185.0622502,0,0.000893177,0.001809228,0.002099292,0
187.0377343,0,0.003751718,0.002759401,0.002632075,0
197.0580501,0,0.008207404,0.006831642,0.004441073,0
201.0560356,0,0.001674261,0,0,0
213.0516708,0,0.007638649,0.011693281,0.010160173,0
215.068802,0,0.001987124,0,0,0
222.0525976,0,0,0,0.001220614,0
241.0496323,0.034749483,0.058569045,0.045288144,0.042954225,0.003297233
242.0586017,0.018643037,0.068494626,0.087561038,0.074620439,0.006402783
253.0529467,0,0.003914856,0.001912694,0.000680554,0
269.0453785,0,0.007790878,0.015923871,0.015055423,0.000374489
270.0532652,0.130624261,0.268426922,0.312549053,0.311160818,0.050835188
271.0709634,0.32703133,0.55313302,0.473641706,0.441268327,0.094246897
283.0611864,0,0.00139001,0.008513098,0.008396098,0
286.0483806,0,0,0.001791011,0.003172959,0
297.0728356,0,0.000382518,0.006743109,0.003058896,0
299.0535297,0,0.006339715,0.048993375,0.037042882,0.005697129
313.0740901,0,0.005565028,0.011926693,0.010890394,0.000459269
399.1075079,0.001522504,0,0,0,0
415.1021316,0,0,0.003296728,0.000450495,0
417.1182719,0.002428354,0.00117528,0,0,0
431.0972051,0,0,0.003961526,0.00259162,0
432.1053215,0.021094986,0.033855794,0.052586306,0.069563703,0.012315062
433.1130033,0.406850432,0.354594701,0.230801897,0.154586215,0.046325854
434.0867905,0,0,0.001468228,0,0
461.1075131,0.001874287,0.005935942,0.032739006,0.038495467,0.00693104
474.1171896,0,0,0.002850121,0.000522047,0
475.1275852,0,0,0.005704354,0.003108029,0
542.1394968,0,0.000505678,0.001832997,0,0
543.1467809,0.001475905,0,0,0,0
577.1579003,0,0,0.001712966,0,0
