mz,8EV,10EV,15EV,20EV,25EV
128.0598638,0,0,0.001953704,0.002125541,0
129.0571011,0,0.001139054,0.008223317,0.011908423,0.001141572
131.0497092,0,0.000389478,0.002155573,0.001103196,0
139.0536739,0,0,0.003325395,0.002402928,0
141.0716427,0,0,0.001905555,0,0
145.0283913,0,0.000600584,0.002205819,0.00185664,0
147.0676678,0,0,0.003081972,0.004810758,0
153.017426,0.000877677,0.019535308,0.052840528,0.02763629,0.003138955
155.0490766,0,0,0.001176954,0,0
157.0646077,0,0,0.00395607,0.001288585,0
168.0569121,0,0,0.00321391,0.000335471,0
169.0639149,0,0.00074444,0.003495492,0,0
170.0201768,0,0.000890791,0.005101826,0.002293136,0
171.0278357,0,0.007079322,0.005399026,0.001758234,0
173.0456576,0,0,0.000252696,0.001136617,0
185.0609916,0,0,0.004056089,0.001246225,0
187.0377052,0,0.001767034,0.004056125,0.001604712,0
197.0608517,0,0.005480164,0.009120482,0.00538995,0
201.0546615,0,0.001988123,0,0,0
213.0518106,0,0.004683526,0.01743142,0.009677051,0.000370047
215.0687991,0,0.003567942,0.000554685,0,0
225.0536655,0,0.002535543,0.001183011,0.000347158,0.000369591
229.0516604,0,0.001353008,0,0,0
241.0513092,0.030861965,0.043875235,0.054447158,0.035379977,0.003463215
242.0585496,0.007764901,0.047765031,0.098694173,0.069512129,0.00788927
253.0515391,0,0.004103198,0.002355035,0,0
269.0439943,0,0.005369772,0.017945342,0.012153759,0.000417595
270.0549577,0.066378163,0.201905666,0.357167721,0.299132291,0.056977751
271.0694037,0.495796064,0.601076051,0.578691881,0.46006067,0.130142063
283.0647317,0,0.000444199,0.004210102,0.003223254,0
285.0395032,0,0,0.002208244,0,0
297.0747074,0,0,0.001790611,0,0
299.0551898,0,0.000444463,0.015907909,0.011618399,0.002326438
309.1208458,0,0,0.004595534,0.005453514,0
313.0673534,0.001015273,0.002589069,0.004872603,0.002436622,0
343.0755697,0,0,0.003783853,0.000555632,0
363.0879183,0.001047332,0,0,0,0
381.0965441,0.002473935,0.000358597,0,0,0
399.109666,0.007063414,0.001897045,0,0,0
415.1042438,0,0,0.001169737,0.000620007,0
432.1057805,0,0,0.002074219,0.005199077,0
433.1153213,0.021927709,0.016868973,0.012366138,0.012056616,0.000668119
443.0955837,0.002200104,0.000383965,0,0,0
461.1033252,0,0.002916974,0.019431404,0.055354795,0.009690778
475.1215699,0,0,0.001710933,0,0
543.1428604,0.00349735,0.00112115,0,0,0
561.1643247,0.042131683,0.017659902,0.005940757,0.002721907,0
577.1667174,0,0,0.001328324,0,0
