mz,8EV,10EV,15EV,20EV,25EV
127.0382426,0,0,0.000894004,0.002399356,0
129.0547034,0.018515068,0.038288027,0.033110982,0.048887069,0.001313431
135.0437808,0,0.001753009,0.004371929,0.003698053,0
136.0517356,0,0.006058406,0.030801541,0.033810677,0
137.0215437,0,0.000647416,0.004196261,0.00053046,0
144.5323702,0,0,0,0.003323757,0
145.0261831,0,0.002670771,0.001771581,0.001252884,0
145.0492087,0,0.00091061,0.001507482,0.005831004,0
147.0641839,0.006388202,0.013519989,0.008931832,0.014020966,0
153.0184121,0.032963319,0.082956815,0.107922278,0.106587302,0.005992002
163.0371006,0.014014438,0.04182609,0.043947079,0.04490103,0.0006009
165.0179922,0,0.001617952,0.005977694,0.006981173,0
166.0246092,0,0.011129304,0.031682725,0.033693748,0.000684118
171.0266646,0.003265229,0.007462309,0.005852426,0.005384345,0
177.0175304,0,0.000653085,0.002533502,0.002569463,0
179.0341232,0.000526073,0.004739747,0.015205484,0.01796436,0
181.0126666,0,0,0.00462169,0.007802833,0
183.0266213,0,0.001602387,0.004507966,0.002525326,0
191.0325604,0,0,0.001799067,0,0
194.0200682,0,0,0.003048434,0.00346149,0
195.0279013,0.019982658,0.052288432,0.041242275,0.029832561,0
203.0350405,0,0.000862254,0.00074988,0.001191596,0
207.0300674,0,0,0.001129893,0.00241097,0
219.0258554,0.00467071,0.015888873,0.006585343,0.003840715,0
229.0501279,0.001833091,0.00170223,0,0,0
245.0424362,0.002213768,0.004773586,0.003664293,0.003993223,0
247.057166,0.001400466,0.00273817,0.002839789,0.001357633,0
261.0375882,0,0.001356635,0,0,0
263.054357,0.007637364,0.011945224,0.004803425,0.004329979,0
271.0598983,0.000751819,0.002121605,0.00406462,0.00362034,0
281.0693202,0.010027841,0.009236933,0.002975039,0,0
287.0562532,0.005268207,0.016392592,0.020105312,0.022070283,0
288.0629828,0.0008002,0.033333286,0.071239745,0.093889428,0.004867366
289.0706412,0.250283782,0.304645777,0.308630446,0.259137656,0.052161477
299.0735566,0.001853636,0.001146366,0.000861527,0.000940232,0
301.064954,0.002260096,0.004366977,0.006854078,0.003527638,0
309.1155846,0.002998673,0.004913669,0.002370772,0.002084829,0
313.0696951,0.003643879,0.001920584,0.002622996,0,0
317.0672664,0,0,0.006270061,0.004099184,0
330.0701747,0,0.000778221,0.00330312,0.004716861,0
331.0818388,0.03264906,0.033816715,0.025910792,0.01891246,0.001067516
355.0766008,0.018658108,0.014254573,0.005950741,0.005530394,0
381.0945801,0.001775198,0.001013876,0,0.000976051,0
399.1059648,0.032116867,0.020393266,0.007745224,0.004926776,0.001751916
416.1119639,0,0.001094248,0.000684693,0,0
417.1155915,0.050613028,0.039118973,0.019038532,0.014535106,0.007862278
433.1180894,0.008028899,0.006190307,0.004618262,0.002006633,0.001327294
434.1180624,0,0.00791718,0.009892909,0.008298092,0
435.1298675,0.247964726,0.197874951,0.169244038,0.145531466,0.118818522
450.108106,0,0.006224386,0.010762287,0.013206138,0.000515689
451.121706,0.114407054,0.088495846,0.060926768,0.049165399,0.023546697
475.1301257,0.001058457,0,0,0,0
477.1319871,0.001480571,0,0.000516529,0,0
479.1183149,0,0,0,0.003636966,0
543.1476385,0.001198578,0,0,0,0
561.1578155,0.002004879,0.00210026,0,0,0.000513115
579.1691142,0.005629332,0.002311614,0.002700655,0.00206341,0.003498018
