mz,8EV,10EV,15EV,20EV,25EV
127.0376615,0,0,0.001130128,0.000597787,0
129.0551638,0.011403114,0.027253463,0.024617054,0.034923816,0.000627084
135.0421522,0,0.002843513,0.003929773,0.003867204,0
136.0522036,0,0.003995377,0.023806981,0.028803071,0.000611122
137.0227713,0,0.000683081,0.001772086,0.002529807,0
144.5337164,0,0,0,0.003962823,0
145.0308763,0,0,0.002122981,0.004837716,0
147.0648553,0.005057584,0.006920432,0.007599567,0.013071504,0
151.0411064,0,0,0,0.001416704,0
153.015455,0.027372774,0.065129577,0.07911014,0.086697797,0.004042178
163.0407241,0.013482906,0.042331037,0.033968705,0.039497803,0.001988447
165.0172281,0,0.004249713,0.006170673,0.008730385,0
166.0251054,0,0.007430977,0.025769542,0.022568032,0.000854116
171.0286659,0.00340511,0.008620834,0.006001866,0.005873548,0
177.0182489,0,0.001362927,0.002962189,0.001288055,0
179.0326619,0.000462677,0.002978431,0.014127123,0.008916642,0
181.0151534,0,0,0.008116711,0.010968462,0
183.0286749,0,0.000529609,0.002558679,0.00167977,0
189.0181212,0,0,0.001478224,0,0
194.0194447,0,0.001550615,0.006273917,0.007312136,0
195.0300141,0.0211599,0.048922591,0.053654865,0.041866761,0
207.0299667,0,0,0.00208585,0.000759519,0
219.0266292,0.004015453,0.010882542,0.006599404,0.004276318,0
237.0401274,0,0,0.001266345,0.000424435,0
245.0471933,0.000721396,0.003852991,0.00057231,0,0
247.058483,0.00339478,0.001301176,0.000832257,0,0
261.0360358,0,0.001808294,0.001241727,0,0
263.0549101,0.002628386,0.007259328,0.00353791,0.001095352,0
268.9790833,0,0,0.002149471,0.00045674,0
270.0536505,0,0,0.00103032,0.000714529,0
271.0612615,0.000913922,0.000402722,0.002333357,0.000479542,0
281.068236,0.005320432,0.005127335,0.000926207,0.000508464,0
287.0568147,0.001950364,0.009397146,0.012299771,0.016242016,0
288.0615171,0,0.023628241,0.049671252,0.078130839,0.002440558
289.0723205,0.238478658,0.275468478,0.2523886,0.255218414,0.097849204
297.0643712,0.000875987,0.001340765,0.001157477,0.001229077,0
299.074513,0.00207776,0.002187995,0.000771952,0.001658728,0.000662793
301.0685689,0.003986284,0.009254132,0.010494398,0.005636894,0
309.114082,0.004674018,0.002595639,0.00073846,0,0
313.0688264,0.002831444,0.003071784,0.002124208,0.001164368,0
315.0719712,0,0.001001477,0.000693066,0,0
317.0688589,0,0,0.003346147,0.003289956,0
325.0731956,0,0,0.000548193,0.001262628,0
330.0695283,0,0.001863101,0.00934232,0.011070905,0
331.0838682,0.036504194,0.044047602,0.029138968,0.019956158,0.003405881
354.0749871,0,0,0.001847371,0,0
355.0784111,0.016299905,0.014854022,0.010446926,0.00556325,0
357.0629885,0.000712266,0.000821695,0.001407044,0,0.00066381
359.0660917,0,0.000559956,0.00311946,0.000676501,0
381.0922895,0.001393754,0.001207455,0,0,0
397.0888242,0.001499869,0.001518079,0.000930633,0.001123287,0
399.1053072,0.016675899,0.007885571,0.004241263,0.001184046,0
415.1028936,0.002166417,0.001910342,0.001496118,0,0
417.1185295,0.032314768,0.021165555,0.011321849,0.006987112,0.004752722
433.1108565,0.031833465,0.024368812,0.012518286,0.010184819,0.004755952
434.1206885,0,0.005361779,0.004042227,0.003315974,0
435.1312533,0.157067572,0.125282249,0.127041819,0.110225346,0.098396952
450.1142588,0,0.003419142,0.014105292,0.013758502,0
451.1233304,0.115612486,0.087894182,0.074311066,0.047227529,0.02667072
459.1285802,0.00252382,0,0,0,0
475.1204472,0.004175023,0.000804191,0.000585461,0,0
477.1409658,0.002794774,0.001034244,0.001557432,0.000368895,0.001079373
479.1198021,0,0,0.000825931,0.002202313,0
543.1520563,0.002333311,0,0,0,0
561.1548426,0.006226764,0.003159567,0.002710634,0.001167671,0.001238442
579.1767255,0.00854693,0.003096613,0.003856773,0.003470165,0.003474581
