mz,8EV,10EV,15EV,20EV,25EV
127.0388218,0.000880662,0.003878933,0.006062536,0.005246319,0
129.0549722,0.024750113,0.043514543,0.042597161,0.04724032,0.007208684
137.0239514,0.00115329,0.015387648,0.029284447,0.019310688,0.0018259
145.0520979,0.002667718,0.008760715,0.007270382,0.005207262,0
147.0664365,0.013552231,0.017946643,0.016309413,0.015230426,0.00117014
149.0231475,0,0.003073679,0.001364118,0,0
150.0313542,0,0,0.0029854,0.001779474,0
151.5256602,0,0,0,0.003868008,0
153.0197967,0.00081377,0.023625372,0.04856344,0.026854746,0.002274476
155.0484052,0,0.000682792,0.003988919,0.001528097,0
161.0600422,0,0,0.001668781,0.00045804,0
163.0591499,0,0.001393351,0.001843586,0.001054605,0
165.0189425,0,0.013960066,0.00678737,0.002993424,0
171.0431568,0,0,0.004191586,0.002780756,0
173.0573959,0,0.001627548,0.003047458,0.0005614,0
183.029881,0,0.004292242,0.002636951,0.00092447,0
187.0391558,0,0,0.001815477,0,0
189.0547199,0,0.001308878,0.003087298,0.000979116,0
193.0158828,0,0,0.00129994,0,0
194.0192228,0,0,0.001125261,0,0
195.0291428,0,0.00137783,0,0,0
199.0383825,0,0,0.002794196,0.000923844,0
200.0481062,0,0.002624347,0.007774007,0.003718002,0
201.0534329,0,0.007218526,0.006343313,0.001604201,0
203.0311604,0,0.000396445,0.004471184,0.001950591,0
216.0420778,0,0,0.001446909,0.000364066,0
217.0504346,0,0.00881647,0.014660708,0.007004207,0
219.0644742,0,0.001354986,0,0,0
227.0350736,0,0.001017884,0.003172177,0.001925855,0
228.0420769,0,0.009627794,0.018332614,0.010925178,0.00035428
229.0485734,0.002774982,0.036678662,0.028210042,0.014928862,0.000721899
244.0411483,0,0,0.001524455,0.000520845,0
245.0424065,0.004635145,0.016720361,0.025974107,0.014586239,0.00050417
246.0537008,0,0.001704081,0.001742789,0,0
247.0605735,0,0.00714538,0.000865112,0,0
256.0377522,0,0.001343478,0.00211557,0.00222045,0
257.0463185,0.00138015,0.026832097,0.015492674,0.007898236,0.000382057
272.0306554,0,0.000510433,0.002365721,0.001834291,0
273.0407282,0.037062401,0.038148357,0.05457524,0.0330998,0.002848894
274.0448415,0.000857111,0.025076009,0.034940597,0.020612657,0.001106984
275.0521889,0.017615424,0.01690421,0.003932409,0.002246171,0
275.0843776,0.004626935,0.005784351,0.001126858,0.0005577,0
285.0413624,0.001344937,0.014959978,0.00884084,0.004836308,0
286.0454097,0,0,0.001174095,0.000414699,0
300.0278575,0,0.00108799,0.002469289,0.001919703,0
301.0389356,0.114544233,0.113118975,0.102355333,0.074568031,0.008637636
302.0418051,0.157402791,0.323217371,0.410167242,0.350333014,0.075627769
303.0637294,0.607807673,0.677653612,0.557849578,0.444837879,0.20325166
309.1175313,0.005143863,0.003920096,0.004059874,0.00216281,0
315.0519139,0,0,0.002397749,0.00044204,0
331.0492993,0,0,0.006344923,0.004348566,0
345.0618186,0.00187449,0.002940955,0.002419875,0.000812732,0
356.0708167,0,0,0.002438971,0.000911076,0
391.0668721,0,0.000582816,0.004229403,0.00139327,0
411.0665931,0.002140246,0,0,0,0
429.0785216,0.024847472,0.008283383,0.004381352,0.001192927,0
447.0877535,0.004119647,0.001007873,0.001100848,0,0
448.1047099,0,0.004238235,0.006456558,0.002482059,0
449.1052293,0.044396362,0.02593541,0.022626426,0.015054318,0.012817407
464.0964516,0.001828409,0.008159769,0.029817028,0.045755939,0.005323518
465.1065992,0.334064251,0.22695445,0.188984599,0.140919205,0.110187942
493.0944506,0,0,0.006817831,0.013859089,0.001273883
575.1375862,0.006389799,0.002301637,0.000493835,0,0
