mz,8EV,10EV,15EV,20EV,25EV
145.0477263,0.00863799,0.00990258,0.016927703,0.018122725,0.003470519
153.0165417,0,0,0.017054906,0,0
163.0624141,0,0,0,0.002739624,0
165.0164413,0,0.004984241,0,0,0
213.0524153,0,0.005757691,0.009720488,0,0
229.049035,0,0,0.012096004,0.006104725,0
241.0514519,0,0.003997117,0,0,0
257.042839,0.020566321,0.014340608,0.02484748,0.009698281,0
258.0483262,0,0.010539761,0.024635402,0.008782509,0
285.0388202,0.014416175,0.020997892,0.044096928,0.024331038,0
286.0495037,0.086326439,0.158462968,0.302123957,0.166335642,0.025545935
287.0652982,0.616091761,0.62774992,0.596639097,0.443761318,0.251421551
299.0577431,0,0,0.00533022,0,0
325.1122472,0,0,0,0.004832207,0
355.0593929,0,0,0.012134339,0.009057945,0
356.0725793,0,0,0.019431888,0.016395153,0
413.0817379,0.012684579,0.006758516,0,0,0
449.1033762,0.130066632,0.130589201,0.111468311,0.106847017,0.088758573
578.1256602,0,0,0,0.007407522,0
