mz,8EV,10EV,15EV,20EV,25EV
137.0238049,0,0.000664228,0.009169241,0.007676546,0
145.0486086,0,0,0.003448882,0.013601771,0
163.0583227,0,0,0.004822623,0.008643181,0
165.0185661,0,0,0.001794763,0.002092382,0
167.0565772,0,0,0.001837947,0.000952068,0
177.015392,0,0,0.001044913,0.000991545,0
181.0111616,0,0,0.003766814,0.003820961,0
183.0311364,0,0,0.003642595,0.002291798,0
239.093814,0,0,0.001515174,0.000486742,0
286.043578,0,0.002494792,0.008543903,0.005138214,0
286.0646568,0,0.000628609,0.002188778,0.001480983,0
287.0538334,0.009073185,0.031814519,0.031851773,0.014829759,0
298.0519002,0,0,0.002280354,0.002420077,0
299.0551411,0.002318479,0.028856944,0.065438199,0.050957323,0.005406693
300.0611391,0,0.007731053,0.023327947,0.01962651,0.001349017
310.04573,0,0.000898268,0.005567324,0.003503926,0
311.0531368,0.005358486,0.024626466,0.045464863,0.032450427,0.002722916
313.0728524,0,0.000771153,0.003007071,0.003696118,0
314.0382429,0,0.000612849,0.014879133,0.015444977,0
315.0538505,0,0.016442598,0.121638849,0.099267044,0.011546868
325.075283,0,0.000928252,0.001456849,0,0
327.047988,0,0.002996969,0.007642443,0.006382653,0
328.0572455,0,0.015392384,0.038221236,0.028275884,0.001342391
329.0673126,0.031571627,0.111861776,0.119105017,0.082549856,0.009571768
331.0417818,0,0,0.001441857,0.001264436,0
341.0614245,0,0,0.009047345,0.007251484,0
342.0575493,0,0,0.002777995,0,0
352.0549047,0,0.001572869,0.002456075,0.001362457,0
353.066886,0.005222966,0.021299197,0.020806095,0.011180919,0
355.0712899,0,0,0.006250179,0.006323544,0.001712699
356.0734434,0,0.000971855,0.010694965,0.008061791,0.002539145
357.053146,0,0,0.005541566,0.005613498,0
359.0695296,0,0.002958708,0.004857578,0.001687998,0
371.0752394,0,0,0.002618252,0.001569863,0
383.0734133,0,0.008096522,0.008218307,0.003930825,0
395.0737823,0.000617505,0.007760326,0.006198278,0.001082163,0
401.085398,0,0,0.004766958,0.002241875,0
413.0889859,0.006404056,0.031096861,0.024044702,0.010565476,0
419.9959228,0,0,0.002988455,0.002200476,0
430.0927748,0,0.004853374,0.008569215,0.005100244,0
431.0999649,0.025545284,0.059132141,0.048798005,0.023534601,0.002031521
447.0890397,0,0.000788102,0.008218107,0.005881429,0
448.1048971,0.013177022,0.072158494,0.122991943,0.169768213,0.02069024
449.1080122,0.273138907,0.357225353,0.215689785,0.146150235,0.035172628
477.1049398,0,0,0.024917909,0.019666639,0.002530392
491.1192127,0.003958616,0.006854176,0.009341285,0.003277191,0
578.1288696,0,0,0.00085161,0.005227224,0
