mz,8EV,10EV,15EV,20EV,25EV
137.0236055,0,0,0.003348705,0.001140973,0
145.0484635,0,0,0.004965237,0.034497678,0.003261572
149.0435563,0,0,0.001605659,0.001080539,0
163.0612859,0,0,0.000873262,0.003060772,0
165.0198224,0,0,0.002620548,0.000934058,0
167.0550215,0,0,0.01116029,0.010756734,0
183.0286518,0,0.001867096,0.005103615,0.001270086,0
197.0067539,0,0,0.002444746,0,0
225.0437807,0,0,0,0.001085838,0
239.092696,0,0,0.013758183,0.009486783,0.000641056
240.0921599,0,0,0.008018024,0.005390201,0
285.0109605,0,0,0.000901355,0.001385623,0
286.0481856,0.002573481,0.007800086,0.014979235,0.01168842,0
287.0557284,0,0.00286691,0.002203779,0.000638914,0
298.0481122,0,0.002892699,0.014396209,0.01049742,0
299.0571365,0.04004114,0.084835183,0.10494789,0.078089628,0.012290726
300.0635696,0,0.009278663,0.034231069,0.028559096,0.003715438
301.0332432,0,0,0.005949517,0.002775532,0
311.0535041,0.000473666,0.008472017,0.017038237,0.01349595,0
313.0367913,0,0.002521429,0.009018173,0.005070441,0
314.047315,0,0,0.006330829,0.006069267,0
315.0479703,0.0116677,0.036251679,0.102627082,0.08817311,0.011994663
323.0583415,0,0,0.005242984,0.003419057,0
324.058454,0,0,0.001003013,0,0
325.0688702,0,0.007589366,0.006284372,0.001422377,0
327.0395545,0,0.000578354,0.004198289,0.004249618,0
328.0553098,0.003073278,0.016653764,0.046413477,0.035950586,0.001154645
329.0666356,0.032724595,0.089258036,0.123342884,0.084930015,0.010301916
339.0463195,0,0,0.004239078,0.002539629,0
339.08252,0,0,0.001386944,0,0
340.0418889,0,0,0.00436246,0,0
341.0625544,0,0.001791145,0.017866081,0.009616502,0
342.0573546,0,0,0.015205355,0.003765856,0
344.9779366,0,0,0.001907154,0.002445089,0
345.9767005,0,0,0.002434652,0.002916501,0
352.0603797,0,0.001389845,0.008443319,0.003779939,0
353.068021,0.014878815,0.036453077,0.034070468,0.01687394,0
355.0694133,0.00273833,0.003774867,0.037512717,0.033765999,0.010428161
356.0715693,0.001651379,0.006084425,0.055751968,0.049278545,0.015367517
357.055263,0,0,0.01169225,0.007481667,0
358.0539896,0,0,0.004330512,0.002234972,0
359.0294096,0,0,0.00109128,0,0
359.0659167,0,0,0.001222401,0,0
360.0420592,0,0,0.004212637,0.000496306,0
365.0663766,0,0.003283882,0.004681274,0.002107734,0
373.0856166,0,0,0.003299034,0.004002661,0
374.0825201,0,0,0.005847387,0.007112996,0
377.0649186,0,0.003528228,0.002562241,0,0
382.0596316,0,0,0.00154665,0,0
383.0765068,0.012398133,0.026912869,0.015651883,0.009488085,0
395.07301,0.006329797,0.017656866,0.016412527,0.008340386,0
403.957194,0,0,0,0.001217262,0
412.0760043,0,0,0.00226598,0,0
413.0836399,0.012334436,0.029758216,0.020154924,0.012239287,0
415.0330219,0,0,0.004260751,0.000776928,0
416.0384339,0,0,0.010576029,0.007726593,0
418.9940849,0,0,0.002786015,0.003254123,0
419.9962453,0,0,0.005391122,0.005906163,0
430.0877551,0.005967829,0.016954266,0.018597157,0.022550472,0.000449718
431.0969803,0.047934917,0.073998414,0.040532429,0.023255884,0.002943504
448.0938213,0.007408862,0.014252967,0.024629218,0.039198258,0.005451928
449.1140216,0.04996556,0.046660454,0.033055353,0.020855037,0.002736919
461.1042605,0.006045758,0.002688385,0.002290077,0,0
474.0227903,0,0,0.001971375,0,0
476.0039273,0,0,0.003234425,0,0
477.0998963,0,0.002510098,0.011582725,0.003052686,0
490.065254,0,0,0.01061625,0.004759481,0
491.1209505,0.011264533,0.010404915,0.004443335,0,0
562.1003386,0,0,0.004113508,0,0
578.1256409,0,0,0.007826544,0.039391505,0.005845035
592.1519149,0,0,0.002507069,0,0
593.1438864,0.039575611,0.018463264,0.010502808,0.005821158,0.002801656
595.1611481,0,0,0.012577462,0.004181495,0
609.1560486,0,0,0.001689276,0,0
