mz,8EV,10EV,15EV,20EV,25EV
127.0388451,0,0.000389868,0.002331778,0.003193822,0
129.0525547,0.00242966,0.005806282,0.011517022,0.032372019,0.002553967
137.02486,0,0.005649806,0.018164485,0.017425635,0
145.0495081,0,0,0.002457163,0.002524415,0
147.0628897,0,0.000559628,0.005860228,0.009292618,0
150.0295268,0,0,0.001675807,0.000467082,0
153.0173904,0,0.008796037,0.030389379,0.017870343,0
165.0199357,0,0.005188645,0.003001902,0.001121899,0
167.0542069,0,0,0.001808403,0.001931104,0
171.0417786,0,0,0.002039069,0.001115537,0
200.0463943,0,0.000432616,0.004032667,0.002175701,0
201.0531061,0,0.000933643,0.002267563,0,0
217.0502834,0,0.002057138,0.008102302,0.003933622,0
227.0272913,0,0,0.000561006,0.001822016,0
228.0420826,0,0.0030278,0.011804019,0.005763779,0
229.0470949,0,0.01596123,0.016919168,0.008443925,0
239.0957812,0,0,0.002575246,0.001696306,0
240.0930044,0,0,0.001036737,0,0
245.0454783,0,0.004456893,0.013812542,0.008640432,0
247.0634032,0,0.002160907,0,0,0
257.047378,0,0.010860522,0.009918773,0.006467001,0
273.0374836,0.012474229,0.017072844,0.038055019,0.026724849,0.001578411
274.049203,0,0.01375466,0.029110311,0.019596398,0.000460055
275.0565666,0.006406132,0.009568204,0.001327644,0,0
285.0440866,0,0.005938664,0.004980194,0.001937149,0
299.0667692,0,0,0.004730745,0.00322366,0
300.0613328,0,0,0.003322281,0.003164212,0
301.0338211,0.027110556,0.039229854,0.04921087,0.043987099,0.002172948
302.0400901,0.072736782,0.208400964,0.37681348,0.350702348,0.050176698
303.0546962,0.405695503,0.53911681,0.50151988,0.376292368,0.060375844
315.0479144,0,0,0.005902189,0.004269982,0
328.0619556,0,0,0.001605736,0,0
329.0680606,0,0,0.003028941,0,0
331.0450833,0,0,0.018509175,0.01281499,0
341.051213,0,0,0.002288286,0,0
342.0536025,0,0,0.00333137,0,0
345.0594278,0,0.002413377,0.008769111,0.007557276,0
355.0705239,0,0.000356187,0.011776407,0.008431042,0.002009535
356.0689422,0,0.000397679,0.015046519,0.014607972,0.002608646
416.0393302,0,0,0.001036736,0.000365123,0
419.9948326,0,0,0.004996666,0.004755078,0
429.0779311,0.004382596,0.000898947,0,0,0
447.0937137,0.020762937,0.012357529,0.008920189,0.004016621,0
448.1037673,0.057293429,0.08180581,0.064154412,0.048950606,0.005901103
449.1093361,0.437371325,0.366059857,0.276305637,0.19342564,0.077243658
464.0974871,0,0,0.010937739,0.034239515,0.003595742
465.1056132,0.010517494,0.009933659,0.01135028,0.005670603,0
490.0511978,0,0,0.001943481,0,0
575.1396089,0.012979884,0.004078748,0.000681328,0,0
578.1324797,0,0,0.000384629,0.01150324,0.000341088
595.1474993,0,0,0.002938636,0,0
