mz,8EV,10EV,15EV,20EV,25EV
129.0558728,0.009723771,0.015731524,0.021708161,0.030026629,0.001543083
137.0203858,0,0.005627109,0.017976665,0.013000621,0
147.0654145,0.005432164,0.006772758,0.007164827,0.010257669,0
151.5243515,0,0,0,0.002204488,0
153.0185031,0,0.011111518,0.02899521,0.02153989,0
155.0489893,0,0,0.00125837,0,0
165.0188081,0,0.006394656,0.002374998,0,0
200.0479311,0,0,0.002114272,0.001347361,0
201.0548466,0,0.002403064,0.001349985,0,0
217.0477889,0,0.002515224,0.006625601,0.003619027,0
228.0404911,0,0.002975237,0.011147976,0.007446892,0
229.0488298,0,0.018400913,0.016036137,0.012066998,0
245.0442151,0.000653486,0.006413,0.014160159,0.010171523,0
247.0555847,0,0.003452473,0,0,0
257.0444577,0,0.012618627,0.009006928,0.004727632,0
273.0394121,0.013563557,0.01652249,0.031393586,0.023562021,0.000453551
274.0476841,0,0.013059445,0.021816762,0.013824456,0
275.0566126,0.009379106,0.009388223,0,0,0
275.0876509,0.002322007,0,0,0,0
285.0392357,0,0.006180109,0.003913426,0.001646298,0
301.0405098,0.04854636,0.056088241,0.060539851,0.054079622,0.003590314
302.0416778,0.086775699,0.214174915,0.367192215,0.35602925,0.046408917
303.0552135,0.612886197,0.689779771,0.555544585,0.479109164,0.146481712
309.1175498,0.001874803,0.001596611,0.000755381,0.001403676,0
331.0470301,0,0,0.00245526,0.000575726,0
355.0660541,0,0,0.000540045,0.001188025,0
356.067129,0,0,0.004150281,0.002822367,0
429.081874,0.018302804,0.006214155,0.003922131,0,0
449.1031533,0.013921446,0.010185731,0.005978872,0.004412741,0.00164973
464.0921415,0,0,0.004031466,0.003297883,0
465.1082104,0.178294656,0.126916926,0.108174716,0.080741381,0.050779735
493.0959884,0,0,0,0.001220763,0
575.139923,0.008250516,0.001919001,0.001113801,0,0
578.1280658,0,0,0,0.001956545,0
