mz,8EV,10EV,15EV,20EV,25EV
127.0394101,0,0.000798829,0.001771502,0.002422728,0
129.0530978,0.008832172,0.0237349,0.023077083,0.03901386,0.001791249
135.0398767,0,0,0.001705053,0.001157218,0
137.0216302,0,0,0.001418739,0.001110478,0
139.0374727,0,0.002719527,0,0,0
145.0493753,0,0.002582991,0.003653708,0.004051527,0
147.0636904,0.006760243,0.011207905,0.00925969,0.014627142,0.00039458
149.0226071,0,0,0,0.001811572,0
151.0365846,0.000470855,0.003263794,0.007288665,0.007344021,0
153.0191167,0.000401411,0.014412085,0.040575906,0.023710944,0
158.0297612,0,0,0,0.004510862,0
158.5318075,0,0,0.00514911,0.02462568,0.001823372
165.0174898,0,0.001911934,0.001360041,0.001049157,0
171.0441948,0,0,0.002228024,0.002597561,0
189.0560455,0,0,0.003372378,0.00204295,0
199.0406614,0,0,0.001943235,0.000971521,0
200.0474545,0,0,0.002453725,0.000725981,0
201.0583046,0,0,0.00133153,0,0
203.0318346,0,0,0.001531864,0.001694312,0
216.0420514,0,0,0.002833193,0.001762592,0
217.0505643,0,0.003470149,0.022131879,0.013282473,0
227.0323313,0,0,0.000507537,0.001092609,0
228.0431629,0,0.001838256,0.008293088,0.002980492,0
229.0510815,0,0.006771734,0.011870599,0.006590673,0
244.0353364,0,0,0.004813017,0.00351897,0
245.0411381,0,0.007297391,0.029822267,0.018218414,0
246.0520843,0,0.000643415,0.002624069,0,0
255.0281427,0,0,0.000981744,0.001340409,0
256.0359137,0,0,0.001410608,0.000482733,0
257.0441325,0,0.006891513,0.008816017,0.00386627,0
258.0527995,0,0,0.001117816,0.000678848,0
269.0398542,0,0,0.00164267,0.000341197,0
271.0594565,0,0.001181678,0,0,0
272.0296029,0,0.000336567,0.002986664,0.001159531,0
273.0396245,0,0.00856996,0.022017337,0.013956935,0
274.0466483,0,0.007766446,0.006691766,0.00366916,0
283.0216873,0,0,0,0.003221359,0
285.0409323,0,0.022453414,0.012503884,0.008973792,0
286.0482892,0,0.000882553,0.003155195,0.001223097,0
287.0573878,0.045450898,0.046311067,0.058110139,0.038523941,0.00099971
288.0601283,0,0.009234328,0.013575375,0.007181612,0
300.0251972,0,0,0.002623794,0.002030058,0
301.0346775,0,0.016812269,0.021456115,0.018210282,0
302.0461695,0.003032595,0.081996341,0.039092328,0.024862275,0.000941405
309.1161058,0.003574855,0.001631252,0.002909463,0.003333122,0
314.0449047,0,0,0.001554355,0,0
315.048276,0.04470972,0.071089889,0.07448925,0.054277085,0.002355978
316.0551387,0.200902575,0.334354268,0.451286903,0.406082513,0.042234115
317.0719842,0.65938171,0.759416529,0.565281474,0.493100975,0.159495461
345.0619405,0,0,0.003246166,0.002182364,0
359.0726524,0.000637871,0.001403689,0.000445751,0,0
401.978239,0,0,0,0,0.001801659
405.0862594,0,0,0.002023797,0.000382207,0
443.0990758,0.028657768,0.013061923,0.005108203,0.002306911,0
462.1176532,0,0,0.003513154,0.000481059,0
463.1254363,0.025957558,0.016216674,0.01254674,0.008542151,0.006638591
478.107864,0,0.002586124,0.006246574,0.010963845,0
479.1178714,0.249358397,0.173608678,0.131171493,0.106292364,0.079192123
507.1168324,0,0,0.002775091,0.008000539,0
589.1559533,0.009747812,0.003801755,0.00135543,0,0
