mz,8EV,10EV,15EV,20EV,25EV
134.0352285,0,0,0.000563719,0.001568012,0
137.024638,0,0,0.002656167,0.000700828,0
149.0604851,0,0,0.003961217,0.00179591,0
151.0375396,0,0,0.015879577,0.012152505,0
179.0317115,0,0,0.002077827,0.00107801,0
189.0183512,0,0,0.004145676,0.002983092,0
191.0335678,0,0,0.002808074,0.002310805,0
195.0262194,0,0,0.003717864,0.001722078,0
203.0339929,0,0,0.001600314,0.00076906,0
207.0275629,0,0,0.005321546,0.004235744,0
219.0298829,0,0,0.004141508,0.003400191,0
223.0238786,0,0,0.002988294,0.001770091,0
303.5811398,0,0,0.006572615,0.0114102,0
310.0505937,0,0,0.005234638,0.002152501,0
311.0558763,0,0,0.00544839,0.005040843,0
312.0617123,0,0,0.005392323,0.004204238,0
312.5884763,0,0,0.068373479,0.090065494,0.0128243
313.0688698,0,0.00392551,0.018510184,0.01396173,0
314.0790004,0,0,0.007243805,0.00595144,0
322.0459178,0,0,0.00473732,0.003390897,0
323.0531586,0,0,0.007941411,0.005550616,0
324.0616005,0,0.004029572,0.016873389,0.013076751,0
325.0687929,0.002227638,0.029786036,0.047678503,0.032072529,0.003375123
326.0804019,0,0.000922569,0.007548602,0.004433623,0
327.0854056,0,0.003334704,0.014870771,0.013429847,0
328.0587707,0,0,0.002793316,0.001151306,0
328.0877122,0,0,0.001167501,0,0
329.068776,0,0,0.00503239,0.0033853,0
335.0505226,0,0,0.002286001,0.002080497,0
336.06206,0,0,0.004651709,0.003433952,0
337.0747677,0,0.020470932,0.052877141,0.029814564,0.002743924
338.081431,0,0.001271294,0.01130386,0.006515503,0
339.0845355,0,0.004873269,0.017563084,0.014660258,0
340.0587785,0,0,0.007550559,0.005781178,0
341.0684321,0,0.008327896,0.063190069,0.051741775,0.005287689
342.0723286,0,0.006092457,0.019316098,0.013738203,0.0005273
343.0809382,0,0.006212124,0.014008312,0.008198376,0
349.0712963,0,0,0.006933344,0.004321259,0
