mz,8EV,10EV,15EV,20EV,25EV
129.0546198,0,0.004725232,0.00510577,0.013019028,0
147.0643959,0,0.002240445,0.001538165,0.002104262,0
151.0399554,0,0,0.002002647,0.000752836,0
153.0189394,0,0.002253239,0.021213533,0.013674032,0
158.532233,0,0,0,0.009249898,0
217.0520105,0,0,0.010129245,0.002050929,0
228.0437699,0,0,0.001855773,0,0
245.0438935,0,0.002004064,0.011487477,0.005114587,0
257.0489024,0,0.001595599,0.00500876,0,0
273.0424018,0,0.002174903,0.008596701,0.001824882,0
285.0350383,0,0.006571212,0.001557369,0,0
287.0569281,0.022289091,0.024241846,0.035466095,0.017184688,0
288.0673677,0,0,0.001948797,0.001735856,0
301.0368576,0,0.005548635,0.008123028,0.009302612,0
302.0393644,0,0.05250047,0.022886887,0.011927238,0
315.0482779,0.024378683,0.039902175,0.049246814,0.034045088,0
316.0580139,0.146237695,0.258783955,0.407032146,0.331667614,0.035262664
317.0664006,0.652716222,0.743767355,0.585138562,0.434401164,0.130145847
443.0967138,0.014203696,0.001652053,0,0,0
463.1250267,0.013872199,0.006607067,0.00230712,0.001940496,0.001046458
479.1176277,0.177404563,0.121970906,0.097310514,0.081127133,0.052494433
507.1133515,0,0,0,0.0013178,0
589.1518489,0.001436193,0,0,0,0
