mz,8EV,10EV,15EV,20EV,25EV
147.046693,0.002169722,0.020175756,0.021277206,0.017676545,0
153.021196,0.02131343,0.05365139,0.062943062,0.049359701,0.001736332
166.0248614,0,0,0.009701592,0.004404807,0
171.0285757,0.01397402,0.021990378,0.014838434,0.002997555,0
181.0124125,0,0,0.013927845,0.019077637,0
183.0259972,0,0,0.00714948,0,0
187.0592807,0,0.015186361,0.015810759,0.018689278,0
194.0209018,0,0,0.002553486,0.007983796,0
195.0260912,0.025841036,0.061250527,0.064537571,0.043547456,0
205.0710357,0.026673093,0.025196312,0.017695485,0.016331678,0
207.0298609,0,0,0.005323555,0.003706284,0
219.0285464,0.00201001,0.018511684,0.016144336,0.00432495,0
255.0846895,0.005916655,0.004768362,0.002147153,0,0
261.0341235,0.001666242,0.016348858,0.011718528,0.001550583,0
263.0545382,0,0.003943105,0,0,0
271.060164,0,0,0.006174784,0.002618965,0
272.0675184,0,0.013035566,0.031952917,0.035299521,0
273.07722,0.156773394,0.197473722,0.203279492,0.167486556,0.06102097
285.0717451,0,0,0.00803184,0,0
297.0879616,0.017464339,0.018740101,0.015941176,0.002661253,0
301.0709851,0,0,0.014710694,0.006717189,0
315.085535,0.070199846,0.083739157,0.053716136,0.038164753,0.014613107
333.11712,0.012923767,0.00943809,0,0,0
339.0866411,0.022081826,0.031950022,0.021922368,0.009027958,0
351.125736,0.057838799,0.049061086,0.041974118,0.029433626,0.023707799
381.0944958,0.021629784,0.033151915,0.008433845,0.002732449,0
383.1095907,0.005267068,0.009873942,0.002476811,0,0
401.1237551,0.024289675,0.023099703,0.013328155,0.007681606,0
419.1323605,0.044547131,0.040695736,0.030163334,0.020576286,0.011235816
441.1175255,0.00476245,0,0,0,0
443.1349678,0.010672788,0.006984576,0,0,0
459.1260604,0.058668248,0.044685342,0.031365669,0.021038731,0.011081442
461.1385478,0.024931917,0.017822374,0.011973266,0.01058588,0.011603764
476.1289054,0,0,0.006231668,0.018593118,0
477.1420744,0.186476588,0.146803446,0.124837529,0.108512252,0.103452051
501.1403599,0.026412097,0.016803122,0.012017851,0.007351233,0.007130923
519.1465105,0.004737858,0,0,0,0
569.1634629,0.015764229,0.005401984,0,0,0
587.1740181,0.032032066,0.01949773,0.013767412,0.00798641,0.010840291
605.1893624,0.03441165,0.025336669,0.019996932,0.014596814,0.019732983
