mz,8EV,10EV,15EV,20EV,25EV
129.0556371,0,0,0.006097895,0.014849943,0.001033121
132.0559909,0,0.00127736,0.01398386,0.009393398,0
133.065045,0.002203877,0.016020723,0.018077367,0.009322792,0
135.0447794,0.000516947,0.003968212,0.007696807,0.004079641,0
139.053399,0,0,0.003161111,0.002698909,0
142.5378109,0,0,0.007392935,0.028733583,0.004106487
145.0592408,0,0,0.002878243,0.003134023,0
147.0662774,0,0,0.004698514,0.010877854,0.000604414
153.0175734,0,0.009384807,0.028207025,0.018987707,0.001424666
157.0648979,0,0,0.003079383,0.002169136,0
170.0224622,0,0,0.005193746,0.00231754,0
171.0284874,0,0.004288452,0.003066086,0,0
185.0585668,0,0,0.004428126,0.002380316,0
197.0584173,0,0.005925323,0.006842549,0.004366889,0
201.0513228,0,0.003883046,0.00466331,0.00299164,0
211.075325,0,0.003594521,0.003979673,0.002001041,0
213.0568211,0,0.0027853,0.0151638,0.007111077,0
227.0716104,0,0.004467151,0.006072381,0.003712143,0
241.0514647,0,0.005102284,0.019874344,0.008852025,0
242.0578391,0.004931839,0.062053675,0.124950922,0.050062218,0.006907881
255.0656751,0.052691724,0.069751791,0.068208601,0.044608937,0.006534835
256.0745934,0.012907623,0.051815698,0.06713776,0.054993333,0.006558573
269.0456503,0,0.001744258,0.002349602,0.000815376,0
270.0527897,0.028945915,0.129246099,0.088177964,0.050207196,0.006476924
273.1010247,0,0,0.002426323,0.003037597,0
283.0629173,0,0.002794808,0.014838828,0.008230483,0
284.0689778,0.133061982,0.26433985,0.377500352,0.302459185,0.072136935
285.0814992,0.454056229,0.58852544,0.541387208,0.424960327,0.149018441
297.0783839,0,0.001177923,0.005114969,0.003854418,0
309.1163218,0,0,0.014216298,0.015467985,0
311.0899661,0,0,0.003711334,0.000562668,0
313.0698911,0,0.002870306,0.024440072,0.01553211,0.001191565
327.0900776,0.000599169,0.003178458,0.008158179,0.004819574,0
355.0701395,0.004061279,0.003433536,0.005153519,0.002548143,0.003758402
357.1008867,0,0,0.006815812,0.00275172,0
377.1056619,0.000491488,0.001193262,0,0,0
395.1176305,0.002549027,0.000935582,0,0,0
413.1244422,0.007206299,0.002154106,0,0,0
429.1127806,0,0,0.002542371,0.001829357,0
431.1278897,0.000512697,0.001384892,0.002278581,0,0
447.1280804,0.026833009,0.021877802,0.01416581,0.012903438,0.00127336
475.1276747,0,0.00597879,0.028733572,0.050507919,0.009382583
489.1415769,0,0,0.004851205,0.001599431,0
557.1719033,0.004347146,0.000694499,0,0,0
575.1781527,0.048160723,0.020039668,0.007519025,0.002702083,0
