mz,8EV,10EV,15EV,20EV,25EV
129.0534401,0,0.000736026,0.007910903,0.016569473,0.001004771
132.0555991,0,0,0.009765496,0.00825935,0
133.0626263,0.00096334,0.009746115,0.014211725,0.006786415,0
135.0448292,0,0.000568055,0.003872945,0.004214751,0
139.052525,0,0,0.001743303,0.00069896,0
142.535548,0,0,0.006734417,0.020591946,0.002883739
145.0529033,0,0,0.000736732,0.002320335,0
147.0662865,0,0,0.006506175,0.012816936,0
153.0187234,0,0.005610434,0.020643937,0.015266199,0
157.063626,0,0,0.002165656,0.000670203,0
170.0208676,0,0,0.002929421,0.001366843,0
171.0261984,0,0.000783156,0.001221034,0,0
185.058286,0,0,0.003323153,0,0
197.0599162,0,0.005616173,0.005479814,0.002765827,0
201.0555318,0,0.004213344,0.003093677,0.001423808,0
211.0761687,0,0.004204479,0.003009858,0.000545679,0
213.0542144,0,0,0.01142394,0.006048271,0
227.0692022,0,0.004733669,0.004820406,0.002473359,0
241.0498451,0,0.00335397,0.014067397,0.009013488,0
242.0587163,0.001648432,0.037054837,0.101501632,0.04342303,0.005310035
255.0655864,0.034360928,0.055757178,0.051791767,0.03660326,0.004606786
256.0720923,0.018364933,0.06546499,0.059971919,0.045437146,0.005778662
269.0456937,0,0.000550203,0.003091567,0.000498393,0
270.0527189,0.013557317,0.083373289,0.069488802,0.045338303,0.004606449
283.0602935,0,0.002954259,0.010732582,0.008893637,0
284.0717394,0.171285058,0.28694945,0.338950862,0.26555965,0.058382746
285.0906927,0.27636478,0.49796663,0.496973671,0.376247068,0.099836211
297.0740779,0,0.00261991,0.009848229,0.007501103,0
300.0611427,0,0,0.002779629,0.001489249,0
311.0925497,0,0.001615281,0.007718981,0.00376867,0
313.0715978,0,0.009427387,0.061972013,0.035967871,0.004668087
327.0857024,0,0.007772756,0.014758171,0.01154893,0
355.0701887,0.002401707,0.001292565,0.002310025,0.00121853,0.00159401
429.118739,0,0,0.00287786,0,0
445.1085963,0,0,0.005613544,0.001339357,0
446.1213018,0.011428028,0.019229787,0.039246903,0.060663552,0.01032114
447.132985,0.346756473,0.364380323,0.217271978,0.143028406,0.045419276
475.1295433,0.00062911,0.007511785,0.0402156,0.039753019,0.006888497
488.1318832,0,0,0.003472387,0,0
489.1369291,0,0,0.006316483,0.002256591,0
501.1352977,0,0,0.001822605,0,0
556.1659649,0,0.000899152,0.002183758,0,0
578.1592515,0,0.002173114,0,0,0
