mz,8EV,10EV,15EV,20EV,25EV
133.0471601,0,0,0.004998967,0.007117581,0
137.0268474,0,0,0.002479828,0.001046089,0
141.0192593,0,0,0.004631602,0.003934098,0
145.0285143,0,0,0.002165851,0.001349502,0
153.0176471,0,0,0.003662927,0.003268166,0
163.0404841,0,0,0.002888103,0,0
165.0181352,0,0.006803631,0.00974179,0.006379414,0
167.0359328,0,0,0.004250512,0.002506706,0
177.0150642,0,0,0.002739611,0.002834654,0
181.0151234,0,0,0.007420023,0.005373149,0
183.0296891,0,0.009949403,0.012438626,0.00900471,0
195.0293317,0,0.001693275,0.003160737,0.00221717,0
197.0103368,0,0,0.011831496,0.006697721,0
207.0290978,0,0.001935978,0.007165504,0.005651894,0
242.0578078,0,0,0.003705933,0.002048418,0
254.0565608,0,0,0.007074838,0.004161153,0
255.068703,0,0.00137159,0.007004832,0.00348712,0
267.065811,0,0.012833288,0.008899565,0.007646331,0
269.0424002,0,0.000472617,0.001644513,0.001676782,0
270.0514288,0.001527477,0.016998301,0.03132344,0.024949773,0.003362555
271.0578563,0.006908775,0.026715639,0.019210697,0.01218295,0
279.0636294,0,0,0.003210042,0.001085451,0
281.0824108,0,0.005239783,0.001550192,0,0
282.0498854,0,0.007507819,0.019730035,0.013822101,0.00043095
283.0569614,0.066026254,0.184341129,0.150861832,0.104861159,0.017789023
284.0687645,0,0.026070267,0.041832111,0.027282846,0.003286239
285.0446681,0,0.0025394,0.011173369,0.007723044,0
294.0531225,0,0,0.007658011,0.006040909,0
295.0578404,0.007621832,0.039210446,0.070178258,0.048007229,0.007015879
296.0621232,0,0,0.008759297,0.004062494,0
297.0414976,0,0.016188178,0.045267058,0.036562502,0.003716215
297.0702278,0,0.00818348,0.014718534,0.038381525,0.002226569
298.0449321,0,0.002789215,0.010879714,0.011810098,0
299.0547119,0.022671618,0.102920593,0.2366571,0.193412108,0.038142178
307.0599142,0.001944849,0.01774194,0.035117699,0.026276099,0.002870022
308.0681033,0,0.00307698,0.006037245,0.001441449,0
309.0739456,0.001805964,0.036914469,0.026532907,0.010985254,0
311.0556949,0,0.005443049,0.008813706,0.006546316,0
312.0616864,0.00240186,0.032736862,0.07400959,0.047995883,0.005007782
313.0724468,0.141846782,0.288780298,0.269764884,0.173915274,0.033274232
315.0516153,0,0,0.004339437,0.002755179,0
321.0725921,0,0.002945162,0.003986418,0.001956205,0
323.083877,0,0.008730296,0.009301323,0.005166628,0
325.0697293,0.002885015,0.01739486,0.051976998,0.028818223,0.00317328
326.0764461,0,0,0.005094736,0.000526168,0
333.07712,0,0.003601411,0.002072781,0,0
336.0620267,0,0.006344593,0.013521775,0.007475951,0
337.0694078,0.059740516,0.134565384,0.081566173,0.04653422,0.006799902
341.0682821,0,0.001623784,0.014202683,0.010849179,0.002100686
343.0835994,0,0.000696671,0.001831646,0,0
349.066695,0.004772976,0.022997123,0.017636846,0.008896736,0
350.0786907,0,0.000388964,0.003107344,0.000379975,0
351.0850006,0.001569212,0.008460015,0.004852497,0.000943243,0
354.0712052,0,0,0.001868013,0.00047597,0
361.0720363,0.003693477,0.017697993,0.010432651,0.004499704,0
366.0771413,0,0.001467485,0.005730694,0.002237552,0
367.0822808,0.041954409,0.078081643,0.042309616,0.024093128,0.004499257
378.0739795,0,0.0021855,0.005228843,0.001456656,0
379.0799295,0.029571705,0.062790696,0.038588626,0.018510228,0.002556263
383.0806668,0,0,0.001015213,0.000985526,0
385.0958707,0,0,0.00316433,0,0
386.0998639,0,0.0017375,0.002676445,0,0
396.0918184,0,0.00268336,0.005292211,0.002927835,0
397.0930405,0.047336695,0.092993728,0.048029363,0.026237565,0.004408217
414.0914342,0.002429511,0.026122527,0.024543405,0.030637367,0.005186125
415.1031385,0.133948624,0.199675882,0.095930904,0.057619015,0.012964012
416.1091897,0,0.008062289,0.01022531,0.003860669,0
431.1028341,0,0,0.003839726,0.001539546,0
432.1132426,0.012247484,0.038520515,0.079465225,0.083164062,0.014730821
433.119749,0.504165336,0.440714361,0.312139772,0.223104538,0.07798414
445.1120345,0.005928726,0.003797285,0.002572605,0,0
461.1080216,0,0,0.009656268,0.009205135,0.001130882
505.140015,0,0,0.004542427,0.001062941,0
547.1424507,0.005793937,0.002003678,0,0,0
