mz,8EV,10EV,15EV,20EV,25EV
131.053358,0,0,0.001177915,0.001169499,0
133.0496898,0.000617617,0.003292629,0.010756004,0.025358506,0.003826878
139.0550493,0,0,0.002767586,0.003251081,0
141.0171955,0,0.001756394,0.001208797,0.000573534,0
153.0189654,0.001718838,0.032239824,0.048517028,0.028652707,0.004759601
157.0675386,0,0,0.003644324,0.001522771,0
163.0399013,0,0.001463046,0.000645746,0,0
168.0564854,0,0,0.002724499,0.001551095,0
169.0634717,0,0.001427003,0.003399384,0,0
170.0226884,0,0.001463165,0.005242116,0.001851895,0
171.0300398,0,0.011984656,0.006551417,0.002787963,0
185.0601163,0,0.000524719,0.003047288,0.000984799,0
187.0395694,0,0.003476544,0.0037619,0.002899587,0
197.0617499,0,0.007551712,0.009443792,0.005673478,0
201.055697,0,0.004285651,0.000493345,0,0
213.0546163,0,0.005082716,0.01627861,0.008838573,0.000426471
215.0699695,0,0.006351264,0.000489877,0,0
225.0550244,0,0.00511374,0.000515757,0,0
229.0474535,0,0.001775018,0,0,0
241.0506582,0.089685743,0.117816567,0.083529273,0.050049424,0.007902807
242.0606016,0.007979209,0.064388236,0.110348837,0.077637849,0.012116241
247.0612993,0.003395527,0.003059059,0,0,0
253.0510334,0,0.007537812,0.002130542,0,0
259.0809408,0,0,0.002755987,0.003970309,0
269.0425718,0,0.007887037,0.020849542,0.012660788,0
270.0551757,0.093538164,0.240489341,0.361824107,0.282881195,0.074253004
271.0711587,0.539006461,0.671801066,0.570746856,0.439688991,0.172441343
283.0570193,0,0.000408795,0.005522325,0.003901379,0
285.038576,0,0,0.002553288,0,0
286.0504651,0,0,0.00139797,0.001665337,0
295.1016826,0,0,0.007343662,0.007632859,0
297.0753179,0,0,0.003668391,0.001053791,0
299.0548056,0,0.001509534,0.025172809,0.015550639,0.001989326
313.0707505,0.000492931,0.003818971,0.007614586,0.00473241,0
343.0801598,0,0,0.001885102,0,0
385.0868036,0.003064262,0.001030616,0.003030545,0.001191704,0
403.0994943,0.00445854,0.002740455,0.004125962,0.00172943,0
415.100066,0.001024932,0.002270048,0.002312868,0.000348625,0
417.1199053,0.002279868,0,0,0,0
431.1017838,0,0,0.003134078,0.000480023,0
432.106079,0.002358889,0.004575319,0.01021769,0.00985973,0
433.115624,0.129689298,0.077369173,0.050133242,0.033636016,0.013918577
461.1079088,0,0.004509492,0.021715265,0.04201244,0.007818276
475.1165348,0,0,0.002781665,0,0
533.1319829,0,0.004570072,0.008193438,0.003021123,0
