mz,8EV,10EV,15EV,20EV,25EV
129.0557869,0,0.0007545,0.009919232,0.018937538,0.000729128
133.0292336,0,0,0.000723724,0.003599057,0
145.0648082,0,0,0.003455804,0.004957449,0
147.0656755,0,0,0.008396021,0.015611314,0.000521733
149.0601288,0,0.000724818,0.00441905,0.001671373,0
150.5353563,0,0,0.005487501,0.020330985,0.000524255
153.017809,0,0.004169657,0.021277611,0.017410268,0.000395502
155.0503255,0,0,0.001382468,0.001440325,0
173.0606764,0,0,0.003200117,0.000519979,0
201.0551655,0,0,0.003102814,0.002154984,0
203.0329345,0,0,0.002397889,0.001793047,0
213.0550249,0,0,0.001349295,0.000814711,0
217.0476408,0,0,0.001997783,0.001566144,0
228.0430715,0,0,0.001328789,0.000609911,0
229.0486613,0,0.003901728,0.030818086,0.021855421,0.000613985
242.0561936,0,0,0.001211229,0.000634241,0
257.0458773,0,0.008618238,0.029431081,0.023116102,0.002091807
258.0529958,0,0.042914212,0.085422772,0.037240096,0.003064782
271.0599046,0.003782067,0.019582305,0.042421247,0.035976375,0.003152958
272.0678682,0.001155991,0.018167085,0.037294525,0.036072726,0.003275894
285.0398238,0,0.0067828,0.013137388,0.012112694,0.000443011
286.0456069,0.041701903,0.195742412,0.17553935,0.118037297,0.015083203
299.0581104,0,0.012266345,0.02819473,0.022216187,0.001678232
300.0679012,0.037194461,0.157478097,0.322062664,0.268056313,0.051139875
301.0756985,0.237595405,0.464170616,0.505689821,0.396476237,0.087302724
313.0724012,0,0.000417396,0.007554827,0.006546219,0
327.086273,0,0,0.007783609,0.003793775,0
329.0665837,0,0.004732397,0.059090909,0.037417618,0.00425491
343.0761282,0,0.007329422,0.013775664,0.010812386,0
445.1145993,0,0,0.001489341,0.00071143,0
447.1235483,0.002513227,0.000439501,0,0,0
448.1023186,0.012676127,0.037540077,0.016283837,0.008092027,0
461.1144246,0,0.002892189,0.005168092,0.001836063,0
462.1134614,0.009109818,0.037245588,0.05066131,0.08011467,0.01196777
463.1299929,0.308988951,0.323280235,0.190722239,0.134218577,0.034348856
491.1209014,0,0.004903014,0.036274289,0.042416441,0.006119263
504.1310642,0,0,0.001419616,0.00045206,0
505.1332997,0,0,0.004728604,0.002429153,0
594.1567905,0.011479211,0.028862741,0.005583825,0.003282374,0
