mz,8EV,10EV,15EV,20EV,25EV
129.0533472,0,0,0.004922909,0.01435941,0.000458343
133.0270648,0,0,0.001921647,0.004033861,0
145.0672426,0,0,0.003377949,0.002463744,0
147.0654356,0,0,0.005062969,0.013633924,0
149.0595192,0,0.005611146,0.006913986,0.002373575,0
150.0323385,0,0,0.000529597,0.002565498,0
150.5344543,0,0,0.00767418,0.024282064,0.00075506
153.016902,0,0.004991947,0.022731264,0.017395444,0.000518284
155.0500732,0,0,0.003154886,0.00264442,0
173.0595668,0,0,0.004124268,0.001998985,0
183.044364,0,0,0.002616329,0.000467388,0
187.0369405,0,0,0.001718812,0.000487928,0
201.0538852,0,0.000516693,0.004347262,0.003412735,0
203.0330624,0,0,0.002796198,0.002567863,0
213.0558699,0,0,0.001589539,0.000705654,0
217.05216,0,0.001402428,0.003689837,0.002102627,0
228.042283,0,0,0.002076787,0.002658105,0
229.0488152,0,0.007677262,0.030900153,0.020791892,0.000446749
242.0578244,0,0,0.001725363,0,0
257.0454676,0,0.011944786,0.029481928,0.020199006,0.001770577
258.0528188,0.00163536,0.0588142,0.089809031,0.035963406,0.003555772
270.0533268,0,0,0.002775827,0.001377191,0
271.0613748,0.015955034,0.051874547,0.062780882,0.046783017,0.004451605
272.0700737,0.001461747,0.032322583,0.041272797,0.045949904,0.00538881
273.0964568,0,0,0.000631228,0.003556782,0
285.0446565,0,0.009203338,0.013000175,0.012842649,0
286.0457987,0.080406568,0.247048017,0.16192616,0.111869001,0.013823271
299.0549993,0,0.010369453,0.02857039,0.021958907,0.001861962
300.0647856,0.053960469,0.226528693,0.356955286,0.339319046,0.067409948
301.0810308,0.403781413,0.586433607,0.517713542,0.430146926,0.118584154
309.1183229,0,0,0.012510119,0.014814088,0
313.0701706,0,0.000431911,0.003691817,0.002830063,0
327.0868341,0,0,0.002912165,0.000469748,0
329.0663077,0,0.000984039,0.019516753,0.011815971,0.000514615
343.0794377,0,0.002861831,0.005847268,0.003345123,0
373.0958163,0,0,0.005172097,0.000625947,0
447.1302264,0,0.000560921,0.002715661,0,0
463.1241397,0.026778372,0.021868877,0.012890726,0.011146529,0.001357121
491.1113552,0,0.005003816,0.027481407,0.04194982,0.008798036
505.1368594,0,0,0.004224456,0.000584397,0
591.1719678,0.002180651,0.000634597,0,0,0
594.1409389,0.000755032,0.002863791,0,0,0
594.169794,0.001938944,0.005742447,0.000811815,0,0
