mz,8EV,10EV,15EV,20EV,25EV
145.0307155,0,0.000579109,0.004570203,0.014821758,0.00093246
149.0241395,0,0,0.00154044,0.000629432,0
163.0523986,0,0,0.002306356,0.002531162,0
167.0334312,0,0,0.002444402,0.00170045,0
179.0358146,0,0,0.004007099,0.001798615,0
195.0317533,0,0,0.003489502,0.002488763,0
197.042043,0,0.001275774,0.004451576,0.004193231,0
209.0439206,0,0.001299487,0.003663401,0.000604111,0
211.022376,0,0,0.003855216,0.001734863,0
221.0471957,0,0.00336486,0.008677881,0.005539707,0
242.0563861,0,0,0.005115648,0,0
254.0597955,0,0,0.003484834,0.000354,0
255.065178,0,0.003114871,0.008914374,0.004779354,0
267.0659031,0.000561222,0.021102747,0.016808056,0.008271574,0
268.0735524,0,0.00076046,0.005495353,0.003039388,0
269.0779005,0,0.005308953,0.00960727,0.005027074,0
270.0551209,0,0,0.005090537,0.002147457,0
279.0663044,0,0,0.003899293,0.000729014,0
280.0769511,0,0.001223286,0.004142286,0.002118958,0
281.0803581,0,0.003406499,0.002713611,0.001580617,0
282.0532999,0,0.00053765,0.003489664,0.002155628,0
283.0636817,0,0.006329417,0.021899716,0.011535846,0
284.065954,0.002024513,0.016880507,0.029706957,0.017815946,0.002021438
285.0766199,0.01715795,0.034387995,0.02391186,0.013534645,0.001144254
294.0577836,0,0.000895354,0.006245434,0.005021645,0
295.0596154,0,0.002046926,0.011000723,0.005852835,0
296.0710758,0,0.004588864,0.012193543,0.009086967,0
297.0724363,0.093520683,0.172823948,0.143953879,0.092463207,0.013834044
298.083952,0.001313657,0.022763958,0.020478659,0.013020855,0
307.0600316,0,0,0.004328701,0.001270432,0
308.069884,0,0.006124137,0.015311232,0.009284846,0
309.078768,0.00245915,0.02084633,0.04510577,0.03582533,0.003948043
310.0846065,0,0.000586985,0.006812765,0.003280022,0
311.0575443,0,0.006428087,0.012490029,0.014451023,0
311.0845353,0,0.007568621,0.023455366,0.011662165,0.001050849
312.0613951,0,0.001320345,0.011571334,0.0087396,0
313.0720679,0.050452317,0.121183,0.230866762,0.163076115,0.026302243
314.078484,0,0.000379933,0.001489884,0,0
321.074377,0.00553484,0.015815033,0.034346,0.026737248,0.002691331
322.0832549,0,0.003244244,0.004734425,0.000371605,0
323.0906275,0.002513148,0.041255691,0.019569936,0.01111757,0
325.0787083,0,0.002637179,0.006908834,0.003938639,0
326.0796856,0.012981994,0.040486215,0.077874502,0.047282348,0.004117765
327.0901798,0.186999781,0.342965056,0.297681405,0.196592479,0.037309563
337.0727256,0,0,0.001070633,0.001070343,0
337.1033033,0,0.007981248,0.005355607,0.003171433,0
338.0797887,0,0,0.002282653,0.000427374,0
339.0884151,0.008702539,0.023844333,0.050575888,0.026628888,0.002168086
340.0985131,0,0.000920551,0.004404249,0.000472632,0
350.0820404,0,0.006632376,0.013424495,0.006724783,0
351.0882288,0.059683354,0.124528997,0.081323529,0.048227175,0.008083533
355.0808623,0,0.002480875,0.019774333,0.018850166,0.003509979
356.0885797,0,0.001930965,0.000856335,0.001187682,0
363.0873992,0.00267244,0.009642552,0.009620935,0.004691086,0
365.0991124,0.001352022,0.005508967,0.003660685,0,0
368.0876103,0,0.002090551,0.001271246,0,0
369.1004216,0,0.000548907,0.001652223,0,0
375.0906581,0.00283009,0.013083793,0.006229294,0.000813465,0
380.0922725,0,0.000671527,0.005257734,0.001701406,0
381.0988185,0.030982995,0.047218503,0.027164586,0.016410962,0.002756826
392.085977,0,0,0.002764294,0.000766378,0
393.0920684,0.021484284,0.042028813,0.028812027,0.013524372,0.001783271
410.1000571,0,0.002819084,0.008343816,0.003670809,0
411.1153824,0.049630891,0.0728293,0.042099719,0.023573341,0.002775266
428.1015539,0.001723651,0.014390224,0.026786602,0.016617482,0.001364074
429.1226634,0.152480176,0.170886624,0.088859625,0.053903148,0.012416261
430.1307537,0,0.000535151,0.00281632,0.000994342,0
446.1223607,0.002270938,0.00998874,0.021661048,0.016199243,0.001164185
447.134025,0.180651181,0.144435539,0.086888966,0.066282479,0.016861678
475.1247535,0,0.003656072,0.043337233,0.093986016,0.017192361
488.1198427,0.000455551,0.003341587,0.005210528,0,0
489.1450769,0.038486079,0.026241251,0.016577969,0.00945758,0.001652542
501.1365893,0,0,0.002341035,0,0
535.1484567,0,0.001330572,0.003032167,0,0
547.1430308,0,0,0.001774896,0.000375047,0
591.1710225,0.010534248,0.005717357,0.00034287,0,0
