mz,10EV,15EV,20EV,25EV
103.036987,0,0,0.00332821,0
109.0297627,0,0.000438698,0.00852909,0.002259688
111.0036992,0,0.002190825,0.000777045,0
112.0121328,0,0.010347139,0.013943777,0.00621944
113.0200937,0,0.013423833,0.010834432,0.001238155
125.0222124,0.000931646,0.023467911,0.019982527,0.004170066
127.0352616,0,0.006581547,0.027973415,0.007774386
132.0189801,0,0,0.000430175,0.001265429
137.0197042,0,0.004275419,0.002983278,0
138.0293264,0,0.008994352,0.006014369,0.000950368
141.0517265,0,0.002004737,0.00083643,0
143.0309837,0.000371709,0.004992947,0.005608682,0
144.0028734,0,0,0.002518545,0
145.0503082,0,0,0.026801557,0.00788628
149.0424155,0,0,0.0017722,0
153.0160371,0,0.001134936,0.004502267,0.000360446
155.033849,0,0.012531545,0.008377651,0.000397122
156.03404,0,0.002324021,0.001030504,0
157.0474098,0,0.008429982,0.005200326,0.00047949
163.058496,0,0,0.002615301,0
167.029318,0,0.005027216,0.003727755,0
169.0517836,0.004972632,0.098091318,0.079459939,0.018317452
171.0245698,0,0.008552339,0.007638214,0.001044292
173.0452116,0,0.001682765,0.003910243,0
183.0269006,0,0,0.00230625,0
184.0366472,0,0.003271427,0.036354406,0.008681333
185.0405672,0.010107337,0.111750218,0.07918327,0.017412197
186.0506151,0.014117057,0.037410519,0.031006635,0.007018974
191.060862,0,0,0.006167506,0.000562251
201.0373447,0.032703018,0.170555679,0.123117785,0.029061617
202.0461065,0,0.002508428,0.000815023,0
203.0522842,0.023932614,0.095800725,0.075254409,0.017933953
218.0424624,0.003865685,0.013810303,0.007574065,0
225.0421902,0,0,0,0.001584719
231.0405803,0.048533941,0.20495812,0.188667332,0.061039034
244.0544445,0.001067435,0.004764738,0.002341404,0
245.0667387,0.00103173,0.064039119,0.038368865,0.007839569
257.0602054,0,0.006881305,0.009418416,0.000969033
259.0451584,0.008690804,0.012730072,0.006875937,0
261.0559036,0,0.004780735,0.003269679,0
273.0595325,0,0.006203432,0.002861828,0
274.0664336,0,0.004355271,0.002406043,0
275.0724387,0.002096889,0.039755179,0.021798077,0.003538991
289.0559891,0,0.003300324,0.000608074,0
291.0652768,0,0.004857022,0.002679926,0
303.0664666,0,0.004890621,0.003729497,0
305.0885447,0.010264138,0.015862728,0.007512124,0.000466061
317.0846528,0,0.030315406,0.016694251,0.002407332
333.0788928,0.010711358,0.036249464,0.020181845,0.002306646
334.0846031,0.004665146,0.003856079,0.001433917,0
347.0975862,0.000363977,0.021261765,0.009417195,0.000505887
