mz,10EV,15EV,20EV,25EV
103.0389386,0,0,0.002077037,0
109.0278122,0,0.005061407,0.007959765,0.002592157
110.0326065,0,0.000851949,0.001993847,0
112.0130914,0,0.003026021,0.004095542,0.004206146
113.0221346,0,0.029286571,0.025300676,0.006302491
115.0370309,0,0.001240772,0.000430788,0
125.0220331,0,0.007315228,0.00591631,0.000372195
127.0374067,0,0.004722938,0.015850797,0.004630595
132.0177849,0,0,0.001279155,0.001269909
139.0371529,0,0.001409609,0,0
141.0161867,0,0.004563746,0.003380544,0
143.0284448,0,0.000851027,0.002125264,0
145.0480081,0,0,0.013178945,0.003103973
149.0465858,0,0,0.002555613,0
155.0287629,0.004170282,0.070483046,0.047072637,0.01079201
157.0462487,0,0.005232259,0.003351125,0
163.0635506,0,0,0.001166745,0
167.0327723,0,0.003374346,0.002482091,0
169.0515709,0,0.015677804,0.010654018,0.001713188
171.0280612,0,0.016682397,0.011460754,0.002567995
173.0437062,0,0.004739669,0.00892085,0.001544989
184.0334448,0,0,0.002825063,0
185.0422623,0.003580209,0.061849633,0.039576386,0.00822349
186.0520346,0,0.002334823,0.002461177,0
187.0565078,0.015789538,0.012338185,0.006226625,0
199.0355375,0,0.00194911,0.000967581,0
201.0398905,0.027931766,0.126324089,0.077409191,0.016912412
203.0535652,0.009080497,0.10572248,0.109679693,0.030601445
204.0258274,0,0.003920502,0.005036178,0
213.0411431,0,0.001491197,0.000416622,0
218.0396644,0.000350759,0.002964937,0.002693788,0
225.0409967,0,0,0.000404848,0.001036929
227.0483955,0,0.002699673,0.001142363,0.000387872
229.0321681,0,0.002302892,0.001355438,0
231.0464389,0.057799902,0.264739628,0.282947632,0.127881437
243.0419019,0,0.001149891,0.000354165,0
244.0631336,0,0.00626669,0.003843325,0
245.0635582,0.019179885,0.223536261,0.163652448,0.046720062
257.0618948,0,0.015797935,0.010264269,0.001809668
259.0701381,0.012752349,0.091724204,0.051349127,0.010741308
261.0573316,0,0.004436711,0.003508421,0
271.0838879,0,0.022566126,0.011129785,0.001937235
273.0587222,0,0.008382468,0.004329142,0
274.0665595,0,0.007002244,0.002364025,0
275.0699961,0.004763805,0.020318122,0.014696498,0.002582499
287.0749374,0.005392778,0.010214876,0.005393119,0.000438018
288.0854029,0.000964271,0.001474392,0,0
289.0882696,0,0.010750263,0.005143148,0
291.0633126,0,0.002582266,0.001453726,0
303.0688692,0,0.006183436,0.002660445,0
305.0781269,0.01145019,0.017205989,0.01172226,0.001412776
311.1020108,0,0,0.003242212,0
315.0657306,0,0.001861459,0,0
317.0844572,0,0.032893113,0.019545341,0.003431931
329.0813387,0,0.001764225,0,0
331.0952771,0,0.004783142,0.001469714,0
333.0767878,0.050490659,0.08931652,0.050316647,0.009728832
334.0915646,0.000877184,0.002325055,0.00076474,0
347.0940953,0.001272363,0.039392457,0.018316178,0.002544571
