mz,8EV,10EV,15EV,20EV,25EV
102.0461279,0,0,0.006835604,0.014913874,0
103.0529512,0,0.004126386,0.011609869,0.008489072,0.001910641
105.0321806,0.00876361,0.084025997,0.107492558,0.10134146,0.038092906
108.0195085,0,0,0,0.004623698,0
109.030736,0,0.006726834,0.006908027,0.004595927,0
111.0053332,0,0.001872303,0.00335668,0.004499116,0
113.0362184,0,0,0,0.002490745,0
115.052908,0,0.012977844,0.056291037,0.051347396,0.014804834
116.0616015,0,0,0.00100359,0.00174754,0
117.068332,0,0,0.003086783,0,0
118.0421219,0,0.004583103,0.014403882,0.013372157,0.003058176
121.027599,0,0.005189681,0.004291949,0.003876649,0
123.0096292,0,0,0.011495692,0.013089878,0.003390037
124.0154162,0,0.005074417,0.020510028,0.024225248,0.00871769
126.0304696,0,0,0.002922116,0.010521738,0
127.0562431,0,0,0,0.005408939,0
128.0628717,0,0.003907996,0.018025268,0.01398014,0.003502138
129.0734721,0,0.008438326,0.01250685,0.009312968,0.002064861
131.0560723,0,0.007281265,0.012215016,0.011555249,0
135.0267247,0,0,0,0.004375429,0.004788757
137.0233679,0,0.022035077,0.04650442,0.033985743,0.007875407
139.0566328,0,0,0.025847818,0.03567358,0.008797954
140.0562525,0,0,0.005484011,0.009478523,0
141.0722623,0,0.023606504,0.068562849,0.037539399,0.010103949
145.0655341,0,0.006496429,0.012946657,0.010263555,0.002154778
152.0599771,0,0.002781391,0.008353861,0.004641666,0
153.0154421,0.008531708,0.107588093,0.128654232,0.096929439,0.032448916
155.0513152,0,0.004977726,0.0124629,0.008114522,0
157.0625471,0,0.005573625,0.006708851,0.008122806,0
165.0191032,0.012426386,0.102941419,0.053146987,0.037044601,0.010042128
167.101376,0.00321303,0,0,0,0.001902767
168.0533349,0,0.009707693,0.045342403,0.035812271,0.006614892
169.0679134,0.001495224,0.022329335,0.026788409,0.015290127,0.002531871
170.021614,0,0,0,0.004080863,0.002085617
171.0421077,0,0.001721542,0.005781658,0.006611115,0
172.0515073,0,0.001844313,0.008469797,0.003873141,0
173.0548475,0,0.002897551,0.003940742,0,0
177.0321429,0,0.001732927,0,0,0
179.0456076,0,0.00226497,0,0,0
181.0664996,0,0.005505712,0,0,0
183.031074,0,0.018660028,0.009814997,0.006627059,0
184.0472645,0,0,0.002614302,0,0
185.0595988,0,0,0.00443968,0.006480406,0
186.0599975,0,0,0.002902628,0,0
194.0223012,0.00496593,0.05542894,0.045156242,0.02583463,0.005025197
195.0479759,0,0,0.003090245,0.004030853,0
196.0475231,0,0.007916621,0.037083041,0.020310461,0.005131004
197.0578833,0.006623968,0.08288991,0.076551883,0.044012967,0.01175323
199.0365922,0,0,0.00325722,0,0
200.0476816,0,0,0.003934741,0.002544598,0
201.0585519,0,0.002151143,0,0,0
203.0641819,0,0.002796952,0,0,0
213.0455268,0,0.016937988,0.064438827,0.051400131,0.012076771
215.0696682,0.003239843,0.049119111,0.018734958,0.011715711,0.002789802
224.0420314,0,0,0.003081509,0,0
225.0558355,0.010380673,0.050362387,0.019702699,0.01156438,0.002242299
226.0660312,0,0,0.00179171,0,0
239.0647178,0.00188767,0,0,0,0
240.0481137,0,0,0.003078217,0,0
241.0533179,0,0.015302494,0.04904613,0.03336399,0.009102235
242.0560458,0.004037771,0.072485479,0.179275557,0.087475149,0.023583119
243.0623836,0.003636925,0.006179858,0,0,0
247.0654554,0,0.009216236,0.002038892,0.002075147,0
253.0564925,0.006804944,0.013393355,0.003880547,0.003542912,0
268.0429887,0,0,0.006667846,0,0
269.05688,0,0.056868133,0.195100238,0.106165868,0.033863129
