mz,8EV,10EV,15EV,20EV,25EV
102.044932,0,0,0,0.002411468,0
103.0557328,0,0.002852349,0.005186842,0.006627348,0
107.0462665,0,0,0.006411214,0.003654356,0
108.0254236,0,0,0.002778449,0.00258178,0
111.0072032,0,0.002079294,0.008890446,0.012482748,0.004465699
115.0537682,0,0.014634345,0.035213495,0.035249461,0.007203416
116.0592986,0,0,0,0.001676951,0
117.0692038,0,0,0,0.001138523,0
118.0408687,0,0.008186139,0.045974187,0.068466993,0.033595654
119.053991,0.00318571,0.051616815,0.074640224,0.058007937,0.014075985
120.0510295,0,0,0.002825573,0.003092118,0
121.0274147,0.00582343,0.062428428,0.078954734,0.067581041,0.022793597
123.0094474,0,0.002492925,0.010072117,0.012639029,0.004222663
124.0174195,0,0.010869719,0.052524068,0.095168391,0.020887706
125.0185411,0,0,0.001374875,0,0
126.0346947,0,0,0.006273857,0.004789107,0
128.0593676,0,0,0.008485646,0.011333744,0.002973334
129.01872,0,0.006391198,0.016353649,0.008217493,0
131.0491662,0,0.011828773,0.012247548,0.016079632,0.003893554
135.0071904,0,0,0.004769147,0.002398644,0
137.0243526,0,0,0.006682607,0.004933745,0
139.0506915,0,0,0.01328347,0.016912907,0.005172329
140.0618956,0,0,0.002027697,0.003811434,0
141.0686111,0,0.016053114,0.035509791,0.018370838,0
142.038029,0,0,0,0.001732342,0
144.0574251,0,0,0.003384921,0.003477384,0
145.0334986,0,0.020260189,0.027737254,0.027163844,0.004721449
147.0442766,0,0.001905581,0.005059011,0.004197575,0
149.0222129,0.002681601,0.022402031,0.006360806,0.004520502,0
150.0377541,0,0,0.008300911,0.004055749,0
152.0078497,0,0.005789436,0.013993425,0.009041568,0.001864023
153.0225799,0.021970341,0.187636102,0.219380772,0.198471764,0.082910695
154.0151311,0,0,0.002407069,0,0
155.0560625,0,0.004890078,0.01675692,0.009995868,0.002480503
157.0599562,0,0.003416811,0.010927352,0.012517363,0.002928735
159.0470371,0,0.002018124,0,0,0
160.0514639,0,0,0.003334401,0.003064132,0
163.0398919,0,0.015468477,0.012909005,0.010835466,0
168.0583038,0,0.004398794,0.015578703,0.013472194,0.002498163
169.0652497,0,0.017440993,0.025606966,0.016988907,0.002337239
170.0266158,0,0.010250374,0.041893754,0.026250462,0.004902207
171.0266094,0,0.039243625,0.04063575,0.027731225,0.004101121
173.0598997,0,0.0129332,0.005800867,0.00356942,0
178.0262331,0,0.003914506,0.006576607,0.001679494,0
184.0485064,0,0,0,0.001188483,0
185.0688494,0,0.003746044,0.007655274,0.009107461,0
187.0388718,0.002695365,0.026296069,0.020144106,0.013381709,0.002354525
196.0488292,0,0,0.003032338,0.001815526,0
197.0605712,0.002948211,0.037881605,0.04804635,0.028797471,0.00570447
200.0434618,0,0.00239267,0.003223347,0.001262089,0
201.0571041,0.006360193,0.051980632,0.012053839,0.007409708,0
203.0529505,0,0.006456275,0,0.001642118,0
213.0497853,0,0.009026502,0.039943967,0.03134684,0.006657659
214.0714312,0,0.001800545,0.00244149,0,0
215.0696371,0.008109285,0.056736981,0.015106834,0.007910176,0
224.0390826,0,0,0.00133476,0,0
225.0587658,0.002309174,0.033646107,0.014856741,0.009464924,0.001443034
226.0674958,0,0,0.003222429,0,0
227.0356348,0,0.001958532,0,0,0
228.0324931,0,0.001518467,0,0,0
229.0434063,0.002022903,0.027389714,0.011861974,0.0054412,0.001372023
241.0472491,0,0.016038431,0.032214304,0.029238936,0.008908965
242.0621704,0.011417508,0.126064702,0.286343839,0.180259726,0.051429789
243.0746376,0,0.010080441,0.006926516,0.003647904,0
247.0624059,0,0.006974908,0,0,0
253.0565378,0.010565185,0.056252712,0.023048841,0.012379658,0
257.0432809,0,0.003991846,0.002726378,0,0
269.0408762,0,0.018464297,0.058991216,0.029226923,0.005245859
