mz,8EV,10EV,15EV,20EV,25EV
102.0470325,0,0,0.010352453,0.02199982,0.020643878
103.0538605,0,0.028289198,0.075731272,0.054312358,0.017255067
104.0606299,0,0,0.001770604,0,0
105.0330993,0,0.019228016,0.03836914,0.029867441,0.009228564
112.0168317,0,0,0.00528767,0.016114482,0.003607638
113.023623,0,0,0.005087249,0.003699736,0
115.0538734,0,0.021674064,0.054768606,0.044626777,0.01121099
116.0625716,0,0,0.002073155,0.001806817,0
123.0062807,0.005058164,0.062755258,0.161741638,0.111510132,0.035320336
126.0479962,0,0,0,0.002890347,0
127.0031122,0,0,0.006308907,0.004865583,0
128.0605665,0,0.010689917,0.019421395,0.011942557,0.003277288
129.0700444,0,0.013986648,0.010671529,0,0
131.0503742,0,0,0.005968233,0.002987792,0
137.0393514,0,0,0,0.001731853,0
138.9998978,0,0,0.007325118,0,0
139.0507664,0,0,0,0.019592289,0.004871941
140.0062752,0,0,0.019255561,0.045455861,0.007461994
141.017447,0,0,0.049767869,0.023893156,0.007070733
141.0686833,0,0.019323077,0,0,0
145.0654493,0,0.002046873,0.010484965,0.005818953,0
150.046221,0,0,0.002686082,0.006081575,0
151.0025778,0,0.002435666,0.006334633,0.00343151,0
152.0562656,0,0,0,0.003403676,0
155.0487895,0,0.006076707,0.016044572,0.007037406,0
157.0624635,0,0.003219898,0.004906062,0.002816515,0
167.9998714,0,0.022244271,0.094601698,0.056211704,0.011751972
169.0130143,0,0.045347166,0.084853284,0.046013271,0.024492073
170.0253674,0,0,0.002015827,0,0
171.0445904,0,0,0.004251795,0,0
179.0481508,0,0,0.006399355,0.002730754,0
185.0035017,0,0.01410692,0.006872476,0.004089099,0
186.0131101,0,0.028021041,0.136653883,0.082941289,0.017624389
194.0208571,0,0,0.007133959,0,0
196.0515637,0,0,0.004552907,0,0
197.0605583,0,0.009661608,0.013422741,0.006205961,0
213.0511766,0,0,0.005432217,0.003195837,0
224.0478294,0,0,0.002008509,0,0
225.0542923,0.078978739,0.280021396,0.140713165,0.092611818,0.024564499
229.0537261,0,0,0.005457065,0,0
241.0547715,0,0,0.015164553,0.011128342,0.002025202
242.0529264,0,0.006307688,0.028681766,0.010280142,0.001807922
243.0592581,0.002589018,0.004481018,0,0,0
253.0517474,0.069966786,0.145046398,0.074579632,0.0457649,0.00986158
257.0368746,0.003995302,0.003283628,0.002227141,0,0
269.0423437,0,0.004878415,0.021845248,0.015206447,0.003243654
