mz,8EV,10EV,15EV,20EV,25EV
102.0453505,0,0.000708079,0.011814973,0.012517219,0.004655255
103.0545357,0,0.003604132,0.011085683,0.010529439,0.005569594
104.0641251,0,0,0,0.00115623,0.000977468
105.0355368,0,0,0.002401681,0.001208046,0
105.0717164,0,0,0.001163564,0.004886803,0.007790054
106.078263,0.00101279,0.003809706,0.013828427,0.015550969,0.017949162
107.0501216,0.001711862,0.008764194,0.001715378,0.001106169,0
108.0231824,0,0,0.006828589,0.002795578,0.004472696
111.005694,0,0.002025166,0.007908827,0.004547021,0.001230992
112.0075061,0,0,0.00233169,0.00421204,0.006961696
114.0072788,0,0,0,0.000974706,0.001832692
115.0524133,0,0.009281762,0.022132448,0.020706412,0.010413864
117.0339097,0,0,0.009209865,0.021280768,0.007066579
118.0395242,0.00081785,0.01098686,0.025749568,0.017032483,0.005158946
119.0484364,0,0.002052858,0.005696936,0.002895886,0
121.0282877,0.007063573,0.015038773,0.013443629,0.003318705,0.004789628
121.0606261,0,0,0.017587072,0.002646836,0
123.0439104,0.014087891,0.063622719,0.028958748,0.013394229,0.005052666
124.015006,0.001758404,0.021621777,0.043494451,0.051078867,0.017644278
126.0294833,0,0,0.000648309,0.001161288,0
128.0624897,0,0.003102877,0.014947288,0.016440879,0.007611423
129.0686556,0,0.001283529,0.006177377,0.004933472,0.001404605
131.0478012,0,0.001733182,0.007837479,0.005579864,0.00056986
132.0554788,0.002754193,0.023356118,0.097354789,0.061895426,0.019176844
133.0647178,0.000621585,0.009035765,0.024699126,0.013739446,0.003152317
135.043515,0.025481908,0.035376244,0.017056745,0.009173359,0.001894445
137.0230876,0.032146623,0.023303257,0.020209394,0.010163807,0.002546688
139.0436113,0.000621685,0.009910791,0.023905704,0.024531573,0.008521432
140.0618056,0,0.000874348,0.006311565,0.002782619,0
141.0731522,0,0.005376413,0.00979618,0.006863087,0.001977108
142.0344512,0,0,0.002827039,0.009930897,0.004236301
144.0548635,0.000556761,0.004705157,0.003171523,0.001932198,0
145.0653381,0,0.005284482,0.009889365,0.007544429,0.002158448
145.9701817,0,0,0,0.000716366,0.001342152
149.0267928,0.031686336,0.062300574,0.031540233,0.016760034,0.005926064
151.544011,0,0,0.00183697,0.002189211,0.001073367
152.0100595,0.005110011,0.030214922,0.02979486,0.015334487,0.003451048
153.0177667,0.005208779,0.038398988,0.062678542,0.031698651,0.01056094
154.0285556,0,0,0.005126253,0.000766668,0
155.0509709,0,0,0.003538008,0.003785745,0.00062036
157.0658924,0,0.002468321,0.010611792,0.008387929,0
158.0360164,0,0.004909559,0.027453994,0.0110725,0.003787964
159.0768192,0.00107556,0.004323136,0,0,0
163.0387894,0,0.001158604,0.000678051,0.000797082,0
165.0720334,0,0.000774563,0,0.001036776,0.002526784
167.032385,0.000761345,0.00396917,0.003306139,0.002504519,0
168.0530121,0.001668493,0.015272961,0.029294851,0.013319107,0.004034925
169.065434,0,0.009223134,0.013396014,0.009282046,0.002407728
170.020417,0.019967976,0.140699574,0.144498049,0.084432716,0.031507244
171.0307406,0,0.001363632,0.005335499,0.004027827,0.000610599
173.0562985,0.000761388,0.002679711,0.002235156,0,0
176.043542,0,0,0.002286158,0.00085404,0
177.0180609,0.051874355,0.041400601,0.012989261,0.006322922,0.000818481
179.0334966,0.00237696,0.017372953,0.008354341,0.00366793,0.001124632
181.0640719,0,0.002576615,0.003231793,0.000659254,0
183.0772092,0.001045779,0.005451121,0.001808142,0.000825265,0
184.0529666,0,0.00098899,0.010899671,0.006478652,0.001934948
185.0579729,0,0.004544107,0.025588518,0.016332002,0.003820761
186.0682932,0,0.003888381,0.010398918,0.003177935,0
187.0762153,0.017396476,0.027162763,0.007237114,0.00304452,0
196.0506615,0.000809622,0.007576379,0.010450682,0.003587926,0.000509623
197.0626076,0.005285427,0.037018469,0.045218559,0.02215455,0.006279055
198.0665252,0,0.002820008,0.00195465,0,0
201.0596817,0,0.002295822,0.003037636,0.000848803,0
211.0734491,0.006723983,0.020292697,0.010882534,0.00501431,0.000483378
212.0489434,0,0.000899093,0.008878243,0.003447442,0
213.0553094,0.003937,0.033332558,0.139988663,0.072579989,0.022172805
214.0620408,0,0.0088825,0.017157059,0.00638169,0.0015346
215.0694369,0.016605262,0.012433293,0.002778805,0.000846958,0
216.0434546,0,0,0.00737436,0.002016787,0
223.0350633,0,0,0.001481052,0.001343517,0
224.0442462,0.000865394,0.007817612,0.009299186,0.002505801,0
225.0541551,0.014308486,0.025848264,0.036720597,0.021502136,0.007839143
226.0628755,0.007085742,0.01677221,0.006955582,0.002754959,0
227.0654009,0,0,0.005489896,0.002374386,0
229.0846229,0.04232806,0.128733885,0.058443177,0.036157048,0.011577703
239.0690883,0.030182831,0.038887871,0.010912009,0.004173485,0.000699823
240.0399566,0,0,0.003196541,0.003186427,0
240.0735704,0.001527368,0.003601322,0.001856859,0,0
241.0405881,0.002443243,0.031467242,0.107364383,0.056850129,0.01929674
242.0570303,0.011042203,0.067129541,0.080908665,0.043893524,0.015709225
252.0450719,0.004829995,0.028720001,0.014676081,0.005840557,0.001722215
253.048549,0.023906093,0.10931336,0.063739601,0.042948665,0.015205148
254.0594397,0,0.000570577,0.001470919,0.007078843,0.004140208
255.0679351,0.001649405,0.014244815,0.032507486,0.026576443,0.006764119
256.0644079,0.016567667,0.053310025,0.135286096,0.063296309,0.020883991
257.0805718,0.060097326,0.031262129,0.017867897,0.008526582,0.002149519
267.0677539,0.072239672,0.072835762,0.024055359,0.01317097,0.002795027
268.0364595,0,0.001517685,0.003048633,0.002859362,0
269.0422998,0.007288688,0.081087546,0.105789275,0.051562264,0.016783308
270.0532464,0.040534482,0.177216457,0.093936647,0.064738569,0.024306789
283.0594697,0.002415242,0.017052049,0.061679059,0.026860476,0.008155836
