mz,8EV,10EV,15EV,20EV,25EV
102.0489526,0,0,0.004415738,0.004002651,0
103.055143,0,0,0.00242357,0.004134882,0
105.0320695,0,0,0.004242442,0.006060586,0.003663648
107.0480573,0,0.001290272,0.007750139,0.004379679,0
108.0224911,0,0,0.001540457,0.00361614,0
111.0419723,0,0.00233788,0.003805534,0.003566949,0
112.0061434,0,0,0,0.001187822,0.001927724
115.0546401,0,0.005733918,0.016437561,0.01763178,0.005938759
118.0426403,0,0,0.015293319,0.027384098,0.007233564
119.0493531,0,0.0045709,0.015300694,0.009712252,0.002464945
121.0292146,0.013103677,0.025753912,0.015874128,0.011863499,0.002738435
122.0322814,0,0,0.01101597,0.003820202,0.000389724
123.0060656,0,0.002467128,0.007348822,0.009563541,0.002100176
124.0148744,0,0,0.009279216,0.007091895,0.000749886
125.0236732,0,0,0.003523746,0.003955841,0
128.0612333,0,0.000734774,0.010257933,0.011257488,0.003135947
129.0697693,0,0,0.003379976,0.003511138,0
131.0522551,0,0.002351703,0.008082468,0.007013082,0
133.0263246,0,0.002038554,0.000846634,0.00129435,0
134.033699,0,0,0.003439037,0.003042464,0
135.0433009,0.001773211,0.011456677,0.012578473,0.007659379,0.00153334
137.0208024,0,0,0.002539732,0.002496351,0
138.0312844,0,0.001759202,0.026728771,0.047519278,0.012127678
139.0538143,0,0.00418085,0.027144906,0.025113799,0.007624147
140.0606596,0,0,0.004982907,0.003694226,0.000448634
141.0709661,0,0.007480157,0.014899777,0.010987218,0.00234083
142.5367066,0,0,0.030133208,0.079817152,0.040588528
144.0603334,0,0,0.002529378,0.001980946,0
145.0272535,0,0.02092442,0.011369348,0.005201886,0
151.038778,0.01020869,0.014436855,0.019727232,0.01227489,0.003094201
152.0622381,0,0.003510576,0.008342605,0.00800135,0.001660015
153.0695529,0,0.001968879,0.004005668,0.002202947,0
155.0408849,0,0.000575902,0.004976359,0.006554023,0.000839828
157.0645411,0,0.001051036,0.009496145,0.01053991,0.002208769
158.0392793,0,0.001054772,0.01135344,0.001538562,0
159.0396933,0,0.009808525,0.008463314,0.005042376,0
162.0275254,0,0,0.002561832,0.001203902,0
163.0387687,0.013160391,0.048269097,0.022242065,0.013969619,0.002866664
166.0278444,0,0.002375896,0.017779422,0.010767376,0.001083031
167.0363034,0.00596211,0.101399958,0.138645536,0.097475764,0.031458268
168.0567133,0,0.017159445,0.045793748,0.029612539,0.006909151
169.0693435,0,0.013696786,0.023744171,0.015189722,0.003589683
171.0467476,0,0,0.003138423,0.002688531,0
179.0347076,0,0.005653877,0.004348523,0.0023654,0
181.0608237,0,0.005893494,0.00774166,0.004780175,0
183.080466,0,0.007104857,0.005951451,0.002731398,0
184.0369413,0,0.017425133,0.075922062,0.051239985,0.013898148
185.0572779,0,0.00283763,0.012835973,0.010140748,0.000931194
186.0676385,0,0.002481727,0.009983503,0.004119065,0
191.033716,0.018860146,0.02181415,0.003693629,0.002098772,0
195.0415708,0,0,0.005087426,0.005030571,0.000738852
196.0521662,0,0.010568944,0.021390919,0.010512139,0.002235183
197.0561566,0.003749446,0.030007516,0.028328956,0.017292352,0.004034757
198.0644168,0,0.006167682,0.003816155,0.002237631,0
199.0675567,0,0.002261588,0.00660388,0.003338859,0
201.0924315,0,0.010233465,0.005129167,0.002825961,0
211.0805061,0.005206124,0.034976015,0.025902809,0.014551213,0.003111519
212.0383968,0,0,0.004820706,0.004232998,0
213.0664546,0.002225469,0.004744328,0.028124685,0.014432252,0.003464368
214.0654302,0,0.011976697,0.019568705,0.009889955,0.002597713
223.0357818,0,0,0.002796159,0.002660708,0.000468861
224.0472145,0,0.007737065,0.02197523,0.01242477,0.002751783
225.0536859,0.01796049,0.02791184,0.026326288,0.016419002,0.003215468
226.0641128,0.009344518,0.024205931,0.012846488,0.00733298,0.000813122
227.0693721,0,0.013533913,0.039147709,0.028112191,0.005260383
228.0800881,0,0.002886535,0.002866786,0.001749092,0
229.0875281,0.021252198,0.13800461,0.067742245,0.045864389,0.014116967
239.0736044,0.027332254,0.058225424,0.019998583,0.011958409,0.002487841
240.0431615,0,0.003150643,0.002323509,0.002493616,0
241.0512596,0,0.002852892,0.04629363,0.027199759,0.007961433
242.0604072,0.005512641,0.038975328,0.125895211,0.072004836,0.021460268
252.0395195,0,0.003104983,0.002290382,0.00156119,0
254.0568722,0,0,0.004933003,0.002464321,0
255.067865,0,0.014756287,0.052886443,0.032628473,0.007032707
256.0725009,0.007482603,0.041523576,0.068594483,0.036413928,0.009899962
257.0805697,0.054371427,0.103390047,0.043430501,0.028952129,0.00779043
267.0712282,0.070402782,0.10933047,0.038605817,0.025875145,0.006915798
269.0406981,0,0,0.005459071,0.002071209,0
270.0530871,0.012230398,0.045125651,0.029818889,0.021052397,0.006327886
