mz,8EV,10EV,15EV,20EV,25EV
103.053302,0,0,0.001593719,0.00176447,0
105.0343105,0,0.00173848,0.011022733,0.014152972,0.005685165
107.0122501,0,0,0.000819454,0.003200348,0
108.0186549,0,0,0.005394341,0.013158209,0.002633532
112.0059529,0,0,0,0.001085841,0.001408118
115.0533994,0,0.00609565,0.018059803,0.013417675,0.003805515
121.0307564,0,0,0.00673191,0.006740056,0.000950218
128.0611354,0,0.000829406,0.014406431,0.013685946,0.003218598
129.0661739,0,0,0.004706198,0.007097521,0
131.0516218,0,0,0.002493916,0.001492521,0
133.0238655,0,0,0.003951204,0.014474995,0.001252021
134.0356151,0,0.011610266,0.02958903,0.017072352,0.002564727
137.0228517,0.006568272,0.0900984,0.129800327,0.099203598,0.028576301
139.0526737,0,0,0.017501993,0.019616589,0.003676259
140.0622036,0,0,0.001396121,0.000785919,0
141.0717726,0,0.012292712,0.019820311,0.011774626,0.001042764
142.5383453,0,0,0.026296132,0.077349515,0.033837955
145.0657458,0,0,0.001004953,0.001330256,0
148.050481,0,0,0.003640602,0.000918307,0
149.0232188,0,0,0.001392678,0.001585151,0
152.0566503,0,0,0.003360126,0.002293364,0.001067662
154.0259494,0,0,0.008983245,0.006726596,0.001846646
155.0449392,0,0,0.004483965,0.003302197,0
157.0657954,0,0.004000829,0.017950889,0.025732504,0.005636981
167.0327788,0,0,0.011934225,0.005130384,0.000441777
168.0557255,0,0.005067311,0.018538412,0.010414765,0.001893826
169.062671,0,0.013247041,0.01606586,0.009662305,0
171.0445815,0,0,0.00174396,0.002334127,0
181.0639499,0,0.006712416,0.005316804,0.003470952,0
183.04439,0,0.001151416,0.002597382,0,0
184.0495846,0,0,0.009842692,0.006271759,0
185.0592624,0,0.003806104,0.025277151,0.018408978,0.003450036
186.0663522,0,0,0.010113722,0.002319234,0
187.0429973,0,0,0.004044499,0.006095237,0
196.0540946,0,0.003409378,0.010625645,0.004960483,0
197.0575943,0.002399812,0.051412973,0.056510099,0.037910601,0.010752505
212.0411772,0,0,0.004820707,0.005384496,0
213.0572445,0.001254006,0.048065641,0.180478209,0.119965803,0.035473527
214.0631349,0,0.021495172,0.037649468,0.019107611,0.003855894
223.0383906,0,0,0.002253246,0.001071241,0
224.0462593,0,0.005609384,0.00796543,0.003363942,0
225.0551358,0.017972148,0.123014895,0.074395095,0.050884483,0.01558075
229.0877769,0.001460859,0.026556392,0.009233481,0.004074115,0
241.0452179,0,0.020848499,0.073858563,0.050935145,0.023913229
242.0544262,0.000779673,0.016412846,0.019982481,0.011203317,0.001273796
252.038654,0,0.007213826,0.004088007,0.002411107,0
253.0517701,0.026612811,0.127802047,0.076989269,0.050065252,0.015625007
255.0670197,0,0.002055955,0.015728969,0.007611238,0
256.0739353,0,0.016471378,0.067940265,0.03538939,0.007728795
257.0801038,0.00246497,0.010148534,0.002428065,0.000705848,0
265.0503161,0,0,0.004607005,0.001010508,0
267.0645321,0,0.017488298,0,0,0
269.0464692,0,0.027368464,0.050405872,0.04525455,0.016939948
270.0517762,0.067902171,0.313135883,0.179741097,0.134415992,0.045826007
