Mass,10EV,15EV,20EV,25EV
349.0762831,0.013782781,0.014334242,0.006835595,0
347.0958882,0,0.022125823,0.009072732,0.000205284
335.0946102,0,0.000785685,0,0
334.0868257,0.000242192,0.000499483,0,0
333.081253,0.000483664,0.022173321,0.009870629,0
317.0858173,0,0.021077248,0.010533085,0.00028748
305.0860268,0,0.000582048,0,0
303.0686073,0.000253285,0.006758101,0.003142431,0
291.069412,0,0.001130883,0.000395701,0
289.0860325,0,0.000601289,0,0
287.0745855,0,0.000184148,0,0
275.0732537,0.000305433,0.013433258,0.006859228,0
273.061029,0,0.002751632,0.000133733,0
261.0594402,0,0.003461096,0.001968194,0
259.043647,0.00228994,0.004558833,0.000153306,0
257.0633807,0,0.007071603,0.005338643,0
249.0562657,0,0.001171591,0.00020356,0
245.064212,0.004160307,0.086962967,0.060439939,0.012009437
244.0564959,0.004816403,0.048290775,0.025021982,0.002862899
231.0492034,0.023233134,0.145971601,0.114523732,0.025797711
219.0474454,7.73E-05,0.00138415,0.002062391,0
218.04027,0.009532461,0.038447667,0.023184779,0.001761549
203.0540315,0.006975884,0.044681278,0.131710348,0.03664865
202.0452961,0.001626107,0.006631482,0.004288606,0
201.0387632,0.040483862,0.15744611,0.117883342,0.024162073
191.0544045,0,0,0.002525052,0
188.02868,0,0.000626093,0,0
187.0568516,0.000432651,0.001499451,0.000433919,0
186.0504449,0.012399146,0.028173207,0.017394812,0.001601101
185.0432324,0.012340714,0.100205769,0.07998408,0.018126012
184.0347882,0.000152297,0.006406479,0.00374657,0
173.0421761,0,0.001976639,0.001720413,0
171.0266698,0,0.010451633,0.00853409,0.000529874
169.0479686,0.003636576,0.083179105,0.062644217,0.011320391
168.0400479,0,0.003416997,0.001171759,0
167.0315323,0,0.005838933,0.005091798,0.000163246
157.0473385,0.000164549,0.011870278,0.007884554,0.000793386
156.0390312,0.002478539,0.00822974,0.004269062,0.000111854
155.0321903,0,0.009718554,0.006097276,0
145.0491967,0,0.000248469,0.010415464,0.002281604
143.031516,0,0.001992087,0.001051544,0
141.0523173,0,0.001156607,0.000661841,0
141.017007,0,0.002432494,0.000487048,0
140.0440779,0.000392887,0.006005796,0.003001252,0
139.0368123,0,0.005268536,0.002995857,0
138.0288187,0,0.002365652,0.000547335,0
137.0205815,0,0.000398173,0.000103543,0
127.0375772,0,0.007037585,0.011968351,0.002369393
126.0282828,0,0.000802817,0.000624543,0
125.0214511,0,0.005962082,0.003783884,9.14E-05
116.0459912,0,0,0.000495869,0
113.0207075,0,0.013971266,0.009937377,0.001343555
112.012107,0,0.004069676,0.00409782,0.000537096
111.006196,0,0.002269025,0.0011451,0
109.0272793,0,0,0.000930983,0
